Category: All categories

Month,টাকা: (Barisal Division),Email: (Barisal Division)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,0
2006-04,0,0
2006-05,0,0
2006-06,0,0
2006-07,0,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,0,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,0
2007-04,0,0
2007-05,0,0
2007-06,0,0
2007-07,0,0
2007-08,0,0
2007-09,0,0
2007-10,0,0
2007-11,0,0
2007-12,0,0
2008-01,0,0
2008-02,0,0
2008-03,0,0
2008-04,0,0
2008-05,0,0
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,0,0
2008-10,0,0
2008-11,0,0
2008-12,0,0
2009-01,0,0
2009-02,0,0
2009-03,0,0
2009-04,0,0
2009-05,0,0
2009-06,0,0
2009-07,0,0
2009-08,0,0
2009-09,0,0
2009-10,0,0
2009-11,0,0
2009-12,0,0
2010-01,0,0
2010-02,0,0
2010-03,0,0
2010-04,0,0
2010-05,0,0
2010-06,0,0
2010-07,0,0
2010-08,0,0
2010-09,0,0
2010-10,0,0
2010-11,0,0
2010-12,0,0
2011-01,0,0
2011-02,0,0
2011-03,0,0
2011-04,0,0
2011-05,0,0
2011-06,0,0
2011-07,0,0
2011-08,0,0
2011-09,0,0
2011-10,0,0
2011-11,0,0
2011-12,0,0
2012-01,0,0
2012-02,0,0
2012-03,0,0
2012-04,0,0
2012-05,0,0
2012-06,0,0
2012-07,0,0
2012-08,0,0
2012-09,0,0
2012-10,0,0
2012-11,0,0
2012-12,0,0
2013-01,0,0
2013-02,0,0
2013-03,0,0
2013-04,0,0
2013-05,0,0
2013-06,0,0
2013-07,0,0
2013-08,0,0
2013-09,0,0
2013-10,0,0
2013-11,0,0
2013-12,0,0
2014-01,0,0
2014-02,0,0
2014-03,0,0
2014-04,0,0
2014-05,0,0
2014-06,0,0
2014-07,0,0
2014-08,0,66
2014-09,0,71
2014-10,0,62
2014-11,0,59
2014-12,0,79
2015-01,0,0
2015-02,0,0
2015-03,0,0
2015-04,0,0
2015-05,0,0
2015-06,0,0
2015-07,0,0
2015-08,0,0
2015-09,0,0
2015-10,0,0
2015-11,0,0
2015-12,0,0
2016-01,0,0
2016-02,0,0
2016-03,0,0
2016-04,0,0
2016-05,0,0
2016-06,0,0
2016-07,0,0
2016-08,0,0
2016-09,0,0
2016-10,0,0
2016-11,0,0
2016-12,0,63
2017-01,0,0
2017-02,0,0
2017-03,0,0
2017-04,0,55
2017-05,0,0
2017-06,0,0
2017-07,0,0
2017-08,0,0
2017-09,0,56
2017-10,0,43
2017-11,0,53
2017-12,0,47
2018-01,27,61
2018-02,0,44
2018-03,0,25
2018-04,0,32
2018-05,0,44
2018-06,0,18
2018-07,22,24
2018-08,30,35
2018-09,0,22
2018-10,19,38
2018-11,18,32
2018-12,17,33
2019-01,23,31
2019-02,0,32
2019-03,21,66
2019-04,28,48
2019-05,23,52
2019-06,34,23
2019-07,24,45
2019-08,24,48
2019-09,28,28
2019-10,39,34
2019-11,29,36
2019-12,27,33
2020-01,31,28
2020-02,31,35
2020-03,31,33
2020-04,30,33
2020-05,39,31
2020-06,47,48
2020-07,42,51
2020-08,37,40
2020-09,36,43
2020-10,34,43
2020-11,47,28
2020-12,47,36
2021-01,44,28
2021-02,34,25
2021-03,42,31
2021-04,43,30
2021-05,43,27
2021-06,46,34
2021-07,43,24
2021-08,48,26
2021-09,49,22
2021-10,39,22
2021-11,37,28
2021-12,39,21
2022-01,42,24
2022-02,50,28
2022-03,51,30
2022-04,58,33
2022-05,54,34
2022-06,69,33
2022-07,64,28
2022-08,70,30
2022-09,69,39
2022-10,61,35
2022-11,60,36
2022-12,59,24
2023-01,66,23
2023-02,72,25
2023-03,67,26
2023-04,77,27
2023-05,72,32
2023-06,76,30
2023-07,73,27
2023-08,77,33
2023-09,63,26
2023-10,62,26
2023-11,61,30
2023-12,60,23
2024-01,58,27
2024-02,61,27
2024-03,74,30
2024-04,68,20
2024-05,67,25
2024-06,63,21
2024-07,72,22
2024-08,75,26
2024-09,78,26
2024-10,76,26
2024-11,80,28
2024-12,77,27
2025-01,74,26
2025-02,69,24
2025-03,86,22
2025-04,64,25
2025-05,77,21
2025-06,75,28
2025-07,85,23
2025-08,100,24
2025-09,97,23
