Category: All categories

Month,ভোটকেন্দ্র: (Barisal Division),অফিস: (Barisal Division),অধিদপ্তর: (Barisal Division),স্যানিটেশন: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,78
2014-09,0,0,0,0,85
2014-10,0,0,0,0,74
2014-11,0,0,0,0,71
2014-12,0,0,0,0,94
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,75
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,66
2017-05,0,51,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,66
2017-10,0,0,0,0,52
2017-11,0,0,0,0,63
2017-12,0,0,59,0,56
2018-01,0,0,37,0,72
2018-02,0,0,0,0,52
2018-03,0,0,41,0,30
2018-04,0,0,30,0,38
2018-05,0,0,54,0,52
2018-06,0,0,33,0,21
2018-07,0,0,95,0,29
2018-08,0,0,35,0,41
2018-09,0,0,70,0,26
2018-10,0,0,53,22,45
2018-11,0,20,32,0,38
2018-12,0,0,27,0,40
2019-01,0,0,41,0,37
2019-02,0,0,40,0,38
2019-03,0,0,45,0,78
2019-04,0,0,32,0,58
2019-05,0,14,59,0,62
2019-06,0,24,32,0,27
2019-07,0,14,25,0,53
2019-08,0,24,43,0,57
2019-09,0,24,73,0,34
2019-10,0,25,50,0,41
2019-11,0,17,57,0,43
2019-12,0,20,60,0,39
2020-01,0,28,61,0,33
2020-02,0,22,53,0,41
2020-03,0,23,35,0,39
2020-04,0,12,37,0,39
2020-05,0,18,61,0,37
2020-06,0,22,47,0,57
2020-07,0,20,68,0,61
2020-08,0,27,45,0,47
2020-09,0,24,79,0,51
2020-10,0,29,89,0,51
2020-11,0,24,100,0,34
2020-12,0,27,70,0,43
2021-01,0,31,74,0,34
2021-02,0,28,73,0,30
2021-03,0,25,76,0,37
2021-04,0,14,41,0,36
2021-05,0,19,50,0,32
2021-06,0,29,48,0,40
2021-07,0,22,47,0,29
2021-08,0,29,90,0,31
2021-09,0,41,91,0,27
2021-10,0,30,76,0,26
2021-11,0,35,100,0,33
2021-12,0,28,97,0,25
2022-01,0,25,71,0,29
2022-02,0,25,69,0,33
2022-03,0,26,81,0,36
2022-04,0,31,92,0,40
2022-05,0,28,57,0,40
2022-06,0,44,74,0,39
2022-07,0,35,65,0,34
2022-08,0,29,71,0,36
2022-09,0,30,65,0,47
2022-10,0,27,82,0,42
2022-11,0,27,66,2,43
2022-12,0,25,62,0,29
2023-01,0,42,72,0,27
2023-02,0,27,67,0,30
2023-03,0,32,68,0,31
2023-04,0,25,52,0,33
2023-05,0,35,66,0,39
2023-06,0,29,66,0,36
2023-07,0,32,80,0,32
2023-08,0,32,80,0,39
2023-09,0,31,88,0,31
2023-10,0,28,83,0,30
2023-11,0,27,70,0,36
2023-12,0,36,62,0,28
2024-01,0,39,64,0,32
2024-02,0,29,61,0,32
2024-03,0,30,71,0,36
2024-04,0,34,77,0,24
2024-05,0,42,78,0,30
2024-06,0,28,56,0,25
2024-07,0,29,77,0,26
2024-08,0,27,53,0,31
2024-09,0,31,60,0,31
2024-10,0,33,56,0,31
2024-11,0,26,51,0,34
2024-12,0,29,68,0,32
2025-01,0,34,51,0,31
2025-02,0,34,48,0,29
2025-03,0,26,53,0,26
2025-04,0,34,65,0,30
2025-05,0,35,55,0,25
2025-06,0,26,34,0,33
2025-07,0,38,40,0,27
2025-08,0,43,57,0,28
2025-09,0,40,57,0,28
