Category: All categories

Month,সার্ভিস: (Barisal Division),যোগাযোগ: (Barisal Division),বিদ্যুৎ লাইন: (Barisal Division),মদ বিক্রয়কেন্দ্র: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,67
2014-09,0,0,0,0,73
2014-10,0,0,0,0,63
2014-11,0,0,0,0,60
2014-12,0,0,0,0,81
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,65
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,57
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,57
2017-10,0,0,0,0,44
2017-11,0,0,0,0,54
2017-12,0,0,0,0,48
2018-01,0,0,0,0,62
2018-02,0,0,0,0,45
2018-03,0,0,0,0,26
2018-04,0,0,0,0,33
2018-05,0,0,0,0,45
2018-06,0,0,0,0,18
2018-07,0,0,0,0,25
2018-08,0,17,0,0,36
2018-09,0,0,0,0,22
2018-10,0,0,0,0,38
2018-11,0,0,0,0,32
2018-12,0,0,0,0,34
2019-01,0,0,0,0,32
2019-02,0,0,0,0,33
2019-03,25,0,0,0,67
2019-04,23,0,0,0,49
2019-05,16,0,0,0,53
2019-06,11,0,0,0,23
2019-07,0,0,0,0,46
2019-08,0,0,0,0,48
2019-09,18,0,0,0,29
2019-10,13,0,0,0,35
2019-11,13,0,0,0,37
2019-12,14,0,0,0,34
2020-01,13,0,0,0,28
2020-02,23,0,0,0,35
2020-03,15,8,0,0,33
2020-04,11,0,0,0,34
2020-05,14,0,0,0,32
2020-06,15,0,0,0,49
2020-07,26,0,0,0,52
2020-08,22,0,0,0,41
2020-09,27,0,0,0,44
2020-10,23,12,0,0,44
2020-11,17,100,0,0,29
2020-12,23,15,0,0,37
2021-01,19,9,0,0,29
2021-02,21,8,0,0,26
2021-03,15,5,0,0,32
2021-04,20,0,0,0,31
2021-05,25,0,0,0,27
2021-06,19,12,0,0,35
2021-07,18,4,0,0,25
2021-08,20,26,0,0,26
2021-09,25,20,0,0,23
2021-10,24,17,0,0,23
2021-11,26,6,0,0,28
2021-12,20,6,0,0,21
2022-01,13,6,0,0,25
2022-02,15,4,0,0,28
2022-03,18,9,0,0,31
2022-04,18,4,0,0,34
2022-05,15,6,0,0,34
2022-06,17,9,0,0,33
2022-07,21,5,0,0,29
2022-08,17,9,0,0,31
2022-09,22,6,0,0,40
2022-10,12,9,0,0,36
2022-11,13,5,0,0,37
2022-12,14,7,0,0,25
2023-01,17,6,0,0,23
2023-02,20,8,0,0,25
2023-03,17,8,0,0,26
2023-04,18,5,0,0,28
2023-05,21,11,0,0,33
2023-06,25,13,0,0,31
2023-07,20,6,0,0,28
2023-08,18,7,0,0,33
2023-09,18,6,0,0,26
2023-10,17,7,0,0,26
2023-11,15,11,0,0,31
2023-12,14,4,0,0,24
2024-01,14,8,0,0,28
2024-02,16,7,0,0,27
2024-03,15,6,0,0,30
2024-04,11,5,0,0,20
2024-05,12,6,0,0,25
2024-06,17,7,0,0,22
2024-07,15,7,0,0,22
2024-08,12,4,0,0,26
2024-09,14,5,0,0,27
2024-10,19,6,0,0,26
2024-11,15,8,0,0,29
2024-12,16,6,0,0,27
2025-01,15,5,0,0,27
2025-02,14,9,0,0,25
2025-03,13,5,0,0,22
2025-04,16,8,0,0,25
2025-05,14,6,0,0,21
2025-06,15,5,0,0,28
2025-07,14,11,0,0,23
2025-08,15,9,0,0,24
2025-09,15,11,0,0,23
