Category: All categories

Month,ব্রিজ: (Barisal Division),চেকপয়েন্ট: (Barisal Division),বাস: (Barisal Division),বিশ্ববিদ্যালয়: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,79
2014-09,0,0,0,0,86
2014-10,0,0,0,0,75
2014-11,0,0,0,0,72
2014-12,0,0,0,0,96
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,77
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,58,0,67
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,49,67
2017-10,0,0,0,53,52
2017-11,0,0,0,0,64
2017-12,0,0,0,0,57
2018-01,0,0,0,0,73
2018-02,0,0,0,29,53
2018-03,0,0,0,0,30
2018-04,0,0,0,28,39
2018-05,0,0,0,36,53
2018-06,0,0,0,0,21
2018-07,0,0,0,46,29
2018-08,0,0,0,49,42
2018-09,0,0,0,68,26
2018-10,0,0,0,53,45
2018-11,0,0,0,67,38
2018-12,0,0,0,36,40
2019-01,0,0,0,21,38
2019-02,0,0,0,54,39
2019-03,0,0,0,25,80
2019-04,0,0,16,31,59
2019-05,0,0,0,44,63
2019-06,0,0,0,21,28
2019-07,0,0,0,56,54
2019-08,0,0,0,64,57
2019-09,0,0,0,100,34
2019-10,0,0,17,80,41
2019-11,0,0,19,84,44
2019-12,0,0,10,62,40
2020-01,0,0,13,50,33
2020-02,0,0,0,46,42
2020-03,0,0,0,21,40
2020-04,0,0,10,14,40
2020-05,0,0,0,20,38
2020-06,0,0,7,19,58
2020-07,0,0,12,21,62
2020-08,0,0,12,21,48
2020-09,0,0,0,38,52
2020-10,0,0,12,38,52
2020-11,0,0,10,32,34
2020-12,0,0,12,31,44
2021-01,0,0,9,29,34
2021-02,0,0,14,54,30
2021-03,0,0,12,58,38
2021-04,0,0,5,28,36
2021-05,5,0,9,23,32
2021-06,4,0,8,31,41
2021-07,0,0,9,61,29
2021-08,0,0,12,44,31
2021-09,0,0,11,53,27
2021-10,0,0,12,56,27
2021-11,0,0,16,57,34
2021-12,0,0,15,55,25
2022-01,0,0,16,56,30
2022-02,0,0,12,50,34
2022-03,0,0,19,37,37
2022-04,0,0,15,44,40
2022-05,4,0,15,50,41
2022-06,5,0,24,54,39
2022-07,5,0,27,40,34
2022-08,4,0,23,45,37
2022-09,5,0,20,36,48
2022-10,4,0,19,35,42
2022-11,3,0,16,28,44
2022-12,3,0,19,22,30
2023-01,0,0,14,32,28
2023-02,0,0,20,38,30
2023-03,3,0,22,40,31
2023-04,0,0,19,34,33
2023-05,0,0,24,46,39
2023-06,4,0,25,41,37
2023-07,2,0,26,32,33
2023-08,3,0,19,33,40
2023-09,4,0,20,25,31
2023-10,3,0,19,31,31
2023-11,4,0,21,29,37
2023-12,2,0,21,33,28
2024-01,3,0,24,40,33
2024-02,3,0,21,40,32
2024-03,4,0,21,38,36
2024-04,3,0,25,28,24
2024-05,3,0,19,46,30
2024-06,3,0,21,28,26
2024-07,3,0,19,35,27
2024-08,3,0,19,26,31
2024-09,3,0,19,33,32
2024-10,0,0,21,29,31
2024-11,0,0,23,37,34
2024-12,7,0,22,38,32
2025-01,4,0,23,45,32
2025-02,0,0,24,44,29
2025-03,0,0,22,33,26
2025-04,0,0,25,28,30
2025-05,3,0,20,47,25
2025-06,4,0,26,22,34
2025-07,2,0,22,28,28
2025-08,<1,0,27,32,29
2025-09,3,0,26,44,28
