Category: All categories

Month,স্কুল: (Barisal Division),হাসপাতাল: (Barisal Division),হসপিটাল: (Barisal Division),সেতু: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,67
2014-09,0,0,0,0,72
2014-10,0,0,0,0,63
2014-11,0,0,0,0,60
2014-12,0,0,0,0,81
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,64
2017-01,0,0,0,56,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,56
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,57
2017-10,0,0,0,0,44
2017-11,0,0,0,0,54
2017-12,0,0,0,0,48
2018-01,0,0,0,0,62
2018-02,0,0,0,0,45
2018-03,0,0,0,0,25
2018-04,0,0,0,0,32
2018-05,0,0,0,0,45
2018-06,0,0,0,0,18
2018-07,0,0,0,0,25
2018-08,16,0,0,0,35
2018-09,0,13,0,0,22
2018-10,0,0,0,0,38
2018-11,0,0,0,0,32
2018-12,21,0,0,0,34
2019-01,0,14,0,15,32
2019-02,0,0,0,0,33
2019-03,15,0,0,0,67
2019-04,20,13,0,0,49
2019-05,0,0,0,0,53
2019-06,10,0,0,0,23
2019-07,12,0,0,22,45
2019-08,19,15,11,0,48
2019-09,15,14,0,0,29
2019-10,18,0,0,13,35
2019-11,28,0,0,0,37
2019-12,16,8,0,0,33
2020-01,20,11,0,9,28
2020-02,13,0,0,0,35
2020-03,15,11,0,7,33
2020-04,14,14,0,0,33
2020-05,15,7,0,7,32
2020-06,14,13,0,0,49
2020-07,14,12,0,0,52
2020-08,18,11,0,8,40
2020-09,22,16,5,0,44
2020-10,18,16,0,7,44
2020-11,27,7,0,6,29
2020-12,29,14,0,15,37
2021-01,28,8,0,12,29
2021-02,18,11,0,5,26
2021-03,19,13,0,11,32
2021-04,15,10,0,0,31
2021-05,17,12,0,6,27
2021-06,14,13,0,7,34
2021-07,12,12,0,5,24
2021-08,18,14,0,5,26
2021-09,26,17,4,12,23
2021-10,20,18,0,14,23
2021-11,30,15,0,9,28
2021-12,34,12,0,9,21
2022-01,31,12,0,7,25
2022-02,18,15,0,4,28
2022-03,27,15,0,10,31
2022-04,17,14,0,8,34
2022-05,19,14,2,23,34
2022-06,21,16,0,100,33
2022-07,26,17,0,31,29
2022-08,25,18,2,21,31
2022-09,21,21,3,28,40
2022-10,19,15,2,14,35
2022-11,29,13,0,11,37
2022-12,30,14,0,10,25
2023-01,29,11,0,8,23
2023-02,24,16,3,12,25
2023-03,25,18,0,9,26
2023-04,19,14,5,9,28
2023-05,19,19,4,14,33
2023-06,25,19,0,8,31
2023-07,22,23,5,7,28
2023-08,24,22,4,9,33
2023-09,24,20,4,6,26
2023-10,21,19,2,7,26
2023-11,26,13,0,6,31
2023-12,25,15,2,9,24
2024-01,25,13,4,8,27
2024-02,24,19,3,7,27
2024-03,28,21,5,8,30
2024-04,24,15,3,6,20
2024-05,31,21,4,7,25
2024-06,25,18,3,3,22
2024-07,24,17,4,5,22
2024-08,19,15,2,4,26
2024-09,21,18,4,4,27
2024-10,25,20,5,3,26
2024-11,33,17,4,2,29
2024-12,30,15,6,3,27
2025-01,23,23,5,4,27
2025-02,20,17,5,5,25
2025-03,14,13,4,2,22
2025-04,19,21,4,2,25
2025-05,22,17,5,5,21
2025-06,20,20,6,4,28
2025-07,36,24,5,0,23
2025-08,28,21,6,6,24
2025-09,27,21,6,3,24
