Category: All categories

Month,ভোটার: (Barisal Division),কমিটি: (Barisal Division),পরিষদ: (Barisal Division),মন্ত্রী: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,83
2014-09,0,0,0,0,90
2014-10,0,0,0,0,78
2014-11,0,0,0,0,75
2014-12,0,0,0,0,100
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,80
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,70
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,70
2017-10,0,0,0,0,55
2017-11,0,0,0,0,67
2017-12,0,0,0,0,59
2018-01,0,0,0,0,76
2018-02,0,0,0,0,55
2018-03,0,0,0,0,32
2018-04,0,0,0,0,40
2018-05,0,0,0,0,56
2018-06,0,0,0,0,22
2018-07,20,0,0,0,31
2018-08,0,0,0,36,44
2018-09,0,0,0,0,27
2018-10,0,0,0,0,47
2018-11,0,0,0,0,40
2018-12,0,0,0,0,42
2019-01,0,0,0,27,39
2019-02,0,0,0,0,40
2019-03,0,0,15,0,83
2019-04,0,19,0,0,61
2019-05,0,0,0,0,65
2019-06,0,0,0,0,29
2019-07,0,0,0,0,56
2019-08,13,0,0,0,60
2019-09,0,0,0,0,36
2019-10,13,11,14,20,43
2019-11,0,0,0,0,46
2019-12,13,14,0,0,41
2020-01,15,0,0,10,35
2020-02,0,14,10,0,44
2020-03,10,0,0,0,41
2020-04,8,0,9,0,42
2020-05,20,0,0,0,39
2020-06,14,0,9,13,61
2020-07,10,8,10,0,65
2020-08,10,0,10,0,50
2020-09,15,10,12,0,54
2020-10,14,7,16,0,54
2020-11,17,10,9,0,36
2020-12,14,7,14,9,46
2021-01,11,9,24,0,36
2021-02,16,10,30,0,32
2021-03,18,8,36,0,40
2021-04,7,0,13,0,38
2021-05,7,6,18,7,33
2021-06,13,0,27,9,43
2021-07,6,6,16,6,30
2021-08,16,6,10,4,32
2021-09,16,5,17,6,28
2021-10,20,10,20,7,28
2021-11,31,8,22,7,35
2021-12,22,5,19,10,27
2022-01,47,9,15,5,31
2022-02,24,6,14,6,35
2022-03,22,7,17,7,38
2022-04,21,5,12,7,42
2022-05,17,6,14,8,43
2022-06,19,6,15,7,41
2022-07,21,10,8,3,36
2022-08,19,8,12,10,38
2022-09,21,7,19,6,50
2022-10,17,9,16,4,44
2022-11,14,9,11,4,46
2022-12,13,10,9,4,31
2023-01,15,7,11,6,29
2023-02,12,9,11,6,32
2023-03,10,7,10,6,33
2023-04,6,8,7,3,35
2023-05,10,8,12,4,41
2023-06,14,6,10,4,38
2023-07,12,8,12,6,34
2023-08,10,6,10,4,41
2023-09,10,6,11,6,33
2023-10,5,5,9,0,32
2023-11,10,6,10,5,38
2023-12,16,6,9,5,29
2024-01,32,4,14,39,34
2024-02,9,4,11,11,34
2024-03,9,4,12,10,38
2024-04,10,4,13,4,25
2024-05,20,7,24,8,31
2024-06,10,5,17,4,27
2024-07,10,7,9,5,28
2024-08,4,13,14,16,33
2024-09,11,10,10,3,33
2024-10,8,9,13,4,33
2024-11,7,13,15,6,36
2024-12,13,9,12,0,34
2025-01,20,8,14,0,33
2025-02,11,7,10,0,31
2025-03,11,7,9,0,27
2025-04,12,7,9,0,31
2025-05,7,9,6,0,26
2025-06,4,7,7,0,35
2025-07,8,9,12,0,29
2025-08,10,8,12,3,30
2025-09,13,14,12,2,29
