Category: All categories

Month,সাংসদ: (Barisal Division),সংবিধান: (Barisal Division),ইউনিয়ন: (Barisal Division),ইউনিয়ন: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,83
2014-09,0,0,0,0,90
2014-10,0,0,0,0,78
2014-11,0,0,0,0,75
2014-12,0,0,0,0,100
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,80
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,70
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,70
2017-10,0,0,0,0,55
2017-11,0,0,0,0,67
2017-12,0,0,0,0,59
2018-01,0,0,0,0,76
2018-02,0,0,0,0,55
2018-03,0,0,0,0,32
2018-04,0,0,0,0,40
2018-05,0,0,0,0,56
2018-06,0,0,0,0,22
2018-07,0,0,0,0,31
2018-08,0,0,0,0,44
2018-09,0,0,0,0,27
2018-10,0,0,0,0,47
2018-11,0,0,18,0,40
2018-12,0,0,0,0,42
2019-01,0,0,0,0,39
2019-02,0,0,27,0,40
2019-03,0,0,17,20,83
2019-04,0,0,25,24,61
2019-05,0,0,0,0,65
2019-06,0,0,0,12,29
2019-07,0,0,13,15,56
2019-08,0,0,14,17,60
2019-09,0,14,33,35,36
2019-10,0,12,20,20,43
2019-11,0,0,28,19,46
2019-12,0,0,20,25,41
2020-01,0,0,22,24,35
2020-02,0,0,21,22,44
2020-03,0,9,12,13,41
2020-04,0,0,12,13,42
2020-05,0,0,11,11,39
2020-06,0,0,14,13,61
2020-07,0,0,21,19,65
2020-08,0,8,21,22,50
2020-09,0,0,26,26,54
2020-10,0,6,24,23,54
2020-11,0,0,20,20,36
2020-12,0,0,19,19,46
2021-01,0,9,26,28,36
2021-02,0,12,44,46,32
2021-03,0,5,54,54,40
2021-04,0,0,26,27,38
2021-05,0,0,27,27,33
2021-06,0,0,39,39,43
2021-07,0,0,25,25,30
2021-08,0,0,28,27,32
2021-09,0,0,37,36,28
2021-10,0,8,40,39,28
2021-11,0,6,41,42,35
2021-12,0,6,38,40,27
2022-01,0,5,30,30,31
2022-02,0,7,29,31,35
2022-03,0,6,38,38,38
2022-04,0,5,26,27,42
2022-05,0,4,25,24,43
2022-06,0,7,34,34,41
2022-07,0,4,27,27,36
2022-08,4,5,30,32,38
2022-09,0,7,32,33,50
2022-10,0,7,33,32,44
2022-11,0,6,28,28,46
2022-12,0,6,20,20,31
2023-01,0,7,20,21,29
2023-02,0,7,22,24,32
2023-03,0,6,28,28,33
2023-04,0,4,20,20,35
2023-05,0,7,22,22,41
2023-06,0,5,26,26,38
2023-07,0,4,27,26,34
2023-08,0,5,28,28,41
2023-09,0,7,24,24,33
2023-10,0,4,20,21,32
2023-11,0,8,22,22,38
2023-12,0,5,24,25,29
2024-01,2,7,28,28,34
2024-02,0,6,25,25,34
2024-03,0,7,30,30,38
2024-04,0,4,29,29,25
2024-05,0,7,37,35,31
2024-06,0,3,29,29,27
2024-07,0,6,31,29,28
2024-08,0,7,24,23,33
2024-09,0,5,25,26,33
2024-10,0,6,26,27,33
2024-11,0,9,26,25,36
2024-12,0,4,26,25,34
2025-01,0,5,26,23,33
2025-02,0,0,26,26,31
2025-03,0,3,19,19,27
2025-04,0,0,25,24,31
2025-05,0,3,25,25,26
2025-06,0,0,21,21,35
2025-07,0,6,23,24,29
2025-08,0,4,28,30,30
2025-09,0,7,28,28,29
