Category: All categories

Month,অধিদপ্তর: (Barisal Division),পরিকল্পনা: (Barisal Division),সংসদ: (Barisal Division),সংসদ সদস্য: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,78
2014-09,0,0,0,0,85
2014-10,0,0,0,0,74
2014-11,0,0,0,0,71
2014-12,0,0,0,0,94
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,75
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,66
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,66
2017-10,0,0,0,0,52
2017-11,0,0,0,0,63
2017-12,59,0,0,0,56
2018-01,37,0,0,0,72
2018-02,0,0,0,0,52
2018-03,41,0,0,0,30
2018-04,30,0,0,0,38
2018-05,54,28,0,0,52
2018-06,33,25,0,0,21
2018-07,95,21,0,0,29
2018-08,35,0,0,0,41
2018-09,70,17,0,0,26
2018-10,53,0,0,0,45
2018-11,32,0,0,0,38
2018-12,27,0,21,0,40
2019-01,41,0,21,0,37
2019-02,40,0,0,0,38
2019-03,45,0,0,0,78
2019-04,32,0,0,0,58
2019-05,59,0,18,0,62
2019-06,32,0,0,0,27
2019-07,25,14,0,0,53
2019-08,43,0,0,0,57
2019-09,73,0,0,0,34
2019-10,50,0,0,0,41
2019-11,57,13,0,0,43
2019-12,60,0,0,0,39
2020-01,61,10,0,0,33
2020-02,53,21,0,0,41
2020-03,35,10,0,0,39
2020-04,37,8,0,0,39
2020-05,61,0,0,0,37
2020-06,47,7,8,0,57
2020-07,68,0,9,0,61
2020-08,45,0,7,0,47
2020-09,79,10,8,0,51
2020-10,89,15,6,0,51
2020-11,100,25,5,0,34
2020-12,70,15,6,0,43
2021-01,74,10,0,0,34
2021-02,73,9,6,0,30
2021-03,76,11,5,0,37
2021-04,41,7,5,0,36
2021-05,50,11,7,0,32
2021-06,48,11,0,0,40
2021-07,47,10,4,0,29
2021-08,90,51,5,0,31
2021-09,91,46,0,0,27
2021-10,76,28,0,0,26
2021-11,100,14,4,0,33
2021-12,97,20,0,0,25
2022-01,71,13,0,0,29
2022-02,69,8,4,0,33
2022-03,81,13,7,0,36
2022-04,92,15,4,0,40
2022-05,57,12,5,0,40
2022-06,74,13,8,0,39
2022-07,65,8,4,0,34
2022-08,71,9,5,0,36
2022-09,65,16,3,0,47
2022-10,82,19,4,0,42
2022-11,66,47,4,0,43
2022-12,62,16,4,0,29
2023-01,72,19,4,0,27
2023-02,67,16,5,0,30
2023-03,68,14,6,0,31
2023-04,52,6,3,0,33
2023-05,66,17,4,0,39
2023-06,66,14,5,0,36
2023-07,80,9,4,0,32
2023-08,80,13,7,0,39
2023-09,88,11,8,0,31
2023-10,83,8,5,0,30
2023-11,70,12,14,2,36
2023-12,62,8,16,0,28
2024-01,64,13,41,7,32
2024-02,61,12,8,0,32
2024-03,71,15,9,0,36
2024-04,77,11,3,0,24
2024-05,78,12,3,0,30
2024-06,56,10,3,0,25
2024-07,77,9,3,0,26
2024-08,53,6,8,0,31
2024-09,60,8,6,0,31
2024-10,56,10,0,0,31
2024-11,51,10,8,0,34
2024-12,68,8,0,0,32
2025-01,51,9,4,0,31
2025-02,48,10,4,0,29
2025-03,53,6,0,0,26
2025-04,65,5,5,0,30
2025-05,55,8,0,0,25
2025-06,34,4,0,0,33
2025-07,40,10,3,0,27
2025-08,57,10,5,0,29
2025-09,57,8,9,0,27
