Category: All categories

Month,মন্ত্রণালয়: (Barisal Division),কর্মকর্তা: (Barisal Division),প্রার্থী: (Barisal Division),প্রধানমন্ত্রী: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,83
2014-09,0,0,0,0,90
2014-10,0,0,0,0,78
2014-11,0,0,0,0,75
2014-12,0,0,0,59,100
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,80
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,76,0,0,0,0
2017-04,0,0,0,0,70
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,70
2017-10,0,0,0,0,55
2017-11,0,0,0,0,67
2017-12,0,0,0,0,59
2018-01,0,0,0,0,76
2018-02,31,0,0,42,55
2018-03,0,0,0,0,32
2018-04,0,0,0,0,40
2018-05,0,0,0,0,56
2018-06,30,0,0,0,22
2018-07,24,0,0,0,31
2018-08,31,0,0,0,44
2018-09,34,0,0,0,27
2018-10,47,0,0,0,47
2018-11,30,0,0,0,40
2018-12,0,0,20,25,42
2019-01,29,0,0,0,39
2019-02,37,0,0,21,40
2019-03,38,0,0,0,83
2019-04,33,0,0,0,61
2019-05,42,0,0,0,65
2019-06,28,0,0,0,29
2019-07,31,0,0,0,56
2019-08,30,0,0,0,60
2019-09,37,0,0,0,36
2019-10,34,0,0,19,43
2019-11,40,0,0,0,46
2019-12,47,0,0,0,41
2020-01,45,0,0,0,35
2020-02,32,0,0,12,44
2020-03,33,0,0,0,41
2020-04,45,0,0,14,42
2020-05,36,0,0,8,39
2020-06,46,12,0,0,61
2020-07,42,7,0,0,65
2020-08,39,0,0,0,50
2020-09,50,0,0,0,54
2020-10,43,8,0,8,54
2020-11,28,0,0,7,36
2020-12,53,0,0,7,46
2021-01,44,0,0,18,36
2021-02,40,0,0,20,32
2021-03,57,6,5,11,40
2021-04,30,5,0,28,38
2021-05,29,0,0,22,33
2021-06,31,0,0,21,43
2021-07,31,0,0,13,30
2021-08,28,5,0,8,32
2021-09,34,0,0,15,28
2021-10,41,6,0,5,28
2021-11,39,6,0,0,35
2021-12,41,9,0,11,27
2022-01,38,6,0,9,31
2022-02,38,6,0,7,35
2022-03,37,5,0,8,38
2022-04,39,5,0,10,42
2022-05,33,6,3,13,43
2022-06,31,6,0,12,41
2022-07,35,5,0,9,36
2022-08,38,5,0,13,38
2022-09,34,8,0,21,50
2022-10,35,7,3,10,44
2022-11,33,7,0,10,46
2022-12,36,5,0,9,31
2023-01,41,8,0,4,29
2023-02,38,8,0,7,32
2023-03,35,9,0,8,33
2023-04,27,7,0,6,35
2023-05,35,5,4,13,41
2023-06,43,5,3,8,38
2023-07,48,7,0,7,34
2023-08,35,8,0,18,41
2023-09,35,7,0,10,33
2023-10,31,8,0,8,32
2023-11,36,7,11,9,38
2023-12,28,9,15,12,29
2024-01,42,9,11,11,34
2024-02,34,7,0,9,34
2024-03,39,7,4,7,38
2024-04,38,9,0,5,25
2024-05,28,8,6,8,31
2024-06,27,8,2,5,27
2024-07,24,6,0,8,28
2024-08,41,6,0,14,33
2024-09,41,7,0,6,33
2024-10,38,9,0,4,33
2024-11,39,9,0,3,36
2024-12,28,9,0,5,34
2025-01,32,9,0,5,33
2025-02,29,7,0,8,31
2025-03,25,7,0,5,27
2025-04,20,10,0,3,31
2025-05,24,9,0,3,26
2025-06,20,8,0,3,35
2025-07,26,10,0,3,29
2025-08,32,12,3,6,30
2025-09,33,12,9,7,29
