Category: All categories

Month,প্রতিনিধি: (Barisal Division),নির্বাচন: (Barisal Division),নিয়ম: (Barisal Division),আইন: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,42
2014-09,0,0,0,0,46
2014-10,0,0,0,0,40
2014-11,0,0,0,0,38
2014-12,0,0,0,0,51
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,71,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,41
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,36
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,36,0,0
2017-09,0,0,26,0,36
2017-10,0,0,29,0,28
2017-11,0,0,34,0,34
2017-12,0,17,33,0,30
2018-01,0,0,31,0,39
2018-02,0,0,32,0,28
2018-03,0,0,32,14,16
2018-04,0,0,33,0,20
2018-05,0,0,43,13,28
2018-06,0,16,37,0,11
2018-07,0,31,36,0,16
2018-08,0,0,31,10,22
2018-09,0,0,37,9,14
2018-10,0,14,42,18,24
2018-11,0,19,40,21,20
2018-12,0,35,38,9,21
2019-01,0,13,36,9,20
2019-02,0,25,42,9,21
2019-03,0,29,46,11,42
2019-04,0,15,69,14,31
2019-05,0,17,49,22,33
2019-06,0,15,55,8,15
2019-07,0,8,46,9,29
2019-08,0,7,55,10,30
2019-09,0,0,48,13,18
2019-10,0,6,41,18,22
2019-11,6,10,42,23,23
2019-12,0,10,45,13,21
2020-01,0,18,49,11,18
2020-02,0,15,51,10,22
2020-03,0,7,70,5,21
2020-04,0,6,100,8,21
2020-05,0,11,82,6,20
2020-06,0,10,56,10,31
2020-07,0,12,63,11,33
2020-08,0,22,58,12,26
2020-09,0,15,61,11,28
2020-10,0,13,51,14,27
2020-11,0,59,58,12,18
2020-12,0,19,53,12,23
2021-01,0,24,52,18,18
2021-02,0,31,59,15,16
2021-03,0,37,67,15,20
2021-04,0,19,57,10,19
2021-05,0,23,72,8,17
2021-06,0,25,56,8,22
2021-07,0,9,56,8,15
2021-08,0,10,58,13,16
2021-09,0,20,59,14,14
2021-10,0,16,57,14,14
2021-11,0,22,58,12,18
2021-12,0,15,58,13,13
2022-01,0,18,60,13,16
2022-02,0,12,60,12,18
2022-03,0,11,77,12,19
2022-04,0,7,84,11,21
2022-05,0,11,65,12,22
2022-06,0,13,59,11,21
2022-07,0,8,60,10,18
2022-08,0,7,58,10,20
2022-09,0,11,67,14,25
2022-10,0,10,55,12,22
2022-11,1,8,62,13,23
2022-12,0,9,50,11,16
2023-01,0,6,56,12,15
2023-02,0,7,74,14,16
2023-03,0,10,78,13,17
2023-04,0,8,66,9,18
2023-05,0,24,62,13,21
2023-06,0,28,70,16,20
2023-07,0,9,58,12,17
2023-08,0,8,69,12,21
2023-09,0,6,52,17,17
2023-10,0,7,55,15,16
2023-11,0,14,63,14,19
2023-12,0,22,54,10,15
2024-01,0,43,51,12,17
2024-02,0,11,60,11,17
2024-03,0,11,60,12,19
2024-04,0,16,53,7,13
2024-05,0,32,50,10,16
2024-06,0,17,50,9,14
2024-07,0,4,49,11,14
2024-08,0,7,42,10,17
2024-09,0,6,46,12,17
2024-10,0,11,50,12,17
2024-11,0,16,51,14,18
2024-12,0,6,46,9,17
2025-01,0,7,44,9,17
2025-02,0,7,51,13,16
2025-03,0,5,58,9,14
2025-04,0,5,39,10,16
2025-05,0,5,46,12,13
2025-06,0,4,42,7,18
2025-07,0,8,44,14,15
2025-08,1,12,51,12,15
2025-09,1,37,50,13,15
