Category: All categories

Month,আদেশ: (Barisal Division),সঙ্কল্প: (Barisal Division),প্রস্তাব: (Barisal Division),সমাধান: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,78
2014-09,0,0,0,0,84
2014-10,0,0,0,0,73
2014-11,0,0,0,0,70
2014-12,0,0,0,0,94
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,75
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,65
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,66
2017-10,0,0,0,0,51
2017-11,0,0,0,0,62
2017-12,0,0,0,0,56
2018-01,0,0,0,0,72
2018-02,0,0,0,0,52
2018-03,0,0,0,0,30
2018-04,0,0,0,0,38
2018-05,0,0,0,0,52
2018-06,0,0,0,0,21
2018-07,0,0,0,0,29
2018-08,0,0,0,0,41
2018-09,0,0,0,0,26
2018-10,0,0,0,0,44
2018-11,0,0,0,0,37
2018-12,18,0,0,0,39
2019-01,0,0,0,19,37
2019-02,0,0,0,0,38
2019-03,0,0,0,17,78
2019-04,0,0,0,26,57
2019-05,0,0,0,22,61
2019-06,0,0,0,14,27
2019-07,0,0,0,0,53
2019-08,0,0,0,12,56
2019-09,0,0,0,24,33
2019-10,0,0,0,11,40
2019-11,0,0,0,11,43
2019-12,0,0,0,11,39
2020-01,0,0,0,9,33
2020-02,0,0,0,19,41
2020-03,0,0,0,12,39
2020-04,0,0,0,10,39
2020-05,0,0,0,8,37
2020-06,0,0,0,12,57
2020-07,0,0,0,16,61
2020-08,6,0,0,16,47
2020-09,0,0,0,12,51
2020-10,0,0,0,8,51
2020-11,5,0,0,100,34
2020-12,11,0,0,78,43
2021-01,7,0,0,14,34
2021-02,7,0,0,14,30
2021-03,0,0,0,30,37
2021-04,0,0,0,22,35
2021-05,0,0,0,14,31
2021-06,0,0,0,56,40
2021-07,0,0,4,48,28
2021-08,0,0,0,95,30
2021-09,4,0,0,67,27
2021-10,6,0,0,36,26
2021-11,0,0,0,37,33
2021-12,0,0,5,22,25
2022-01,4,0,0,15,29
2022-02,4,0,4,32,33
2022-03,3,0,3,28,36
2022-04,3,0,3,21,39
2022-05,0,0,4,15,40
2022-06,0,0,0,25,38
2022-07,3,0,0,15,33
2022-08,3,0,2,21,36
2022-09,3,0,3,25,47
2022-10,3,0,5,19,41
2022-11,5,0,3,22,43
2022-12,3,0,3,20,29
2023-01,3,0,3,19,27
2023-02,4,0,0,22,29
2023-03,3,0,2,26,30
2023-04,3,0,0,15,32
2023-05,3,0,3,38,38
2023-06,6,0,3,25,36
2023-07,6,0,0,17,32
2023-08,5,0,0,24,39
2023-09,6,0,4,29,30
2023-10,4,0,3,21,30
2023-11,4,0,2,43,36
2023-12,4,0,0,17,28
2024-01,3,0,0,25,32
2024-02,3,0,4,44,32
2024-03,4,0,3,39,35
2024-04,3,0,0,13,23
2024-05,4,0,0,25,29
2024-06,3,0,0,19,25
2024-07,4,0,0,26,26
2024-08,5,0,0,13,31
2024-09,5,0,0,15,31
2024-10,5,0,3,14,31
2024-11,4,0,3,14,34
2024-12,4,0,0,10,32
2025-01,3,0,0,14,31
2025-02,6,0,0,19,29
2025-03,0,0,0,18,26
2025-04,3,0,0,26,29
2025-05,3,0,0,23,25
2025-06,4,0,0,10,33
2025-07,6,0,4,18,27
2025-08,5,<1,<1,20,28
2025-09,4,0,3,19,27
