Category: All categories

Month,নগদ সহায়তা: (Barisal Division),ঔষধ: (Barisal Division),ঔষধ: (Barisal Division),ওষুধ: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,83
2014-09,0,0,0,0,90
2014-10,0,0,0,0,78
2014-11,0,0,0,0,75
2014-12,0,0,0,0,100
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,80
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,70
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,45,0,0,70
2017-10,0,0,0,0,55
2017-11,0,0,0,0,67
2017-12,0,0,0,0,59
2018-01,0,0,0,0,76
2018-02,0,0,0,0,55
2018-03,0,0,26,0,32
2018-04,0,0,0,0,40
2018-05,0,0,0,0,56
2018-06,0,0,0,0,22
2018-07,0,23,0,0,31
2018-08,0,0,0,0,44
2018-09,0,0,23,0,27
2018-10,0,17,19,0,47
2018-11,0,0,0,0,40
2018-12,0,20,0,0,42
2019-01,0,18,22,0,39
2019-02,0,0,0,0,40
2019-03,0,18,0,0,83
2019-04,0,36,36,0,61
2019-05,0,23,18,0,65
2019-06,0,21,21,0,29
2019-07,0,21,24,0,56
2019-08,0,22,25,0,60
2019-09,0,29,29,0,36
2019-10,0,25,27,0,43
2019-11,0,18,18,0,46
2019-12,0,16,19,12,41
2020-01,0,22,23,15,35
2020-02,0,21,21,0,44
2020-03,0,37,39,10,41
2020-04,0,44,44,13,42
2020-05,0,44,39,10,39
2020-06,0,42,43,9,61
2020-07,0,31,36,8,65
2020-08,0,37,36,14,50
2020-09,0,33,33,9,54
2020-10,0,32,32,8,54
2020-11,0,31,30,6,36
2020-12,0,29,29,11,46
2021-01,0,35,32,11,36
2021-02,0,25,25,0,32
2021-03,0,39,38,12,40
2021-04,0,33,27,14,38
2021-05,0,28,26,10,33
2021-06,0,41,40,11,43
2021-07,0,42,43,13,30
2021-08,0,39,39,12,32
2021-09,0,38,39,8,28
2021-10,0,37,35,11,28
2021-11,0,32,33,8,35
2021-12,0,35,36,10,27
2022-01,0,36,35,8,31
2022-02,0,37,37,11,35
2022-03,0,41,40,13,38
2022-04,0,42,42,11,42
2022-05,0,38,38,12,43
2022-06,0,46,45,11,41
2022-07,0,50,48,15,36
2022-08,0,46,48,14,38
2022-09,0,51,50,17,50
2022-10,0,45,45,15,44
2022-11,0,44,44,14,46
2022-12,0,44,44,11,31
2023-01,0,45,46,17,29
2023-02,0,54,55,18,32
2023-03,0,59,59,22,33
2023-04,0,50,51,17,35
2023-05,0,55,56,18,41
2023-06,0,61,62,25,38
2023-07,0,64,62,23,34
2023-08,0,55,56,23,41
2023-09,0,55,55,24,33
2023-10,0,63,63,20,32
2023-11,0,58,58,19,38
2023-12,0,56,57,21,29
2024-01,0,49,48,20,34
2024-02,0,49,49,21,34
2024-03,0,49,50,20,38
2024-04,0,48,48,21,25
2024-05,0,46,45,20,31
2024-06,0,48,48,20,27
2024-07,0,48,47,22,28
2024-08,0,47,47,20,33
2024-09,0,46,46,24,33
2024-10,0,53,53,19,33
2024-11,0,51,50,23,36
2024-12,0,54,54,22,34
2025-01,0,48,48,19,33
2025-02,0,49,50,22,31
2025-03,0,52,52,21,27
2025-04,0,46,47,21,31
2025-05,0,44,45,25,26
2025-06,0,50,51,24,35
2025-07,0,63,65,23,29
2025-08,0,67,67,26,30
2025-09,0,62,62,28,29
