Category: All categories

Month,officer: (Barisal Division),officers: (Barisal Division),judge: (Barisal Division),judge: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,84
2014-09,0,0,0,0,91
2014-10,91,0,0,0,79
2014-11,0,0,0,0,75
2014-12,0,0,0,0,100
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,80
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,70
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,70
2017-10,68,0,0,0,55
2017-11,43,0,0,0,67
2017-12,35,0,0,0,60
2018-01,40,0,0,0,77
2018-02,0,0,0,0,55
2018-03,0,0,0,0,32
2018-04,29,0,0,0,41
2018-05,33,0,0,0,57
2018-06,36,0,0,0,22
2018-07,0,0,0,0,31
2018-08,0,0,0,0,44
2018-09,18,0,0,0,27
2018-10,0,0,0,0,48
2018-11,31,0,0,0,40
2018-12,0,0,0,0,42
2019-01,0,0,0,0,40
2019-02,20,0,0,0,41
2019-03,31,0,0,0,84
2019-04,23,0,0,0,61
2019-05,26,0,0,0,66
2019-06,0,0,0,0,29
2019-07,13,0,0,0,57
2019-08,18,0,0,0,60
2019-09,16,0,0,0,36
2019-10,34,0,0,0,44
2019-11,26,0,0,0,46
2019-12,30,0,0,0,42
2020-01,20,0,0,0,35
2020-02,16,0,0,0,44
2020-03,16,0,0,0,42
2020-04,12,0,0,0,42
2020-05,8,0,9,9,39
2020-06,11,0,7,7,60
2020-07,14,0,8,8,65
2020-08,20,0,0,0,51
2020-09,17,0,0,0,55
2020-10,16,0,0,0,53
2020-11,16,0,0,0,36
2020-12,14,0,0,0,46
2021-01,17,0,0,0,36
2021-02,11,0,8,8,32
2021-03,15,0,0,0,40
2021-04,7,0,7,7,38
2021-05,16,7,0,0,34
2021-06,15,0,0,0,43
2021-07,13,0,5,5,30
2021-08,13,0,0,0,33
2021-09,24,0,0,0,28
2021-10,19,0,0,0,28
2021-11,15,0,0,0,35
2021-12,21,0,0,0,26
2022-01,13,0,0,0,31
2022-02,14,0,4,4,35
2022-03,17,0,4,4,38
2022-04,14,0,3,3,43
2022-05,15,0,0,0,43
2022-06,16,0,6,6,41
2022-07,17,0,3,3,36
2022-08,13,0,3,3,39
2022-09,12,0,3,3,50
2022-10,14,0,3,3,44
2022-11,13,0,0,0,46
2022-12,13,0,0,0,31
2023-01,18,0,3,3,29
2023-02,16,3,0,0,32
2023-03,16,0,0,0,33
2023-04,13,0,0,0,35
2023-05,15,0,4,4,41
2023-06,21,0,4,4,39
2023-07,12,0,3,3,35
2023-08,12,0,3,3,41
2023-09,15,0,2,2,33
2023-10,12,0,2,2,32
2023-11,16,0,0,0,38
2023-12,16,0,0,0,30
2024-01,21,0,2,2,34
2024-02,14,0,0,0,34
2024-03,11,0,0,0,38
2024-04,16,0,0,0,25
2024-05,13,0,3,3,32
2024-06,12,0,0,0,27
2024-07,12,0,0,0,28
2024-08,7,3,4,4,33
2024-09,11,0,0,0,33
2024-10,11,0,9,9,33
2024-11,12,0,5,5,36
2024-12,12,0,0,0,34
2025-01,13,0,3,3,34
2025-02,13,0,0,0,31
2025-03,15,0,0,0,28
2025-04,16,0,0,0,32
2025-05,14,0,0,0,27
2025-06,12,0,0,0,35
2025-07,15,0,0,0,29
2025-08,15,0,<1,0,30
2025-09,14,1,2,2,29
