Category: All categories

Month,doctor: (Barisal Division),nurse: (Barisal Division),nurse: (Barisal Division),engineer: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,73
2014-09,0,0,0,0,69
2014-10,0,0,0,0,80
2014-11,0,0,0,0,100
2014-12,0,0,0,0,93
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,95
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,57
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,49,0,0,0,0
2017-08,0,0,0,0,0
2017-09,78,0,0,62,56
2017-10,55,0,0,0,49
2017-11,36,0,0,0,55
2017-12,57,0,37,0,34
2018-01,43,32,0,0,47
2018-02,50,0,0,0,50
2018-03,57,0,0,0,36
2018-04,34,0,0,0,38
2018-05,52,0,0,0,58
2018-06,44,0,0,0,22
2018-07,70,0,0,0,30
2018-08,43,0,0,0,50
2018-09,34,0,20,0,32
2018-10,63,0,0,0,36
2018-11,50,0,0,0,56
2018-12,51,0,0,0,42
2019-01,61,0,0,0,39
2019-02,60,0,16,0,41
2019-03,46,0,0,0,79
2019-04,55,0,0,0,53
2019-05,33,0,0,0,60
2019-06,49,0,13,0,35
2019-07,40,0,0,0,57
2019-08,41,0,0,13,55
2019-09,40,12,11,0,45
2019-10,38,0,0,0,39
2019-11,56,0,0,0,43
2019-12,45,0,0,0,44
2020-01,49,11,11,0,33
2020-02,56,12,0,12,48
2020-03,53,12,14,11,34
2020-04,49,0,0,8,44
2020-05,37,11,0,8,40
2020-06,52,0,0,0,58
2020-07,48,7,0,10,62
2020-08,52,15,9,14,45
2020-09,71,8,14,11,51
2020-10,53,0,0,8,53
2020-11,46,7,0,9,31
2020-12,45,7,6,7,41
2021-01,49,9,9,6,36
2021-02,48,0,6,0,31
2021-03,52,0,6,7,39
2021-04,40,7,7,10,35
2021-05,48,6,0,7,34
2021-06,40,7,7,5,42
2021-07,44,4,0,6,32
2021-08,50,6,6,6,32
2021-09,48,5,5,8,28
2021-10,54,7,7,7,25
2021-11,49,11,10,5,36
2021-12,47,11,10,0,26
2022-01,55,8,9,7,30
2022-02,54,11,11,7,36
2022-03,61,10,11,9,38
2022-04,53,10,10,6,41
2022-05,74,9,10,7,42
2022-06,57,10,10,6,40
2022-07,64,11,7,8,34
2022-08,57,9,10,6,38
2022-09,53,5,6,7,49
2022-10,54,8,7,7,42
2022-11,44,6,6,4,46
2022-12,48,7,7,5,28
2023-01,45,8,9,7,28
2023-02,52,8,8,8,31
2023-03,49,7,8,7,31
2023-04,44,6,5,5,33
2023-05,51,10,8,7,40
2023-06,48,8,8,5,36
2023-07,53,11,10,8,31
2023-08,49,11,10,6,40
2023-09,57,8,8,5,32
2023-10,41,9,10,4,31
2023-11,46,6,5,5,36
2023-12,45,6,6,6,29
2024-01,39,7,6,7,33
2024-02,47,6,7,4,34
2024-03,45,8,7,7,35
2024-04,41,7,7,7,24
2024-05,47,9,8,5,30
2024-06,45,5,6,5,26
2024-07,46,9,10,5,27
2024-08,57,5,4,6,32
2024-09,52,8,7,6,32
2024-10,52,6,6,5,33
2024-11,50,12,11,5,33
2024-12,45,9,8,5,33
2025-01,48,9,9,6,32
2025-02,50,6,7,6,29
2025-03,47,7,5,6,27
2025-04,51,9,8,12,30
2025-05,54,6,6,6,25
2025-06,51,5,4,7,33
2025-07,55,5,5,6,28
2025-08,51,9,9,7,29
2025-09,48,6,6,5,28
