Category: All categories

Month,money: (Barisal Division),Email: (Barisal Division)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,0
2006-04,0,0
2006-05,0,0
2006-06,0,0
2006-07,0,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,0,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,0
2007-04,0,0
2007-05,0,0
2007-06,0,0
2007-07,0,0
2007-08,0,0
2007-09,0,0
2007-10,0,0
2007-11,0,0
2007-12,0,0
2008-01,0,0
2008-02,0,0
2008-03,0,0
2008-04,0,0
2008-05,0,0
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,0,0
2008-10,0,0
2008-11,0,0
2008-12,0,0
2009-01,0,0
2009-02,0,0
2009-03,0,0
2009-04,0,0
2009-05,0,0
2009-06,0,0
2009-07,0,0
2009-08,0,0
2009-09,0,0
2009-10,0,0
2009-11,0,0
2009-12,0,0
2010-01,0,0
2010-02,0,0
2010-03,0,0
2010-04,0,0
2010-05,0,0
2010-06,0,0
2010-07,0,0
2010-08,0,0
2010-09,0,0
2010-10,0,0
2010-11,0,0
2010-12,0,0
2011-01,0,0
2011-02,0,0
2011-03,0,0
2011-04,0,0
2011-05,0,0
2011-06,0,0
2011-07,0,0
2011-08,0,0
2011-09,0,0
2011-10,0,0
2011-11,0,0
2011-12,0,0
2012-01,0,0
2012-02,0,0
2012-03,0,0
2012-04,0,0
2012-05,0,0
2012-06,0,0
2012-07,0,0
2012-08,0,0
2012-09,0,0
2012-10,0,0
2012-11,0,0
2012-12,0,0
2013-01,0,0
2013-02,0,0
2013-03,0,0
2013-04,0,0
2013-05,0,0
2013-06,0,0
2013-07,0,0
2013-08,0,0
2013-09,0,0
2013-10,0,0
2013-11,0,0
2013-12,0,0
2014-01,0,0
2014-02,0,0
2014-03,0,0
2014-04,0,0
2014-05,0,0
2014-06,0,0
2014-07,0,0
2014-08,100,53
2014-09,60,50
2014-10,97,59
2014-11,58,74
2014-12,44,68
2015-01,0,0
2015-02,0,0
2015-03,0,0
2015-04,0,0
2015-05,0,0
2015-06,0,0
2015-07,0,0
2015-08,0,0
2015-09,0,0
2015-10,0,0
2015-11,0,0
2015-12,0,0
2016-01,0,0
2016-02,0,0
2016-03,0,0
2016-04,0,0
2016-05,0,0
2016-06,0,0
2016-07,0,0
2016-08,0,0
2016-09,0,0
2016-10,0,0
2016-11,0,0
2016-12,0,70
2017-01,0,0
2017-02,0,0
2017-03,0,0
2017-04,0,42
2017-05,54,0
2017-06,0,0
2017-07,33,0
2017-08,35,0
2017-09,35,41
2017-10,30,36
2017-11,0,40
2017-12,27,25
2018-01,24,35
2018-02,50,36
2018-03,32,26
2018-04,24,28
2018-05,32,43
2018-06,31,16
2018-07,43,22
2018-08,41,37
2018-09,44,23
2018-10,28,27
2018-11,41,41
2018-12,30,31
2019-01,25,29
2019-02,36,30
2019-03,35,58
2019-04,20,39
2019-05,32,44
2019-06,31,26
2019-07,40,42
2019-08,31,40
2019-09,26,33
2019-10,32,29
2019-11,27,32
2019-12,32,32
2020-01,34,24
2020-02,33,35
2020-03,32,25
2020-04,62,32
2020-05,48,30
2020-06,38,43
2020-07,40,46
2020-08,41,33
2020-09,29,38
2020-10,29,39
2020-11,28,23
2020-12,32,30
2021-01,38,26
2021-02,31,22
2021-03,31,29
2021-04,34,25
2021-05,39,25
2021-06,57,31
2021-07,42,23
2021-08,41,23
2021-09,39,20
2021-10,30,18
2021-11,24,26
2021-12,38,19
2022-01,33,22
2022-02,34,26
2022-03,35,28
2022-04,32,30
2022-05,31,31
2022-06,35,29
2022-07,45,25
2022-08,45,28
2022-09,41,36
2022-10,42,31
2022-11,34,34
2022-12,38,21
2023-01,35,21
2023-02,40,23
2023-03,37,23
2023-04,38,24
2023-05,33,29
2023-06,39,26
2023-07,37,23
2023-08,54,30
2023-09,38,24
2023-10,33,23
2023-11,31,26
2023-12,36,21
2024-01,41,24
2024-02,29,25
2024-03,33,26
2024-04,35,17
2024-05,33,22
2024-06,31,19
2024-07,36,20
2024-08,44,23
2024-09,38,24
2024-10,33,25
2024-11,34,24
2024-12,31,24
2025-01,31,24
2025-02,24,21
2025-03,25,20
2025-04,30,22
2025-05,25,18
2025-06,26,24
2025-07,26,20
2025-08,25,21
2025-09,21,21
