Category: All categories

Month,tax: (Barisal Division),taxes: (Barisal Division),good: (Barisal Division),good: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,39,42
2014-09,0,0,40,45,40
2014-10,0,0,0,53,46
2014-11,0,0,0,0,58
2014-12,0,0,40,0,54
2015-01,0,0,100,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,96,0
2016-06,0,0,0,0,0
2016-07,0,0,0,90,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,57,58,55
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,41,39,0
2017-04,0,0,0,0,33
2017-05,0,0,48,0,0
2017-06,0,0,0,32,0
2017-07,0,0,39,26,0
2017-08,0,0,33,30,0
2017-09,0,0,35,0,32
2017-10,0,0,36,24,28
2017-11,19,0,26,28,32
2017-12,0,0,47,46,19
2018-01,0,0,32,36,27
2018-02,17,0,28,38,29
2018-03,0,0,38,39,21
2018-04,0,0,52,49,22
2018-05,0,0,50,48,34
2018-06,0,0,21,25,13
2018-07,0,0,32,34,17
2018-08,0,0,38,37,29
2018-09,0,0,40,38,18
2018-10,0,0,33,31,21
2018-11,18,0,35,38,33
2018-12,14,0,26,23,24
2019-01,22,0,42,46,23
2019-02,0,0,40,41,24
2019-03,0,0,44,43,46
2019-04,0,0,39,33,30
2019-05,0,0,28,27,35
2019-06,0,0,26,22,20
2019-07,0,0,38,36,33
2019-08,10,0,30,31,32
2019-09,9,0,29,29,26
2019-10,9,0,37,34,23
2019-11,13,0,42,42,25
2019-12,10,0,30,30,25
2020-01,13,0,44,42,19
2020-02,8,0,39,44,28
2020-03,5,0,43,40,20
2020-04,0,0,50,50,25
2020-05,6,0,34,37,23
2020-06,6,0,38,38,34
2020-07,4,0,44,43,36
2020-08,7,0,34,34,26
2020-09,5,0,40,40,30
2020-10,10,0,34,34,31
2020-11,16,0,42,43,18
2020-12,6,0,40,39,24
2021-01,6,0,38,37,21
2021-02,6,0,36,36,18
2021-03,5,0,30,31,23
2021-04,4,0,23,23,20
2021-05,6,0,31,30,19
2021-06,5,0,31,31,25
2021-07,4,0,34,34,18
2021-08,6,0,36,35,18
2021-09,4,0,30,31,16
2021-10,6,0,35,33,14
2021-11,11,0,32,33,21
2021-12,8,0,38,39,15
2022-01,5,0,31,31,17
2022-02,6,0,33,33,21
2022-03,6,1,32,31,22
2022-04,4,0,33,33,23
2022-05,5,0,31,31,25
2022-06,7,0,35,34,23
2022-07,7,0,30,30,20
2022-08,6,0,33,33,22
2022-09,6,0,31,30,28
2022-10,7,0,35,35,24
2022-11,12,0,31,32,27
2022-12,6,0,27,27,16
2023-01,6,0,30,30,16
2023-02,7,0,30,32,18
2023-03,8,0,30,30,18
2023-04,7,0,27,27,19
2023-05,9,0,28,28,23
2023-06,9,0,30,29,21
2023-07,8,0,29,29,18
2023-08,13,0,30,30,23
2023-09,11,0,26,25,19
2023-10,11,0,24,24,18
2023-11,20,0,30,30,21
2023-12,8,0,26,26,17
2024-01,10,0,28,28,19
2024-02,8,0,24,24,20
2024-03,8,0,25,24,21
2024-04,9,0,22,21,14
2024-05,10,0,26,26,17
2024-06,8,0,23,23,15
2024-07,11,0,21,22,15
2024-08,8,0,25,25,18
2024-09,13,0,24,24,19
2024-10,10,0,24,24,19
2024-11,19,0,27,27,19
2024-12,19,0,26,25,19
2025-01,12,0,22,22,19
2025-02,8,0,23,23,17
2025-03,6,0,22,22,16
2025-04,7,0,25,24,17
2025-05,7,0,26,26,14
2025-06,7,0,24,24,19
2025-07,9,0,24,24,16
2025-08,11,0,22,23,17
2025-09,11,0,23,23,16
