Category: All categories

Month,supply: (Barisal Division),demand: (Barisal Division),GDP: (Barisal Division),investment: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,73,73
2014-09,0,0,0,0,69
2014-10,0,0,0,0,80
2014-11,0,0,0,0,100
2014-12,0,0,0,0,93
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,95
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,57
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,56
2017-10,0,0,0,0,49
2017-11,0,0,0,0,55
2017-12,0,0,0,0,34
2018-01,0,0,33,0,47
2018-02,0,0,0,0,50
2018-03,0,0,0,0,36
2018-04,0,0,0,0,38
2018-05,0,0,0,0,58
2018-06,0,0,0,0,22
2018-07,0,0,0,0,30
2018-08,0,0,0,0,50
2018-09,0,0,0,0,32
2018-10,23,0,0,0,36
2018-11,17,0,0,0,56
2018-12,22,0,0,0,42
2019-01,0,0,0,0,39
2019-02,0,0,0,0,41
2019-03,0,0,0,0,79
2019-04,0,0,0,0,53
2019-05,0,0,0,0,60
2019-06,0,0,0,0,35
2019-07,0,0,0,0,57
2019-08,0,0,0,0,55
2019-09,12,15,0,0,45
2019-10,0,0,0,0,39
2019-11,0,0,0,0,43
2019-12,16,0,0,0,44
2020-01,0,0,0,0,33
2020-02,0,0,0,0,48
2020-03,0,0,0,0,34
2020-04,0,0,0,0,44
2020-05,0,0,0,0,40
2020-06,13,0,0,0,58
2020-07,14,0,0,6,62
2020-08,6,0,0,0,45
2020-09,12,0,0,0,51
2020-10,7,0,7,0,53
2020-11,10,0,6,0,31
2020-12,7,6,0,0,41
2021-01,10,0,8,0,36
2021-02,15,0,0,0,31
2021-03,6,0,0,0,39
2021-04,0,0,0,7,35
2021-05,8,0,5,0,34
2021-06,9,8,5,0,42
2021-07,8,4,0,6,32
2021-08,6,0,0,5,32
2021-09,7,6,0,0,28
2021-10,7,5,6,0,25
2021-11,9,7,5,5,36
2021-12,13,5,6,7,26
2022-01,10,5,6,6,30
2022-02,8,5,5,0,36
2022-03,9,7,10,6,38
2022-04,7,3,7,5,41
2022-05,5,2,6,3,42
2022-06,8,5,8,4,40
2022-07,6,3,4,3,34
2022-08,7,5,8,5,38
2022-09,4,4,4,5,49
2022-10,6,0,6,4,42
2022-11,7,4,5,5,46
2022-12,5,3,3,3,28
2023-01,6,5,5,5,28
2023-02,8,4,5,5,31
2023-03,6,4,3,4,31
2023-04,5,0,4,3,33
2023-05,7,3,3,4,40
2023-06,7,5,3,4,36
2023-07,6,4,4,3,31
2023-08,7,4,4,5,40
2023-09,7,3,5,3,32
2023-10,6,5,3,4,31
2023-11,7,4,3,3,36
2023-12,6,7,5,0,29
2024-01,4,0,6,4,33
2024-02,8,3,5,4,34
2024-03,5,4,7,3,35
2024-04,4,3,3,2,24
2024-05,6,4,5,4,30
2024-06,5,3,5,3,26
2024-07,5,0,4,3,27
2024-08,5,2,6,0,32
2024-09,9,3,0,8,32
2024-10,6,3,3,6,33
2024-11,7,0,4,0,33
2024-12,6,3,4,0,33
2025-01,6,0,4,0,32
2025-02,5,0,0,3,29
2025-03,4,0,3,0,27
2025-04,5,0,4,3,30
2025-05,8,0,5,5,25
2025-06,5,0,0,0,33
2025-07,4,2,4,2,28
2025-08,7,<1,4,0,29
2025-09,5,2,4,2,29
