Category: All categories

Month,season: (Barisal Division),salinity: (Barisal Division),barley: (Barisal Division),barley: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,56,0,0,0,59
2014-09,64,0,0,0,55
2014-10,99,0,0,0,65
2014-11,0,0,0,0,81
2014-12,100,0,0,0,75
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,91,0,0,0,0
2016-12,78,0,0,0,77
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,46
2017-05,63,0,0,0,0
2017-06,58,0,0,0,0
2017-07,88,0,0,0,0
2017-08,75,0,0,0,0
2017-09,55,0,0,0,45
2017-10,33,0,0,0,39
2017-11,56,0,0,0,44
2017-12,37,0,0,0,27
2018-01,35,0,0,0,38
2018-02,31,0,0,0,40
2018-03,40,0,0,0,29
2018-04,31,0,0,0,31
2018-05,39,0,0,0,47
2018-06,30,0,0,0,18
2018-07,28,0,0,0,24
2018-08,36,0,0,0,41
2018-09,58,0,0,0,26
2018-10,49,0,0,0,29
2018-11,46,0,0,0,45
2018-12,51,0,0,0,34
2019-01,38,0,0,0,32
2019-02,58,0,0,0,33
2019-03,57,0,0,0,63
2019-04,71,0,0,0,42
2019-05,67,0,0,0,49
2019-06,40,0,0,0,29
2019-07,49,0,0,0,46
2019-08,46,0,0,0,44
2019-09,44,0,0,0,36
2019-10,32,0,0,0,32
2019-11,33,0,0,0,35
2019-12,36,0,0,0,35
2020-01,39,0,0,0,26
2020-02,40,0,0,0,39
2020-03,52,0,0,0,28
2020-04,81,0,0,0,35
2020-05,73,0,0,0,32
2020-06,70,0,0,0,47
2020-07,64,0,0,0,50
2020-08,59,0,0,0,36
2020-09,59,0,0,0,41
2020-10,60,0,0,0,43
2020-11,42,0,0,0,25
2020-12,43,0,0,0,33
2021-01,55,0,0,0,29
2021-02,46,0,0,0,25
2021-03,43,0,0,0,32
2021-04,49,0,0,0,28
2021-05,50,0,0,0,27
2021-06,54,0,0,0,34
2021-07,50,0,0,0,26
2021-08,52,0,0,0,26
2021-09,48,0,0,0,22
2021-10,49,0,0,0,20
2021-11,34,0,0,0,29
2021-12,48,0,0,0,21
2022-01,34,0,0,0,24
2022-02,37,0,0,0,29
2022-03,40,0,0,0,31
2022-04,45,0,0,0,33
2022-05,42,0,0,0,34
2022-06,39,0,0,0,32
2022-07,46,0,0,0,28
2022-08,47,0,0,0,31
2022-09,43,0,0,0,39
2022-10,42,0,0,0,34
2022-11,32,0,0,0,37
2022-12,44,0,0,0,23
2023-01,37,0,0,0,23
2023-02,39,0,0,0,25
2023-03,45,0,0,0,25
2023-04,48,0,0,0,27
2023-05,44,0,0,0,32
2023-06,54,0,0,0,29
2023-07,48,0,0,0,25
2023-08,56,0,0,0,33
2023-09,42,0,0,0,26
2023-10,42,0,0,0,25
2023-11,43,0,0,0,29
2023-12,57,0,0,0,23
2024-01,46,0,0,0,27
2024-02,36,0,0,0,28
2024-03,39,0,0,0,29
2024-04,38,0,0,0,19
2024-05,42,0,0,0,24
2024-06,53,0,0,0,21
2024-07,49,0,0,0,21
2024-08,56,2,0,0,26
2024-09,42,0,0,0,26
2024-10,41,0,0,0,27
2024-11,44,0,0,0,27
2024-12,69,0,0,0,27
2025-01,82,0,0,0,26
2025-02,62,0,0,0,23
2025-03,79,0,0,0,22
2025-04,64,0,0,0,24
2025-05,53,0,0,0,20
2025-06,82,0,0,0,27
2025-07,73,0,0,0,22
2025-08,64,0,0,0,23
2025-09,69,<1,0,0,23
