Category: All categories

Month,crop: (Barisal Division),harvest: (Barisal Division),food: (Barisal Division),field: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,35
2014-09,0,0,0,0,33
2014-10,0,0,44,0,39
2014-11,0,0,0,0,49
2014-12,0,0,51,0,45
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,100,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,46
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,28
2017-05,0,0,25,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,19,0,0
2017-09,0,0,0,0,27
2017-10,0,0,31,0,24
2017-11,0,0,0,0,27
2017-12,0,0,0,0,16
2018-01,0,0,24,0,23
2018-02,0,0,17,0,24
2018-03,0,0,28,0,17
2018-04,0,0,22,0,19
2018-05,0,0,18,0,28
2018-06,0,0,26,0,11
2018-07,0,0,37,11,15
2018-08,0,0,32,0,25
2018-09,0,0,26,8,15
2018-10,0,0,30,8,18
2018-11,0,0,23,0,27
2018-12,0,0,15,0,20
2019-01,0,0,22,9,19
2019-02,0,0,22,0,20
2019-03,0,0,19,13,38
2019-04,0,0,22,0,26
2019-05,0,0,16,7,29
2019-06,0,0,19,0,17
2019-07,0,0,20,0,28
2019-08,0,0,23,6,27
2019-09,0,0,27,7,22
2019-10,0,0,31,11,19
2019-11,0,0,28,10,21
2019-12,0,0,19,8,21
2020-01,0,0,23,6,16
2020-02,0,0,25,8,23
2020-03,0,0,20,5,17
2020-04,0,0,26,0,21
2020-05,0,0,19,0,20
2020-06,0,0,26,0,28
2020-07,0,0,27,3,30
2020-08,0,0,21,6,22
2020-09,0,5,30,4,25
2020-10,0,0,27,7,26
2020-11,0,0,34,5,15
2020-12,0,0,19,5,20
2021-01,0,0,23,3,17
2021-02,0,0,24,3,15
2021-03,0,0,25,3,19
2021-04,0,0,24,3,17
2021-05,0,0,19,3,16
2021-06,0,0,22,4,21
2021-07,0,0,19,4,16
2021-08,0,0,21,3,15
2021-09,0,0,23,7,14
2021-10,0,0,18,4,12
2021-11,3,0,35,5,17
2021-12,2,0,22,4,13
2022-01,2,0,23,4,15
2022-02,1,0,16,3,17
2022-03,2,0,18,5,19
2022-04,3,0,22,4,20
2022-05,2,0,20,4,21
2022-06,1,0,24,5,19
2022-07,1,0,19,3,17
2022-08,2,0,23,4,19
2022-09,1,0,21,5,24
2022-10,1,0,21,4,20
2022-11,2,0,19,4,23
2022-12,1,0,17,3,14
2023-01,2,0,18,4,14
2023-02,2,0,20,4,15
2023-03,1,0,17,3,15
2023-04,1,0,17,3,16
2023-05,1,0,21,3,19
2023-06,2,0,19,6,18
2023-07,1,0,20,4,15
2023-08,2,0,22,4,20
2023-09,1,0,21,4,16
2023-10,2,0,22,3,15
2023-11,2,0,17,4,17
2023-12,1,0,16,2,14
2024-01,2,0,17,3,16
2024-02,1,0,17,3,17
2024-03,0,0,16,5,17
2024-04,2,0,14,2,12
2024-05,1,0,15,2,14
2024-06,2,0,13,2,13
2024-07,2,0,14,2,13
2024-08,1,0,13,2,16
2024-09,2,0,18,3,16
2024-10,3,0,17,2,16
2024-11,2,0,17,3,16
2024-12,1,0,15,3,16
2025-01,2,0,16,3,16
2025-02,0,0,16,2,14
2025-03,0,0,18,3,13
2025-04,2,0,18,3,15
2025-05,3,0,16,3,12
2025-06,2,0,11,3,16
2025-07,3,0,14,2,14
2025-08,1,0,13,3,14
2025-09,2,<1,13,3,14
