Category: All categories

Month,rural areas: (Barisal Division),gas: (Barisal Division),weather: (Barisal Division),desert: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,4
2014-09,0,0,0,0,4
2014-10,0,0,0,0,4
2014-11,0,0,0,0,5
2014-12,0,0,0,0,5
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,16,0,0
2016-02,0,0,23,0,0
2016-03,0,0,20,0,0
2016-04,0,0,22,0,0
2016-05,0,0,27,0,0
2016-06,0,0,0,0,0
2016-07,0,0,16,0,0
2016-08,0,0,10,0,0
2016-09,0,0,11,0,0
2016-10,0,0,7,0,0
2016-11,0,0,13,0,0
2016-12,0,0,6,0,5
2017-01,0,0,7,0,0
2017-02,0,0,7,0,0
2017-03,0,0,6,0,0
2017-04,0,0,7,0,3
2017-05,3,0,9,0,0
2017-06,0,0,5,0,0
2017-07,0,4,6,0,0
2017-08,0,0,2,0,0
2017-09,0,0,5,0,3
2017-10,0,0,6,0,3
2017-11,0,0,4,0,3
2017-12,0,0,5,0,2
2018-01,0,2,16,0,3
2018-02,0,0,2,0,3
2018-03,0,0,6,0,2
2018-04,0,2,8,0,2
2018-05,0,2,8,0,3
2018-06,0,0,8,0,1
2018-07,0,0,7,0,2
2018-08,1,0,9,0,3
2018-09,0,1,6,0,2
2018-10,0,1,9,0,2
2018-11,0,0,5,0,3
2018-12,0,0,10,0,2
2019-01,0,1,9,0,2
2019-02,0,0,10,0,2
2019-03,0,1,21,0,4
2019-04,0,0,22,0,3
2019-05,0,0,32,0,3
2019-06,0,0,26,0,2
2019-07,0,1,18,0,3
2019-08,0,1,19,0,3
2019-09,0,1,11,0,2
2019-10,0,1,39,0,2
2019-11,0,1,40,0,2
2019-12,1,1,42,0,2
2020-01,0,1,46,0,2
2020-02,0,1,35,0,3
2020-03,0,1,43,0,2
2020-04,0,1,50,0,2
2020-05,0,1,59,0,2
2020-06,0,1,48,0,3
2020-07,0,1,39,<1,3
2020-08,0,2,58,0,2
2020-09,0,1,50,0,3
2020-10,0,2,52,0,3
2020-11,0,1,46,0,2
2020-12,0,1,57,0,2
2021-01,0,1,54,0,2
2021-02,0,1,48,0,2
2021-03,0,2,43,0,2
2021-04,0,1,49,0,2
2021-05,0,1,69,0,2
2021-06,0,1,52,0,2
2021-07,0,1,45,0,2
2021-08,0,1,41,0,2
2021-09,0,1,47,0,1
2021-10,0,1,44,0,1
2021-11,0,1,40,0,2
2021-12,0,1,47,0,1
2022-01,0,1,41,0,2
2022-02,0,1,39,0,2
2022-03,0,1,29,<1,2
2022-04,0,1,34,0,2
2022-05,0,1,53,0,2
2022-06,0,1,42,0,2
2022-07,0,1,36,0,2
2022-08,0,1,40,0,2
2022-09,0,1,39,0,3
2022-10,<1,1,36,0,2
2022-11,0,1,25,0,2
2022-12,0,1,25,<1,2
2023-01,0,1,38,<1,2
2023-02,0,1,29,<1,2
2023-03,0,1,43,0,2
2023-04,0,1,71,0,2
2023-05,0,1,67,<1,2
2023-06,0,1,62,0,2
2023-07,0,1,48,0,2
2023-08,0,1,55,0,2
2023-09,0,1,48,0,2
2023-10,0,1,43,0,2
2023-11,0,1,34,0,2
2023-12,0,1,25,0,2
2024-01,0,1,46,<1,2
2024-02,0,1,25,<1,2
2024-03,0,1,26,0,2
2024-04,0,1,76,<1,1
2024-05,0,1,100,0,2
2024-06,0,<1,67,0,1
2024-07,0,<1,55,0,1
2024-08,0,1,60,0,2
2024-09,0,1,60,0,2
2024-10,0,1,57,0,2
2024-11,0,1,43,<1,2
2024-12,0,1,51,0,2
2025-01,0,1,49,<1,2
2025-02,0,1,42,0,2
2025-03,0,1,55,0,1
2025-04,0,1,66,0,2
2025-05,0,1,79,0,1
2025-06,0,1,74,0,2
2025-07,0,1,68,0,1
2025-08,0,1,65,<1,2
2025-09,0,1,59,<1,2
