Category: All categories

Month,bridge: (Barisal Division),checkpoint: (Barisal Division),bus: (Barisal Division),university: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,45,0
2014-08,0,0,0,75,7
2014-09,0,0,0,100,7
2014-10,0,0,0,100,7
2014-11,0,0,0,92,6
2014-12,0,0,0,71,8
2015-01,0,0,0,46,0
2015-02,0,0,0,0,0
2015-03,0,0,0,44,0
2015-04,0,0,0,28,0
2015-05,0,0,0,19,0
2015-06,0,0,0,31,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,19,0
2016-02,0,0,0,33,0
2016-03,0,0,0,24,0
2016-04,0,0,0,17,0
2016-05,0,0,0,29,0
2016-06,0,0,0,27,0
2016-07,0,0,0,20,0
2016-08,0,0,0,37,0
2016-09,0,0,0,52,0
2016-10,0,0,0,50,0
2016-11,0,0,0,60,0
2016-12,0,0,0,36,7
2017-01,0,0,0,31,0
2017-02,0,0,0,20,0
2017-03,0,0,6,29,0
2017-04,0,0,0,20,6
2017-05,0,0,0,19,0
2017-06,0,0,0,13,0
2017-07,0,0,7,32,0
2017-08,0,0,7,33,0
2017-09,0,0,7,48,6
2017-10,0,0,4,58,5
2017-11,3,0,6,67,6
2017-12,0,0,6,41,5
2018-01,0,0,6,36,6
2018-02,0,0,5,31,5
2018-03,2,0,6,26,3
2018-04,0,0,6,23,3
2018-05,0,0,5,28,5
2018-06,0,0,8,18,2
2018-07,2,0,6,30,3
2018-08,0,0,8,33,4
2018-09,0,0,4,45,2
2018-10,0,0,7,46,4
2018-11,0,0,3,50,3
2018-12,0,0,8,31,4
2019-01,0,0,6,27,3
2019-02,2,0,5,27,3
2019-03,2,0,7,18,7
2019-04,2,0,7,24,5
2019-05,0,0,6,25,5
2019-06,2,0,6,14,2
2019-07,1,0,5,28,5
2019-08,0,0,7,33,5
2019-09,2,0,5,49,3
2019-10,2,0,6,43,4
2019-11,1,0,6,41,4
2019-12,1,0,6,37,3
2020-01,1,0,7,29,3
2020-02,1,0,4,21,4
2020-03,1,0,5,15,3
2020-04,1,0,2,10,3
2020-05,1,0,4,13,3
2020-06,1,0,3,15,5
2020-07,1,0,4,14,5
2020-08,1,0,5,13,4
2020-09,1,0,4,16,5
2020-10,1,0,5,13,5
2020-11,1,0,5,12,3
2020-12,2,0,5,14,4
2021-01,1,0,5,13,3
2021-02,1,0,5,18,3
2021-03,1,0,4,18,3
2021-04,1,0,3,14,3
2021-05,1,0,3,11,3
2021-06,1,0,4,13,4
2021-07,1,0,3,19,3
2021-08,1,0,4,15,3
2021-09,1,0,4,21,2
2021-10,1,0,4,17,2
2021-11,1,0,5,19,3
2021-12,1,0,6,22,2
2022-01,1,0,5,18,3
2022-02,1,<1,5,15,3
2022-03,1,0,5,14,3
2022-04,1,0,4,14,4
2022-05,2,0,5,17,4
2022-06,6,0,6,18,3
2022-07,3,0,10,16,3
2022-08,2,0,8,18,3
2022-09,2,0,7,15,4
2022-10,2,0,6,14,4
2022-11,2,0,5,12,4
2022-12,1,0,6,10,3
2023-01,1,0,5,12,2
2023-02,1,0,5,13,3
2023-03,1,0,5,12,3
2023-04,1,0,8,17,3
2023-05,2,0,6,18,3
2023-06,1,0,7,19,3
2023-07,1,0,8,17,3
2023-08,1,0,5,14,3
2023-09,1,0,5,12,3
2023-10,1,0,5,11,3
2023-11,1,0,6,12,3
2023-12,1,0,7,13,2
2024-01,1,0,7,16,3
2024-02,1,0,7,15,3
2024-03,1,0,6,14,3
2024-04,1,0,8,12,2
2024-05,1,0,5,16,3
2024-06,1,0,7,12,2
2024-07,1,0,5,11,2
2024-08,1,0,6,11,3
2024-09,1,0,5,12,3
2024-10,<1,0,6,12,3
2024-11,1,0,5,13,3
2024-12,1,0,6,11,3
2025-01,<1,0,5,15,3
2025-02,1,0,6,14,3
2025-03,<1,0,6,13,2
2025-04,<1,0,7,12,3
2025-05,<1,0,5,15,2
2025-06,<1,0,8,11,3
2025-07,<1,0,5,10,2
2025-08,1,0,5,11,3
2025-09,<1,0,6,11,2
