Category: All categories

Month,sewage: (Barisal Division),system: (Barisal Division),system: (Barisal Division),regime: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,100,95,0,44
2014-09,0,89,85,0,47
2014-10,0,86,79,0,41
2014-11,0,68,57,0,39
2014-12,0,76,78,0,53
2015-01,0,0,95,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,80,0,0,0
2016-10,0,0,49,0,0
2016-11,0,0,61,0,0
2016-12,0,0,0,0,42
2017-01,0,75,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,36,0,0
2017-04,0,43,41,0,37
2017-05,0,36,41,0,0
2017-06,0,39,46,0,0
2017-07,0,35,39,0,0
2017-08,0,43,35,0,0
2017-09,0,36,0,0,37
2017-10,0,44,40,0,29
2017-11,0,37,40,0,35
2017-12,0,39,44,0,31
2018-01,0,47,36,0,40
2018-02,0,55,51,0,29
2018-03,0,40,45,0,17
2018-04,0,41,41,0,21
2018-05,0,41,46,0,29
2018-06,0,56,52,0,12
2018-07,0,49,46,0,16
2018-08,0,36,35,0,23
2018-09,0,44,41,0,15
2018-10,0,37,38,0,25
2018-11,0,38,41,0,21
2018-12,0,27,31,0,22
2019-01,0,34,36,0,21
2019-02,0,36,37,0,21
2019-03,0,41,39,0,44
2019-04,0,26,29,0,32
2019-05,0,36,39,0,35
2019-06,0,34,35,0,15
2019-07,0,49,46,0,30
2019-08,0,30,33,0,32
2019-09,0,43,41,0,19
2019-10,0,33,34,0,23
2019-11,0,38,39,0,24
2019-12,0,32,35,0,22
2020-01,0,36,35,0,18
2020-02,0,36,38,0,23
2020-03,0,27,29,0,22
2020-04,0,23,26,0,22
2020-05,0,37,35,0,21
2020-06,0,36,36,0,32
2020-07,0,40,40,0,34
2020-08,0,40,39,0,27
2020-09,0,39,39,0,29
2020-10,0,33,32,0,29
2020-11,0,31,30,0,19
2020-12,0,36,36,0,24
2021-01,0,32,31,0,19
2021-02,0,30,30,0,17
2021-03,0,34,35,0,21
2021-04,0,29,30,0,20
2021-05,0,23,23,0,18
2021-06,0,29,29,0,23
2021-07,0,21,21,0,16
2021-08,0,31,31,0,17
2021-09,0,31,32,0,15
2021-10,0,28,29,0,15
2021-11,0,29,30,0,18
2021-12,0,36,37,0,14
2022-01,0,37,37,0,16
2022-02,0,36,36,0,19
2022-03,0,33,34,0,20
2022-04,0,29,29,0,22
2022-05,0,24,25,0,23
2022-06,0,32,33,0,22
2022-07,0,24,24,0,19
2022-08,0,33,34,0,20
2022-09,0,29,30,0,26
2022-10,0,26,26,0,23
2022-11,0,28,28,0,24
2022-12,0,23,23,0,16
2023-01,0,36,37,0,15
2023-02,0,32,32,0,17
2023-03,0,27,27,0,17
2023-04,0,23,23,0,18
2023-05,0,28,28,0,22
2023-06,0,29,29,0,20
2023-07,0,26,27,0,18
2023-08,0,34,33,0,22
2023-09,0,30,29,0,17
2023-10,0,22,22,0,17
2023-11,0,24,24,0,20
2023-12,0,24,24,0,16
2024-01,0,25,26,0,18
2024-02,0,22,22,0,18
2024-03,0,18,18,0,20
2024-04,0,17,17,0,13
2024-05,0,22,22,0,17
2024-06,0,21,22,0,14
2024-07,0,21,21,0,15
2024-08,0,17,17,0,17
2024-09,0,18,18,0,17
2024-10,0,20,19,0,17
2024-11,0,20,19,0,19
2024-12,0,20,20,0,18
2025-01,0,17,17,0,17
2025-02,0,18,18,0,16
2025-03,0,16,17,0,14
2025-04,0,17,17,0,17
2025-05,0,19,18,0,14
2025-06,0,17,16,0,19
2025-07,0,20,20,0,15
2025-08,0,18,18,0,16
2025-09,0,18,18,0,15
