Category: All categories

Month,bakery: (Barisal Division),public: (Barisal Division),square: (Barisal Division),park: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,83
2014-09,0,0,0,80,90
2014-10,0,0,0,0,78
2014-11,0,0,0,0,75
2014-12,0,0,0,0,100
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,80
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,59,0,0,0
2017-04,0,0,0,0,70
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,75,0
2017-08,0,61,0,0,0
2017-09,0,0,0,0,70
2017-10,0,64,0,38,55
2017-11,0,51,35,39,67
2017-12,0,32,0,0,59
2018-01,0,44,0,51,76
2018-02,0,42,0,31,55
2018-03,0,66,0,29,32
2018-04,0,40,0,35,40
2018-05,0,79,0,33,56
2018-06,0,31,26,55,22
2018-07,0,41,0,41,31
2018-08,0,34,20,50,44
2018-09,0,46,0,23,27
2018-10,0,41,20,63,47
2018-11,0,32,33,38,40
2018-12,0,42,0,36,42
2019-01,0,32,0,64,39
2019-02,0,36,0,43,40
2019-03,0,38,18,50,83
2019-04,0,25,17,34,61
2019-05,0,45,15,33,65
2019-06,0,34,17,37,29
2019-07,0,56,20,37,56
2019-08,0,42,18,54,60
2019-09,0,42,16,29,36
2019-10,0,38,20,29,43
2019-11,0,35,12,36,46
2019-12,0,29,28,33,41
2020-01,0,30,16,42,35
2020-02,0,34,18,38,44
2020-03,0,30,22,44,41
2020-04,0,23,13,20,42
2020-05,0,14,10,27,39
2020-06,0,20,24,18,61
2020-07,0,24,16,23,65
2020-08,0,26,22,25,50
2020-09,0,24,21,29,54
2020-10,0,26,21,30,54
2020-11,0,25,17,31,36
2020-12,0,31,16,24,46
2021-01,0,27,13,28,36
2021-02,0,28,16,29,32
2021-03,0,24,19,26,40
2021-04,0,29,14,22,38
2021-05,0,14,18,24,33
2021-06,0,28,13,29,43
2021-07,0,21,11,21,30
2021-08,0,24,15,27,32
2021-09,0,24,11,26,28
2021-10,0,28,20,29,28
2021-11,0,24,16,32,35
2021-12,0,44,18,34,27
2022-01,4,37,12,27,31
2022-02,0,31,14,26,35
2022-03,0,31,14,33,38
2022-04,0,23,13,27,42
2022-05,0,20,15,35,43
2022-06,0,27,12,26,41
2022-07,0,20,17,35,36
2022-08,0,21,15,29,38
2022-09,0,21,14,24,50
2022-10,2,24,17,28,44
2022-11,0,21,15,22,46
2022-12,0,21,12,26,31
2023-01,0,22,14,27,29
2023-02,0,21,12,30,32
2023-03,3,19,12,26,33
2023-04,0,18,13,30,35
2023-05,0,21,15,24,41
2023-06,0,18,13,27,38
2023-07,2,19,13,27,34
2023-08,0,23,16,23,41
2023-09,2,20,14,24,33
2023-10,0,16,12,23,32
2023-11,3,24,13,25,38
2023-12,0,23,15,35,29
2024-01,0,15,12,25,34
2024-02,0,14,12,32,34
2024-03,0,18,14,24,38
2024-04,0,15,13,29,25
2024-05,0,18,14,26,31
2024-06,0,20,9,22,27
2024-07,0,16,12,17,28
2024-08,0,18,11,22,33
2024-09,0,13,13,25,33
2024-10,0,20,14,21,33
2024-11,0,19,13,23,36
2024-12,0,19,13,24,34
2025-01,0,17,11,21,33
2025-02,0,16,13,20,31
2025-03,0,13,10,18,27
2025-04,0,14,12,20,31
2025-05,0,16,11,20,26
2025-06,0,18,12,21,35
2025-07,0,19,15,15,29
2025-08,0,22,11,18,30
2025-09,0,16,11,16,29
