Category: All categories

Month,project: (Barisal Division),wait: (Barisal Division),delay: (Barisal Division),delay: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,100,0,0,0,70
2014-09,82,0,0,0,75
2014-10,81,0,0,0,66
2014-11,99,0,0,0,62
2014-12,59,0,0,0,83
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,66
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,57,0,0,0,58
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,46,0,0,0,0
2017-09,0,0,0,0,58
2017-10,0,0,0,0,46
2017-11,0,0,0,0,55
2017-12,27,0,0,0,50
2018-01,0,0,0,0,64
2018-02,0,0,0,0,46
2018-03,45,0,0,0,27
2018-04,35,0,0,0,34
2018-05,24,0,0,0,47
2018-06,20,0,0,0,19
2018-07,18,0,0,0,26
2018-08,18,0,0,0,37
2018-09,29,0,0,0,23
2018-10,0,0,0,0,40
2018-11,25,0,0,0,33
2018-12,18,0,0,0,35
2019-01,24,0,0,0,33
2019-02,29,0,0,0,34
2019-03,29,0,0,0,70
2019-04,29,0,0,0,51
2019-05,27,0,0,0,55
2019-06,16,0,0,0,24
2019-07,34,0,0,0,47
2019-08,15,0,0,0,50
2019-09,21,0,0,0,30
2019-10,11,0,0,0,36
2019-11,21,0,0,0,38
2019-12,20,0,0,0,35
2020-01,16,0,0,0,29
2020-02,8,0,0,0,37
2020-03,14,0,0,0,35
2020-04,16,0,0,0,35
2020-05,12,0,0,0,33
2020-06,18,0,6,0,50
2020-07,20,0,0,0,54
2020-08,17,0,0,0,42
2020-09,17,0,0,0,45
2020-10,20,0,6,0,44
2020-11,24,0,0,0,30
2020-12,16,0,0,0,38
2021-01,22,0,0,0,30
2021-02,20,0,0,0,27
2021-03,16,0,0,0,33
2021-04,17,0,0,0,32
2021-05,9,0,0,0,28
2021-06,16,0,0,0,36
2021-07,15,5,0,0,25
2021-08,16,0,0,0,27
2021-09,15,0,0,0,24
2021-10,12,0,0,0,24
2021-11,16,0,0,0,29
2021-12,13,0,0,0,22
2022-01,18,0,0,0,26
2022-02,16,2,0,0,29
2022-03,20,3,0,0,32
2022-04,17,2,0,0,36
2022-05,17,2,0,0,35
2022-06,18,2,0,0,34
2022-07,16,0,0,3,30
2022-08,20,3,0,0,32
2022-09,19,4,0,0,42
2022-10,15,0,0,0,37
2022-11,15,2,0,0,39
2022-12,11,3,0,0,26
2023-01,17,2,0,0,24
2023-02,14,3,0,0,26
2023-03,14,4,0,0,27
2023-04,11,0,0,0,29
2023-05,14,5,0,0,34
2023-06,16,0,0,0,32
2023-07,17,0,0,0,29
2023-08,21,3,0,3,34
2023-09,13,3,0,0,27
2023-10,10,3,0,0,27
2023-11,17,3,0,0,31
2023-12,18,5,0,0,25
2024-01,19,3,0,0,28
2024-02,19,3,0,0,28
2024-03,17,3,0,0,32
2024-04,11,3,0,0,21
2024-05,16,2,0,0,26
2024-06,15,3,0,0,22
2024-07,14,3,0,0,23
2024-08,13,3,0,0,27
2024-09,19,4,0,0,28
2024-10,14,4,0,0,28
2024-11,16,3,0,0,30
2024-12,18,3,0,0,28
2025-01,18,4,0,0,28
2025-02,13,0,0,0,26
2025-03,10,3,3,0,23
2025-04,11,3,0,0,26
2025-05,12,4,0,0,22
2025-06,12,2,0,0,29
2025-07,11,3,0,0,24
2025-08,11,<1,0,0,25
2025-09,11,2,1,1,24
