Category: All categories

Month,primary: (Barisal Division),primary: (Barisal Division),secondary: (Barisal Division),tertiary: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,39
2014-09,47,42,0,0,42
2014-10,0,39,0,0,37
2014-11,0,34,0,0,35
2014-12,68,74,0,0,47
2015-01,0,100,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,41,0,0,0,37
2017-01,41,36,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,30,0,0,33
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,33
2017-10,0,0,0,0,26
2017-11,0,0,0,0,31
2017-12,27,22,0,0,28
2018-01,18,14,0,0,36
2018-02,25,22,0,0,26
2018-03,0,0,0,13,15
2018-04,35,38,0,0,19
2018-05,32,33,12,0,26
2018-06,15,14,0,0,10
2018-07,64,58,0,0,14
2018-08,54,53,0,0,20
2018-09,37,37,10,0,13
2018-10,18,17,0,0,22
2018-11,13,14,0,0,19
2018-12,28,33,0,0,20
2019-01,21,20,0,0,18
2019-02,15,14,0,0,19
2019-03,35,35,0,0,39
2019-04,20,19,0,0,28
2019-05,78,77,0,0,31
2019-06,56,52,0,0,14
2019-07,16,14,6,0,26
2019-08,23,22,6,0,28
2019-09,90,91,6,0,17
2019-10,24,24,6,0,20
2019-11,7,9,6,0,21
2019-12,53,54,5,0,20
2020-01,21,19,7,0,16
2020-02,16,18,6,0,21
2020-03,15,15,9,0,20
2020-04,6,6,0,0,19
2020-05,7,7,7,0,18
2020-06,5,8,4,0,28
2020-07,9,8,0,0,30
2020-08,8,8,4,0,24
2020-09,8,6,4,0,25
2020-10,21,22,6,0,25
2020-11,34,34,7,0,17
2020-12,13,14,5,0,21
2021-01,10,10,7,0,17
2021-02,13,12,5,0,15
2021-03,11,11,3,0,19
2021-04,7,8,8,0,18
2021-05,7,6,3,0,16
2021-06,10,11,3,0,20
2021-07,6,6,5,0,14
2021-08,8,10,3,0,15
2021-09,9,8,5,0,13
2021-10,6,6,5,0,13
2021-11,9,9,4,0,16
2021-12,8,8,8,0,12
2022-01,8,9,6,0,15
2022-02,6,6,8,0,16
2022-03,14,14,3,0,18
2022-04,19,20,5,0,20
2022-05,32,33,5,0,20
2022-06,43,42,4,0,19
2022-07,11,11,3,0,17
2022-08,10,9,4,0,18
2022-09,9,11,5,0,23
2022-10,8,8,4,0,21
2022-11,16,16,8,0,22
2022-12,20,20,5,0,14
2023-01,12,12,4,0,14
2023-02,17,17,6,0,15
2023-03,36,37,3,0,15
2023-04,11,11,2,0,16
2023-05,10,10,4,0,19
2023-06,8,8,4,0,18
2023-07,10,10,7,0,16
2023-08,10,9,6,0,19
2023-09,8,8,3,0,15
2023-10,7,8,4,0,15
2023-11,13,13,6,0,17
2023-12,30,30,5,0,14
2024-01,9,10,4,0,16
2024-02,7,8,3,0,16
2024-03,7,8,4,0,18
2024-04,5,5,3,0,12
2024-05,6,5,8,0,15
2024-06,4,4,4,0,13
2024-07,5,6,4,0,13
2024-08,4,3,2,0,15
2024-09,4,4,2,0,15
2024-10,5,4,3,0,15
2024-11,9,9,4,0,17
2024-12,5,5,2,0,16
2025-01,8,8,2,0,16
2025-02,6,6,3,0,14
2025-03,3,3,2,0,13
2025-04,6,7,2,0,15
2025-05,5,5,3,0,12
2025-06,4,4,5,0,16
2025-07,5,5,7,0,14
2025-08,7,7,4,0,14
2025-09,10,10,3,<1,14
