Category: All categories

Month,university: (Barisal Division),market: (Barisal Division),station: (Barisal Division),cafe: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,45,0,0,0,0
2014-08,75,7,0,0,7
2014-09,100,7,0,0,7
2014-10,100,7,0,0,7
2014-11,92,0,0,0,6
2014-12,71,0,0,0,8
2015-01,46,0,0,0,0
2015-02,0,0,0,0,0
2015-03,44,0,0,0,0
2015-04,28,0,0,0,0
2015-05,19,0,0,0,0
2015-06,31,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,19,0,0,0,0
2016-02,33,0,0,21,0
2016-03,24,0,0,0,0
2016-04,17,0,0,0,0
2016-05,29,0,0,0,0
2016-06,27,0,0,0,0
2016-07,20,0,0,0,0
2016-08,37,0,0,0,0
2016-09,52,0,0,0,0
2016-10,50,8,0,0,0
2016-11,60,0,0,0,0
2016-12,36,0,0,0,7
2017-01,31,7,0,0,0
2017-02,20,0,0,0,0
2017-03,29,0,0,0,0
2017-04,20,0,0,0,6
2017-05,19,6,0,0,0
2017-06,13,0,0,0,0
2017-07,32,0,0,0,0
2017-08,33,4,0,0,0
2017-09,48,5,0,0,6
2017-10,58,9,0,0,5
2017-11,67,6,0,0,6
2017-12,41,6,0,0,5
2018-01,36,6,0,0,6
2018-02,31,4,0,0,5
2018-03,26,5,0,0,3
2018-04,23,6,0,0,3
2018-05,28,7,0,0,5
2018-06,18,4,2,0,2
2018-07,30,7,2,0,3
2018-08,33,8,2,0,4
2018-09,45,5,0,0,2
2018-10,46,6,2,0,4
2018-11,50,6,0,0,3
2018-12,31,7,1,0,4
2019-01,27,10,0,0,3
2019-02,27,10,2,0,3
2019-03,18,8,1,0,7
2019-04,24,5,0,0,5
2019-05,25,8,0,1,5
2019-06,14,5,0,0,2
2019-07,28,6,0,0,5
2019-08,33,7,0,0,5
2019-09,49,7,1,0,3
2019-10,43,7,1,0,4
2019-11,41,8,1,0,4
2019-12,37,6,1,0,3
2020-01,29,8,1,0,3
2020-02,21,6,0,0,4
2020-03,15,6,0,1,3
2020-04,10,4,1,0,3
2020-05,13,4,0,0,3
2020-06,15,4,1,1,5
2020-07,14,6,1,1,5
2020-08,13,7,1,1,4
2020-09,16,7,1,1,5
2020-10,13,6,1,1,5
2020-11,12,6,2,1,3
2020-12,14,6,0,1,4
2021-01,13,7,1,1,3
2021-02,18,8,1,1,3
2021-03,18,6,1,<1,3
2021-04,14,4,1,1,3
2021-05,11,5,0,0,3
2021-06,13,7,1,1,4
2021-07,19,5,1,1,3
2021-08,15,5,1,1,3
2021-09,21,6,1,<1,2
2021-10,17,5,1,1,2
2021-11,19,6,1,<1,3
2021-12,22,6,1,1,2
2022-01,18,5,1,1,3
2022-02,15,5,1,1,3
2022-03,14,5,1,1,3
2022-04,14,4,1,1,4
2022-05,17,4,1,1,4
2022-06,18,5,1,1,3
2022-07,16,4,1,1,3
2022-08,18,5,1,1,3
2022-09,15,4,1,1,4
2022-10,14,4,1,1,4
2022-11,12,3,1,1,4
2022-12,10,3,1,<1,3
2023-01,12,4,1,<1,2
2023-02,13,4,1,1,3
2023-03,12,4,1,<1,3
2023-04,17,3,1,1,3
2023-05,18,3,1,<1,3
2023-06,19,4,1,1,3
2023-07,17,4,1,<1,3
2023-08,14,3,1,<1,3
2023-09,12,2,1,<1,3
2023-10,11,3,1,<1,3
2023-11,12,3,1,<1,3
2023-12,13,3,1,<1,2
2024-01,16,3,1,<1,3
2024-02,15,3,1,1,3
2024-03,14,3,1,1,3
2024-04,12,3,1,1,2
2024-05,16,3,1,<1,3
2024-06,12,3,1,<1,2
2024-07,11,3,1,<1,2
2024-08,11,3,1,0,3
2024-09,12,4,1,<1,3
2024-10,12,3,1,1,3
2024-11,13,3,<1,<1,3
2024-12,11,3,1,<1,3
2025-01,15,3,1,<1,3
2025-02,14,2,1,<1,3
2025-03,13,3,1,<1,2
2025-04,12,2,1,<1,3
2025-05,15,2,1,<1,2
2025-06,11,2,1,<1,3
2025-07,10,2,1,<1,2
2025-08,11,3,1,<1,3
2025-09,11,2,1,<1,2
