Category: All categories

Month,insurance: (Barisal Division),power station: (Barisal Division),energy: (Barisal Division),fire: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,25,0,0,26
2014-09,0,0,0,23,28
2014-10,0,0,0,0,24
2014-11,0,0,0,0,23
2014-12,0,0,0,0,31
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,25
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,22
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,13,0
2017-09,0,0,0,0,22
2017-10,0,0,0,0,17
2017-11,0,0,0,0,21
2017-12,0,0,0,10,18
2018-01,0,0,0,11,24
2018-02,0,0,0,0,17
2018-03,0,0,0,0,10
2018-04,0,0,0,0,13
2018-05,0,0,0,8,17
2018-06,0,0,0,7,7
2018-07,0,0,6,0,10
2018-08,6,0,0,8,14
2018-09,0,0,6,6,8
2018-10,5,0,0,8,15
2018-11,7,0,0,11,12
2018-12,9,6,0,11,13
2019-01,9,0,6,15,12
2019-02,11,0,0,13,13
2019-03,0,0,0,19,26
2019-04,0,0,0,26,19
2019-05,6,0,0,22,20
2019-06,4,0,0,17,9
2019-07,7,0,6,25,17
2019-08,6,0,4,25,18
2019-09,5,0,0,26,11
2019-10,12,0,3,27,13
2019-11,8,0,4,27,14
2019-12,7,0,3,30,13
2020-01,6,0,0,27,11
2020-02,9,0,5,37,14
2020-03,4,0,3,38,13
2020-04,3,0,0,48,13
2020-05,4,0,3,47,12
2020-06,3,0,0,47,19
2020-07,6,0,3,56,20
2020-08,5,0,3,55,16
2020-09,5,0,3,60,17
2020-10,6,0,0,58,16
2020-11,5,0,3,56,11
2020-12,5,0,2,60,14
2021-01,5,0,2,55,11
2021-02,4,0,3,58,10
2021-03,5,0,3,57,12
2021-04,4,0,3,65,12
2021-05,5,0,3,100,10
2021-06,5,0,3,67,13
2021-07,4,0,3,52,9
2021-08,6,0,4,58,10
2021-09,6,0,3,54,9
2021-10,4,0,4,57,9
2021-11,5,0,3,54,11
2021-12,5,0,4,56,8
2022-01,4,0,3,55,10
2022-02,3,0,3,49,11
2022-03,3,0,2,48,12
2022-04,3,0,2,49,13
2022-05,3,0,2,52,13
2022-06,5,0,2,43,13
2022-07,4,0,3,51,11
2022-08,5,0,3,42,12
2022-09,6,0,2,43,15
2022-10,4,0,2,30,14
2022-11,5,0,2,47,14
2022-12,4,0,2,38,10
2023-01,5,0,2,34,9
2023-02,5,0,3,28,10
2023-03,5,0,3,34,10
2023-04,4,0,2,33,11
2023-05,6,0,2,32,13
2023-06,7,0,3,31,12
2023-07,5,0,2,34,11
2023-08,7,0,2,31,13
2023-09,5,0,2,28,10
2023-10,5,0,2,35,10
2023-11,5,0,3,26,12
2023-12,6,0,2,31,9
2024-01,6,0,2,35,10
2024-02,7,0,3,29,11
2024-03,7,0,2,32,12
2024-04,4,0,2,33,8
2024-05,4,0,3,27,10
2024-06,3,0,2,30,8
2024-07,4,0,2,30,9
2024-08,4,0,3,39,10
2024-09,4,0,6,34,10
2024-10,3,0,2,33,10
2024-11,5,0,3,39,11
2024-12,3,0,2,37,11
2025-01,3,0,2,38,10
2025-02,4,0,1,38,10
2025-03,3,0,2,35,9
2025-04,4,0,2,30,10
2025-05,4,0,2,32,8
2025-06,4,0,2,30,11
2025-07,3,0,2,35,9
2025-08,4,0,2,30,9
2025-09,3,0,2,29,9
