Category: All categories

Month,restaurant: (Barisal Division),restaurant: (Barisal Division),compound: (Barisal Division),port: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,35
2014-09,0,0,0,0,38
2014-10,0,0,0,0,33
2014-11,0,0,0,0,31
2014-12,0,0,0,0,42
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,100,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,43,0,0,34
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,40,0,0,29
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,30
2017-10,0,0,0,0,23
2017-11,0,0,0,22,28
2017-12,0,0,0,0,25
2018-01,0,0,0,0,32
2018-02,0,0,0,0,23
2018-03,0,0,0,11,13
2018-04,0,0,0,0,17
2018-05,0,0,0,0,23
2018-06,0,0,0,0,9
2018-07,0,0,0,0,13
2018-08,0,9,0,0,18
2018-09,0,0,0,7,12
2018-10,9,7,0,0,20
2018-11,0,0,0,0,17
2018-12,0,0,0,0,18
2019-01,0,0,0,0,17
2019-02,0,0,0,0,17
2019-03,7,7,0,0,35
2019-04,7,0,0,0,26
2019-05,8,12,0,8,27
2019-06,6,9,0,7,12
2019-07,9,6,0,6,24
2019-08,10,9,0,0,25
2019-09,7,8,0,10,15
2019-10,6,8,0,13,18
2019-11,10,12,0,10,19
2019-12,5,5,0,0,17
2020-01,8,6,0,9,15
2020-02,5,4,4,7,18
2020-03,6,6,0,6,17
2020-04,0,0,0,0,17
2020-05,5,5,0,4,17
2020-06,5,6,0,8,25
2020-07,5,5,0,6,27
2020-08,8,8,0,7,21
2020-09,9,10,3,5,23
2020-10,8,9,0,10,23
2020-11,6,7,0,6,15
2020-12,5,5,0,6,19
2021-01,8,8,3,4,15
2021-02,7,7,0,4,13
2021-03,6,5,0,4,17
2021-04,8,8,2,4,16
2021-05,5,4,0,4,14
2021-06,8,8,0,3,18
2021-07,5,6,0,3,13
2021-08,8,7,2,2,14
2021-09,5,5,0,3,12
2021-10,7,7,0,4,12
2021-11,8,7,0,3,15
2021-12,10,10,0,5,11
2022-01,5,6,0,5,13
2022-02,6,7,0,3,15
2022-03,6,5,1,4,16
2022-04,7,8,1,3,18
2022-05,6,6,1,3,18
2022-06,7,7,2,4,17
2022-07,6,6,0,4,15
2022-08,7,7,2,5,16
2022-09,7,7,0,4,21
2022-10,6,6,0,4,18
2022-11,6,6,2,3,19
2022-12,5,5,0,5,13
2023-01,6,6,1,7,12
2023-02,6,6,1,6,13
2023-03,5,5,1,5,14
2023-04,6,6,1,5,15
2023-05,7,6,2,6,17
2023-06,7,7,2,5,16
2023-07,7,7,0,5,14
2023-08,7,7,2,5,17
2023-09,5,6,2,5,14
2023-10,7,7,1,3,14
2023-11,5,5,1,4,16
2023-12,7,7,2,4,12
2024-01,7,6,1,5,14
2024-02,6,6,2,5,14
2024-03,7,7,2,3,16
2024-04,7,7,0,4,11
2024-05,7,7,2,4,13
2024-06,7,6,0,4,11
2024-07,5,5,1,5,12
2024-08,4,5,1,4,14
2024-09,7,7,1,4,14
2024-10,7,6,2,3,14
2024-11,6,5,0,4,15
2024-12,5,6,0,3,14
2025-01,5,6,2,4,14
2025-02,4,4,0,2,13
2025-03,5,5,2,3,11
2025-04,5,5,1,3,13
2025-05,5,5,1,4,11
2025-06,5,6,0,3,15
2025-07,4,4,0,4,12
2025-08,5,5,<1,4,13
2025-09,5,5,1,3,12
