Category: All categories

Month,internet: (Barisal Division),phone line: (Barisal Division),electricity generator: (Barisal Division),generator: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,100,47,0,0,0
2014-08,73,0,0,0,18
2014-09,69,0,0,0,19
2014-10,68,0,0,0,17
2014-11,70,0,0,0,16
2014-12,83,0,0,14,21
2015-01,99,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,68,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,44,0,0,0,0
2016-07,52,0,0,0,0
2016-08,41,0,0,0,0
2016-09,43,0,0,0,0
2016-10,28,0,0,0,0
2016-11,32,0,0,0,0
2016-12,26,0,0,0,17
2017-01,31,0,0,0,0
2017-02,30,0,0,0,0
2017-03,23,0,0,0,0
2017-04,32,0,0,0,15
2017-05,22,0,0,0,0
2017-06,23,0,0,0,0
2017-07,39,0,0,0,0
2017-08,23,0,0,0,0
2017-09,27,0,0,0,15
2017-10,30,0,0,0,12
2017-11,26,0,0,0,14
2017-12,27,0,0,0,13
2018-01,23,0,0,0,16
2018-02,31,0,0,0,12
2018-03,24,0,0,0,7
2018-04,28,0,0,0,9
2018-05,22,0,0,6,12
2018-06,25,0,0,0,5
2018-07,23,0,0,6,7
2018-08,39,0,0,0,9
2018-09,27,0,0,0,6
2018-10,25,0,0,4,10
2018-11,23,0,0,0,9
2018-12,31,0,0,5,9
2019-01,29,0,0,0,8
2019-02,24,0,0,0,9
2019-03,23,0,0,5,18
2019-04,18,0,0,0,13
2019-05,25,0,0,0,14
2019-06,21,0,0,3,6
2019-07,25,0,0,4,12
2019-08,23,0,0,4,13
2019-09,20,0,0,3,8
2019-10,21,0,0,3,9
2019-11,21,0,0,4,10
2019-12,23,0,0,3,9
2020-01,21,0,0,3,7
2020-02,20,0,0,3,9
2020-03,24,0,0,5,9
2020-04,31,0,0,5,9
2020-05,29,0,0,6,8
2020-06,30,0,0,6,13
2020-07,28,0,0,6,14
2020-08,29,0,0,6,11
2020-09,25,0,0,6,12
2020-10,22,0,0,6,11
2020-11,19,0,0,4,8
2020-12,21,0,0,6,10
2021-01,19,0,0,6,8
2021-02,20,0,0,4,7
2021-03,19,0,0,4,8
2021-04,16,0,0,5,8
2021-05,15,0,0,5,7
2021-06,17,0,0,5,9
2021-07,16,0,0,4,6
2021-08,16,0,0,5,7
2021-09,15,0,0,5,6
2021-10,14,0,0,4,6
2021-11,11,0,0,4,8
2021-12,13,0,0,4,6
2022-01,16,0,0,6,7
2022-02,14,0,0,6,7
2022-03,14,0,0,5,8
2022-04,13,0,0,6,9
2022-05,12,0,0,5,9
2022-06,13,0,0,5,9
2022-07,14,0,0,5,8
2022-08,13,0,0,6,8
2022-09,13,0,0,5,11
2022-10,12,0,0,6,9
2022-11,10,0,0,5,10
2022-12,10,0,0,7,7
2023-01,10,0,0,6,6
2023-02,11,0,0,6,7
2023-03,11,0,0,7,7
2023-04,10,0,0,7,7
2023-05,10,0,0,8,9
2023-06,15,0,0,9,8
2023-07,12,0,0,10,7
2023-08,12,0,0,9,9
2023-09,10,0,0,10,7
2023-10,12,0,0,9,7
2023-11,13,0,0,8,8
2023-12,11,0,0,10,6
2024-01,11,0,0,11,7
2024-02,10,0,0,9,7
2024-03,9,0,0,10,8
2024-04,9,0,0,8,5
2024-05,9,0,0,8,7
2024-06,8,0,0,8,6
2024-07,15,0,0,7,6
2024-08,13,0,0,10,7
2024-09,9,0,0,11,7
2024-10,9,0,0,9,7
2024-11,9,0,0,8,8
2024-12,8,0,0,8,7
2025-01,7,0,0,9,7
2025-02,7,0,0,9,7
2025-03,7,0,0,12,6
2025-04,7,0,0,9,7
2025-05,7,0,0,9,6
2025-06,6,0,0,9,8
2025-07,8,0,0,9,6
2025-08,7,0,0,6,6
2025-09,7,0,0,7,6
