Category: All categories

Month,college: (Barisal Division),nursery: (Barisal Division),dam: (Barisal Division),desalination: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,61,0,0,0,28
2014-09,53,0,0,0,30
2014-10,84,0,0,0,26
2014-11,86,0,0,0,25
2014-12,62,0,0,0,33
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,76,0,0,0,0
2016-06,61,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,46,0,0,0,0
2016-10,50,0,0,0,0
2016-11,47,0,0,0,0
2016-12,33,0,0,0,27
2017-01,41,0,0,0,0
2017-02,35,0,0,0,0
2017-03,19,0,0,0,0
2017-04,48,0,0,0,23
2017-05,64,0,0,0,0
2017-06,63,0,0,0,0
2017-07,67,0,0,0,0
2017-08,53,0,0,0,0
2017-09,43,0,0,0,23
2017-10,76,0,0,0,18
2017-11,76,0,0,0,22
2017-12,92,0,0,0,20
2018-01,61,0,0,0,26
2018-02,57,0,0,0,18
2018-03,54,0,0,0,11
2018-04,41,0,0,0,14
2018-05,100,0,0,0,19
2018-06,83,0,0,0,7
2018-07,61,0,0,0,10
2018-08,56,0,0,0,15
2018-09,61,0,0,0,9
2018-10,74,0,0,0,16
2018-11,81,0,0,0,13
2018-12,73,0,0,0,14
2019-01,59,0,0,0,13
2019-02,68,0,0,0,14
2019-03,57,0,7,0,28
2019-04,54,0,0,0,20
2019-05,97,0,0,0,22
2019-06,79,0,0,0,10
2019-07,69,0,0,0,19
2019-08,51,0,0,0,20
2019-09,67,0,0,0,12
2019-10,75,0,0,0,15
2019-11,79,0,4,0,15
2019-12,98,0,0,0,14
2020-01,61,0,0,0,12
2020-02,50,0,4,0,15
2020-03,44,0,5,0,14
2020-04,27,0,0,0,14
2020-05,34,0,3,0,13
2020-06,51,0,3,0,20
2020-07,40,0,3,0,22
2020-08,87,0,3,0,17
2020-09,69,0,5,0,18
2020-10,45,0,3,0,18
2020-11,42,3,4,0,12
2020-12,44,0,3,0,15
2021-01,46,0,5,0,12
2021-02,44,0,3,0,11
2021-03,41,0,3,0,13
2021-04,36,0,0,0,13
2021-05,28,0,4,0,11
2021-06,40,0,4,0,14
2021-07,41,0,4,0,10
2021-08,56,0,3,0,11
2021-09,61,0,3,0,9
2021-10,49,0,3,0,9
2021-11,60,0,3,0,12
2021-12,58,0,3,0,9
2022-01,86,0,3,0,10
2022-02,73,0,4,0,12
2022-03,53,0,5,0,13
2022-04,43,0,4,0,14
2022-05,55,0,4,0,14
2022-06,51,0,4,0,14
2022-07,50,1,6,0,12
2022-08,54,0,5,0,13
2022-09,52,1,5,0,17
2022-10,51,0,3,0,15
2022-11,42,1,3,0,15
2022-12,63,1,3,0,10
2023-01,68,1,3,0,10
2023-02,51,0,3,0,11
2023-03,43,0,4,0,11
2023-04,46,0,3,0,12
2023-05,50,1,4,0,14
2023-06,54,0,3,0,13
2023-07,51,0,4,0,12
2023-08,71,0,3,0,14
2023-09,68,0,3,0,11
2023-10,40,0,3,0,11
2023-11,41,0,3,0,13
2023-12,44,1,3,0,10
2024-01,49,0,5,0,11
2024-02,51,0,5,0,11
2024-03,47,0,5,0,13
2024-04,39,0,4,0,8
2024-05,67,0,5,0,11
2024-06,62,0,5,0,9
2024-07,52,0,4,0,9
2024-08,43,0,6,0,11
2024-09,37,0,4,0,11
2024-10,38,1,5,0,11
2024-11,38,0,5,0,12
2024-12,34,0,5,0,11
2025-01,42,0,4,0,11
2025-02,42,0,4,0,10
2025-03,30,0,4,0,9
2025-04,35,0,5,0,11
2025-05,38,0,5,0,9
2025-06,36,0,5,0,12
2025-07,51,0,5,1,10
2025-08,55,0,7,0,10
2025-09,47,<1,5,0,10
