Category: All categories

Month,infrastructure: (Barisal Division),military: (Barisal Division),military: (Barisal Division),school: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,32,21
2014-09,0,0,0,56,22
2014-10,0,0,0,32,20
2014-11,0,0,0,34,19
2014-12,0,0,0,68,25
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,60,0
2015-05,0,0,0,0,0
2015-06,0,0,0,100,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,51,0
2016-06,0,0,0,65,0
2016-07,0,0,0,55,0
2016-08,0,0,0,71,0
2016-09,0,0,0,0,0
2016-10,0,0,0,34,0
2016-11,0,0,0,77,0
2016-12,0,0,0,70,20
2017-01,0,0,0,54,0
2017-02,0,0,0,49,0
2017-03,0,0,0,47,0
2017-04,0,0,0,64,17
2017-05,0,0,0,39,0
2017-06,0,0,0,46,0
2017-07,0,0,0,47,0
2017-08,0,0,0,54,0
2017-09,0,0,0,47,18
2017-10,0,0,0,52,14
2017-11,0,0,0,46,17
2017-12,0,0,0,81,15
2018-01,0,0,0,70,19
2018-02,0,0,0,57,14
2018-03,0,0,0,53,8
2018-04,0,0,0,60,10
2018-05,0,0,0,64,14
2018-06,0,0,0,49,6
2018-07,0,0,0,57,8
2018-08,0,0,0,63,11
2018-09,0,0,0,55,7
2018-10,0,0,0,49,12
2018-11,0,0,0,52,10
2018-12,0,0,0,85,10
2019-01,0,0,0,70,10
2019-02,0,0,0,48,10
2019-03,0,0,0,51,21
2019-04,0,0,0,44,15
2019-05,0,0,0,53,16
2019-06,0,0,0,43,7
2019-07,0,0,0,44,14
2019-08,0,0,0,46,15
2019-09,3,0,0,46,9
2019-10,0,4,4,42,11
2019-11,0,0,0,49,11
2019-12,0,0,0,65,10
2020-01,0,0,3,44,9
2020-02,0,3,0,41,11
2020-03,0,3,2,38,10
2020-04,0,0,0,34,10
2020-05,0,2,0,37,10
2020-06,0,0,0,37,15
2020-07,0,2,0,34,16
2020-08,0,0,0,37,13
2020-09,0,0,0,41,14
2020-10,0,1,0,39,13
2020-11,0,0,0,53,9
2020-12,0,2,2,49,11
2021-01,0,2,0,52,9
2021-02,0,0,2,37,8
2021-03,0,0,0,37,10
2021-04,0,0,2,37,9
2021-05,0,1,2,33,8
2021-06,0,0,1,36,11
2021-07,0,2,1,33,8
2021-08,0,1,1,31,8
2021-09,0,1,0,40,7
2021-10,0,0,1,36,7
2021-11,0,1,0,44,9
2021-12,0,0,1,55,7
2022-01,0,0,0,43,8
2022-02,0,2,2,42,9
2022-03,0,2,2,46,10
2022-04,0,1,1,36,11
2022-05,0,1,1,39,11
2022-06,0,1,1,37,10
2022-07,0,1,1,30,9
2022-08,0,2,1,33,10
2022-09,0,2,2,34,12
2022-10,0,1,1,30,11
2022-11,0,1,1,34,11
2022-12,0,1,1,38,8
2023-01,0,1,1,39,7
2023-02,0,1,1,31,8
2023-03,0,2,1,31,8
2023-04,0,1,1,27,9
2023-05,0,1,1,31,10
2023-06,0,1,1,33,10
2023-07,0,1,1,27,9
2023-08,0,1,1,31,10
2023-09,0,0,1,30,8
2023-10,0,1,1,25,8
2023-11,0,1,1,34,10
2023-12,0,1,1,32,7
2024-01,0,1,1,29,8
2024-02,0,1,1,26,8
2024-03,0,0,1,26,9
2024-04,0,2,1,24,6
2024-05,0,1,1,28,8
2024-06,0,1,1,24,7
2024-07,0,1,1,25,7
2024-08,0,2,2,23,8
2024-09,0,1,1,23,8
2024-10,0,1,2,24,8
2024-11,0,1,1,34,9
2024-12,0,1,2,29,8
2025-01,0,2,2,26,8
2025-02,0,1,2,26,8
2025-03,0,1,1,22,7
2025-04,0,1,1,24,8
2025-05,0,2,2,25,7
2025-06,0,3,2,26,9
2025-07,0,1,1,30,7
2025-08,0,<1,1,29,8
2025-09,<1,1,1,27,7
