Category: All categories

Month,police: (Barisal Division),airport: (Barisal Division),airport: (Barisal Division),army: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,73
2014-09,0,0,0,0,79
2014-10,0,0,0,71,69
2014-11,0,0,0,78,66
2014-12,0,0,0,66,88
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,70
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,73,0,0,0,0
2017-04,0,0,0,0,61
2017-05,0,0,0,0,0
2017-06,69,0,0,0,0
2017-07,0,0,0,42,0
2017-08,37,0,0,0,0
2017-09,64,0,0,66,62
2017-10,52,0,0,0,48
2017-11,46,0,0,0,58
2017-12,56,0,0,29,52
2018-01,45,0,0,30,67
2018-02,75,0,0,57,49
2018-03,31,0,0,22,28
2018-04,0,0,0,30,35
2018-05,24,0,0,22,49
2018-06,19,0,0,36,20
2018-07,45,0,0,18,27
2018-08,29,0,0,41,39
2018-09,30,0,0,22,24
2018-10,45,16,18,26,42
2018-11,40,20,17,19,35
2018-12,47,22,24,40,37
2019-01,36,16,0,29,35
2019-02,53,17,0,42,35
2019-03,41,0,0,23,73
2019-04,62,0,0,27,54
2019-05,61,21,18,24,57
2019-06,52,17,14,26,25
2019-07,36,0,0,0,50
2019-08,47,23,20,35,53
2019-09,31,21,15,26,31
2019-10,42,15,15,32,38
2019-11,34,19,18,35,40
2019-12,38,15,17,38,36
2020-01,38,9,0,36,31
2020-02,46,13,12,24,38
2020-03,41,8,9,30,36
2020-04,38,0,10,26,36
2020-05,35,0,0,24,35
2020-06,36,12,9,27,53
2020-07,37,8,0,27,57
2020-08,46,7,10,41,44
2020-09,36,13,11,32,48
2020-10,39,10,12,35,48
2020-11,38,5,0,54,32
2020-12,57,10,10,60,40
2021-01,45,9,8,46,32
2021-02,40,6,12,31,28
2021-03,33,9,8,24,35
2021-04,100,6,6,27,33
2021-05,38,13,16,32,29
2021-06,48,9,9,22,38
2021-07,36,6,7,25,27
2021-08,37,7,6,34,28
2021-09,78,13,13,31,25
2021-10,61,10,8,26,25
2021-11,51,5,7,28,31
2021-12,53,8,8,37,23
2022-01,50,10,11,42,27
2022-02,67,8,7,31,31
2022-03,59,11,11,35,34
2022-04,43,8,8,28,37
2022-05,36,7,6,22,37
2022-06,38,6,7,32,36
2022-07,40,7,7,31,31
2022-08,47,12,10,27,34
2022-09,45,9,9,26,44
2022-10,35,7,7,27,39
2022-11,42,7,7,17,40
2022-12,71,5,5,32,27
2023-01,50,7,7,25,25
2023-02,51,8,9,27,28
2023-03,44,8,9,28,29
2023-04,32,8,7,20,30
2023-05,37,7,7,15,36
2023-06,40,7,7,22,34
2023-07,37,11,10,22,30
2023-08,37,7,7,20,36
2023-09,39,5,7,18,29
2023-10,34,6,6,22,28
2023-11,33,6,8,20,34
2023-12,42,7,8,38,26
2024-01,58,6,8,35,30
2024-02,53,9,10,25,30
2024-03,40,8,7,20,33
2024-04,29,8,6,19,22
2024-05,28,7,8,18,28
2024-06,32,8,7,16,24
2024-07,34,8,8,19,24
2024-08,55,8,8,37,29
2024-09,53,7,6,25,29
2024-10,95,5,6,22,29
2024-11,56,4,5,31,32
2024-12,46,9,11,30,30
2025-01,41,5,6,22,29
2025-02,44,5,6,16,27
2025-03,47,5,5,18,24
2025-04,35,5,6,17,28
2025-05,37,5,5,20,23
2025-06,34,6,6,16,31
2025-07,48,7,7,19,25
2025-08,43,6,7,21,26
2025-09,42,5,5,23,25
