Category: All categories

Month,army: (Barisal Division),road: (Barisal Division),road: (Barisal Division),road: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,83
2014-09,0,0,0,0,90
2014-10,81,0,0,0,78
2014-11,89,96,68,67,75
2014-12,75,0,0,0,100
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,80
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,70
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,48,0,0,0,0
2017-08,0,0,0,0,0
2017-09,75,0,0,0,70
2017-10,0,0,0,39,55
2017-11,0,0,0,0,67
2017-12,33,0,37,0,59
2018-01,34,39,43,41,76
2018-02,64,31,0,0,55
2018-03,26,46,41,49,32
2018-04,34,49,58,44,40
2018-05,25,36,25,27,56
2018-06,41,25,28,0,22
2018-07,20,29,0,33,31
2018-08,47,50,44,44,44
2018-09,25,34,41,36,27
2018-10,30,30,31,38,47
2018-11,22,29,23,21,40
2018-12,45,0,0,0,42
2019-01,33,33,33,36,39
2019-02,48,20,26,28,40
2019-03,26,33,37,35,83
2019-04,31,22,19,21,61
2019-05,27,27,30,33,65
2019-06,29,23,26,23,29
2019-07,0,19,0,26,56
2019-08,40,35,35,35,60
2019-09,29,24,28,24,36
2019-10,36,27,28,27,43
2019-11,40,38,33,32,46
2019-12,43,28,28,29,41
2020-01,41,27,30,31,35
2020-02,28,32,26,27,44
2020-03,35,28,23,24,41
2020-04,30,21,23,20,42
2020-05,27,24,22,27,39
2020-06,31,21,23,19,61
2020-07,31,28,28,29,65
2020-08,47,29,28,31,50
2020-09,37,26,27,27,54
2020-10,40,27,27,28,54
2020-11,61,27,24,27,36
2020-12,68,28,31,30,46
2021-01,52,27,26,23,36
2021-02,35,21,22,22,32
2021-03,28,32,34,33,40
2021-04,30,19,20,21,38
2021-05,37,25,27,25,33
2021-06,26,29,28,29,43
2021-07,29,19,20,19,30
2021-08,39,18,18,20,32
2021-09,35,28,29,28,28
2021-10,29,24,25,26,28
2021-11,31,19,23,21,35
2021-12,42,21,19,21,27
2022-01,48,25,25,24,31
2022-02,35,26,25,25,35
2022-03,39,32,31,32,38
2022-04,32,29,28,28,42
2022-05,25,25,26,26,43
2022-06,36,27,26,27,41
2022-07,36,25,25,24,36
2022-08,31,29,30,30,38
2022-09,30,30,29,30,50
2022-10,31,29,29,29,44
2022-11,20,23,23,24,46
2022-12,37,17,17,18,31
2023-01,28,26,26,25,29
2023-02,31,26,28,27,32
2023-03,32,26,24,26,33
2023-04,22,22,21,22,35
2023-05,17,26,27,26,41
2023-06,25,27,28,27,38
2023-07,25,23,23,22,34
2023-08,22,28,27,28,41
2023-09,21,23,21,22,33
2023-10,25,19,20,21,32
2023-11,22,21,20,21,38
2023-12,44,23,24,23,29
2024-01,40,23,24,24,34
2024-02,28,28,29,30,34
2024-03,23,33,32,33,38
2024-04,22,24,24,24,25
2024-05,21,19,19,20,31
2024-06,19,23,23,23,27
2024-07,22,21,21,20,28
2024-08,42,23,23,22,33
2024-09,28,23,24,24,33
2024-10,25,24,24,24,33
2024-11,36,25,25,26,36
2024-12,34,22,23,23,34
2025-01,25,21,21,22,33
2025-02,18,21,20,19,31
2025-03,20,19,20,19,27
2025-04,20,18,18,18,31
2025-05,23,22,22,21,26
2025-06,18,22,22,22,35
2025-07,22,20,19,19,29
2025-08,24,29,28,28,30
2025-09,26,25,25,25,29
