Category: All categories

Month,resource: (Barisal Division),shortage: (Barisal Division),education: (Barisal Division),health: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,66,0,29
2014-09,0,0,56,0,31
2014-10,0,0,52,29,27
2014-11,0,0,57,0,26
2014-12,0,0,63,0,35
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,80,0,0
2015-06,0,0,92,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,69,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,49,0,0
2016-11,0,0,34,0,0
2016-12,0,0,62,0,28
2017-01,0,0,31,0,0
2017-02,0,0,25,0,0
2017-03,0,0,39,0,0
2017-04,0,0,39,0,24
2017-05,0,0,97,0,0
2017-06,0,0,28,0,0
2017-07,0,0,56,19,0
2017-08,0,0,22,0,0
2017-09,0,0,22,15,25
2017-10,0,0,25,18,19
2017-11,0,0,35,0,23
2017-12,0,0,100,0,21
2018-01,0,0,39,28,27
2018-02,0,0,25,0,19
2018-03,0,0,27,0,11
2018-04,0,0,35,16,14
2018-05,0,0,93,13,19
2018-06,0,0,24,14,8
2018-07,0,0,58,17,11
2018-08,0,0,41,18,15
2018-09,0,0,37,15,10
2018-10,0,0,24,20,17
2018-11,0,0,26,11,14
2018-12,0,0,73,13,15
2019-01,0,0,41,16,14
2019-02,0,0,29,12,14
2019-03,0,0,29,13,29
2019-04,0,0,30,11,21
2019-05,0,0,87,14,23
2019-06,0,0,22,7,10
2019-07,0,0,58,12,20
2019-08,0,0,28,12,21
2019-09,0,0,34,13,13
2019-10,0,0,26,10,15
2019-11,0,0,24,17,16
2019-12,0,0,85,10,15
2020-01,0,0,44,11,12
2020-02,0,0,25,13,15
2020-03,0,0,26,14,14
2020-04,0,0,13,13,15
2020-05,0,0,56,12,14
2020-06,0,0,37,11,21
2020-07,0,0,24,12,23
2020-08,0,0,23,10,18
2020-09,0,0,23,11,19
2020-10,0,0,24,11,19
2020-11,0,0,22,13,13
2020-12,0,0,23,13,16
2021-01,0,0,41,10,13
2021-02,0,0,29,11,11
2021-03,2,0,23,11,14
2021-04,0,0,16,8,13
2021-05,0,0,14,9,12
2021-06,0,0,19,8,15
2021-07,0,0,15,8,11
2021-08,0,0,19,11,11
2021-09,0,0,19,11,10
2021-10,0,0,18,9,10
2021-11,0,0,19,9,12
2021-12,2,0,49,11,9
2022-01,1,0,39,8,11
2022-02,1,0,57,9,12
2022-03,1,0,23,11,13
2022-04,0,0,20,12,15
2022-05,0,0,17,9,15
2022-06,0,0,20,9,14
2022-07,0,0,14,9,12
2022-08,0,0,16,11,13
2022-09,1,0,17,8,17
2022-10,0,0,15,8,15
2022-11,0,0,65,8,16
2022-12,1,0,28,8,11
2023-01,2,0,24,8,10
2023-02,0,0,43,9,11
2023-03,0,0,18,8,11
2023-04,0,0,15,7,12
2023-05,1,0,20,10,14
2023-06,0,0,15,9,13
2023-07,1,0,76,7,12
2023-08,0,0,36,9,14
2023-09,1,1,25,8,11
2023-10,0,0,15,8,11
2023-11,0,0,50,9,13
2023-12,1,0,22,7,10
2024-01,1,0,22,8,12
2024-02,0,0,16,7,12
2024-03,0,0,15,9,13
2024-04,0,0,15,7,9
2024-05,1,0,84,8,11
2024-06,0,0,23,6,9
2024-07,0,0,19,8,10
2024-08,0,0,19,6,11
2024-09,0,0,16,8,12
2024-10,0,0,33,8,11
2024-11,0,0,18,9,13
2024-12,0,0,17,8,12
2025-01,0,0,12,9,12
2025-02,0,0,14,7,11
2025-03,0,0,12,7,10
2025-04,0,0,13,8,11
2025-05,0,0,14,9,9
2025-06,0,0,12,6,12
2025-07,0,0,77,7,10
2025-08,<1,0,21,8,11
2025-09,<1,0,22,6,10
