Category: All categories

Month,province: (Barisal Division),state: (Barisal Division),civil: (Barisal Division),civil: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,41,0,0,43
2014-09,0,0,0,0,47
2014-10,0,0,0,0,41
2014-11,0,0,0,0,39
2014-12,0,0,0,0,52
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,100,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,42
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,37
2017-05,27,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,33,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,37
2017-10,0,24,0,0,29
2017-11,0,0,0,0,35
2017-12,0,0,0,0,31
2018-01,0,0,0,0,40
2018-02,0,0,0,0,29
2018-03,0,0,0,0,16
2018-04,0,0,0,0,21
2018-05,0,13,0,0,29
2018-06,0,0,0,14,12
2018-07,0,14,0,0,16
2018-08,0,0,0,0,23
2018-09,0,11,13,15,14
2018-10,0,18,10,10,25
2018-11,0,14,11,11,21
2018-12,0,14,0,0,22
2019-01,0,0,9,9,21
2019-02,0,12,13,13,21
2019-03,0,0,9,11,43
2019-04,0,0,9,9,32
2019-05,0,10,13,0,34
2019-06,0,0,0,0,15
2019-07,0,9,10,9,29
2019-08,0,11,8,11,31
2019-09,0,10,9,10,19
2019-10,0,11,7,8,22
2019-11,0,10,11,0,24
2019-12,0,12,10,11,22
2020-01,0,8,15,9,18
2020-02,0,12,8,9,23
2020-03,0,7,7,5,22
2020-04,0,9,7,4,22
2020-05,0,7,8,7,21
2020-06,0,7,10,11,32
2020-07,0,10,7,10,34
2020-08,0,7,8,8,26
2020-09,0,10,9,9,28
2020-10,0,8,7,6,28
2020-11,0,15,7,6,19
2020-12,0,10,8,7,24
2021-01,0,10,8,10,19
2021-02,0,6,6,7,17
2021-03,0,8,5,5,21
2021-04,0,12,4,5,20
2021-05,0,13,6,8,17
2021-06,0,15,9,9,22
2021-07,2,13,5,5,16
2021-08,0,8,8,9,17
2021-09,0,12,7,7,15
2021-10,0,10,7,7,15
2021-11,0,13,9,9,18
2021-12,0,11,10,9,14
2022-01,0,9,10,10,16
2022-02,0,10,6,7,18
2022-03,0,13,6,6,20
2022-04,0,10,6,6,22
2022-05,0,8,7,7,22
2022-06,0,8,6,6,21
2022-07,0,9,6,6,19
2022-08,0,11,7,7,20
2022-09,0,11,8,8,26
2022-10,0,9,5,4,23
2022-11,0,8,4,3,24
2022-12,0,9,5,5,16
2023-01,0,9,6,6,15
2023-02,0,10,10,8,16
2023-03,0,9,6,6,17
2023-04,0,9,5,4,18
2023-05,0,9,7,6,21
2023-06,0,9,4,3,20
2023-07,0,10,6,6,18
2023-08,0,10,7,8,22
2023-09,0,9,5,5,17
2023-10,0,6,4,3,17
2023-11,0,8,5,5,20
2023-12,0,10,4,4,15
2024-01,0,9,6,6,18
2024-02,0,9,6,6,18
2024-03,0,10,8,8,20
2024-04,0,12,13,12,13
2024-05,0,9,10,10,16
2024-06,0,6,4,4,14
2024-07,0,8,3,4,14
2024-08,0,12,3,4,17
2024-09,0,11,5,5,17
2024-10,0,11,3,3,17
2024-11,0,11,4,3,19
2024-12,0,11,5,6,18
2025-01,0,10,4,3,17
2025-02,0,8,5,4,16
2025-03,0,11,3,4,14
2025-04,2,9,6,6,16
2025-05,0,8,8,8,14
2025-06,0,7,7,7,18
2025-07,0,9,7,7,15
2025-08,0,9,6,6,16
2025-09,1,8,5,5,15
