Category: All categories

Month,MP: (Barisal Division),union: (Barisal Division),union: (Barisal Division),union: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,47
2014-09,0,0,0,0,51
2014-10,0,0,0,0,45
2014-11,0,0,0,0,43
2014-12,0,0,0,0,57
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,100,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,46
2017-01,0,0,0,0,0
2017-02,43,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,40
2017-05,0,0,0,0,0
2017-06,40,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,40
2017-10,0,0,0,0,31
2017-11,0,0,0,0,38
2017-12,0,0,0,0,34
2018-01,0,0,0,0,44
2018-02,19,0,0,0,32
2018-03,0,0,0,14,18
2018-04,0,0,0,0,23
2018-05,0,0,0,0,32
2018-06,17,0,0,0,13
2018-07,15,0,0,0,17
2018-08,14,0,0,0,25
2018-09,0,13,14,18,16
2018-10,0,0,0,0,27
2018-11,0,11,0,0,23
2018-12,0,10,0,20,24
2019-01,9,0,0,0,22
2019-02,0,0,0,0,23
2019-03,0,10,11,0,47
2019-04,10,0,0,0,35
2019-05,0,13,11,13,37
2019-06,0,7,9,8,16
2019-07,0,13,13,16,32
2019-08,0,8,7,0,34
2019-09,0,17,15,13,20
2019-10,0,8,10,6,25
2019-11,0,0,0,0,26
2019-12,0,8,7,8,24
2020-01,6,10,10,10,20
2020-02,6,12,13,10,25
2020-03,6,0,11,6,24
2020-04,10,7,0,7,24
2020-05,0,11,11,11,23
2020-06,8,9,7,8,35
2020-07,7,6,0,6,37
2020-08,5,6,8,6,29
2020-09,6,11,13,9,31
2020-10,8,5,7,6,31
2020-11,5,6,5,5,20
2020-12,4,8,7,8,26
2021-01,4,9,10,10,20
2021-02,3,9,10,10,18
2021-03,3,8,10,10,23
2021-04,0,12,12,15,22
2021-05,3,9,8,8,19
2021-06,5,15,15,15,24
2021-07,3,8,8,8,17
2021-08,5,10,10,10,18
2021-09,3,11,11,12,16
2021-10,0,10,9,10,16
2021-11,5,9,9,9,20
2021-12,4,6,7,7,15
2022-01,2,7,9,8,18
2022-02,0,7,8,8,20
2022-03,5,10,9,9,22
2022-04,3,8,7,8,24
2022-05,5,7,6,6,24
2022-06,3,7,7,7,23
2022-07,4,7,7,7,20
2022-08,3,9,9,9,22
2022-09,5,9,10,9,28
2022-10,4,9,9,10,25
2022-11,3,7,7,7,26
2022-12,2,5,5,5,18
2023-01,4,6,6,6,17
2023-02,3,7,7,6,18
2023-03,3,7,8,7,19
2023-04,4,6,6,6,20
2023-05,3,7,7,7,23
2023-06,4,6,6,6,22
2023-07,3,6,6,6,20
2023-08,3,10,10,10,24
2023-09,3,12,12,12,19
2023-10,3,12,11,11,18
2023-11,7,9,9,9,22
2023-12,6,14,15,15,17
2024-01,10,10,11,10,19
2024-02,4,10,9,9,19
2024-03,3,8,8,8,22
2024-04,4,9,10,10,14
2024-05,4,11,11,11,18
2024-06,5,6,6,6,15
2024-07,3,7,8,8,16
2024-08,5,6,7,7,19
2024-09,2,8,8,8,19
2024-10,3,9,9,8,19
2024-11,3,10,10,9,21
2024-12,2,9,8,9,19
2025-01,2,5,6,5,19
2025-02,2,8,8,8,18
2025-03,2,7,6,7,16
2025-04,3,7,7,6,18
2025-05,3,7,6,7,15
2025-06,2,6,6,6,20
2025-07,2,8,7,7,16
2025-08,3,8,9,8,17
2025-09,2,7,6,7,16
