Category: All categories

Month,department: (Barisal Division),judge: (Barisal Division),elections: (Barisal Division),army: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,27,0,0,0,26
2014-09,0,0,0,0,28
2014-10,0,0,0,26,25
2014-11,0,0,0,28,24
2014-12,0,0,0,24,32
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,75,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,100,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,25
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,22
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,14,0,0,15,0
2017-08,0,0,0,0,0
2017-09,0,0,0,24,22
2017-10,17,0,0,0,17
2017-11,0,0,0,0,21
2017-12,15,0,0,11,19
2018-01,0,0,0,11,24
2018-02,0,0,0,20,18
2018-03,0,0,0,8,10
2018-04,0,0,0,11,13
2018-05,8,0,0,8,18
2018-06,0,0,0,13,7
2018-07,10,0,0,6,10
2018-08,6,0,0,15,14
2018-09,10,0,0,8,9
2018-10,0,0,0,10,15
2018-11,6,0,0,7,13
2018-12,0,0,0,14,13
2019-01,10,0,0,10,13
2019-02,7,0,0,15,13
2019-03,6,0,0,8,26
2019-04,7,0,0,10,19
2019-05,11,0,0,9,21
2019-06,0,0,0,9,9
2019-07,4,0,0,0,18
2019-08,6,0,0,13,19
2019-09,9,0,0,9,11
2019-10,8,0,0,11,14
2019-11,10,0,0,13,14
2019-12,9,0,0,14,13
2020-01,6,0,0,13,11
2020-02,5,0,0,9,14
2020-03,5,0,0,11,13
2020-04,3,0,0,10,13
2020-05,4,3,0,9,13
2020-06,4,2,0,10,19
2020-07,4,3,0,10,21
2020-08,5,0,0,15,16
2020-09,6,0,0,12,17
2020-10,8,0,0,13,17
2020-11,5,0,2,19,11
2020-12,4,0,0,22,15
2021-01,4,0,0,17,11
2021-02,5,2,0,11,10
2021-03,4,0,0,9,13
2021-04,3,2,0,10,12
2021-05,3,0,0,12,11
2021-06,4,0,0,8,14
2021-07,3,2,0,9,10
2021-08,4,0,0,12,10
2021-09,6,0,0,11,9
2021-10,4,0,0,9,9
2021-11,5,0,0,10,11
2021-12,6,0,0,13,8
2022-01,5,0,0,15,10
2022-02,4,1,0,11,11
2022-03,4,1,0,12,12
2022-04,4,1,0,10,13
2022-05,4,0,0,8,14
2022-06,5,2,0,11,13
2022-07,4,1,0,11,11
2022-08,4,1,0,10,12
2022-09,4,1,0,9,16
2022-10,3,1,0,10,14
2022-11,3,0,0,6,15
2022-12,3,0,0,12,10
2023-01,5,1,0,9,9
2023-02,4,0,0,10,10
2023-03,5,0,0,10,10
2023-04,3,0,0,7,11
2023-05,5,1,1,5,13
2023-06,6,1,0,8,12
2023-07,5,1,0,8,11
2023-08,5,1,0,7,13
2023-09,5,1,0,7,10
2023-10,4,1,0,8,10
2023-11,5,0,0,7,12
2023-12,4,0,0,14,9
2024-01,5,1,0,13,11
2024-02,3,0,0,9,11
2024-03,5,0,0,7,12
2024-04,4,0,0,7,8
2024-05,5,1,0,7,10
2024-06,4,0,1,6,9
2024-07,2,0,0,7,9
2024-08,3,1,0,13,10
2024-09,4,0,0,9,10
2024-10,4,3,0,8,10
2024-11,4,2,4,11,11
2024-12,4,0,0,11,11
2025-01,4,1,0,8,11
2025-02,4,0,0,6,10
2025-03,4,0,0,6,9
2025-04,4,0,0,6,10
2025-05,4,0,0,7,8
2025-06,4,0,0,6,11
2025-07,4,0,0,7,9
2025-08,4,<1,0,8,10
2025-09,4,1,<1,8,9
