Category: All categories

Month,province: (Barisal Division),governorate: (Barisal Division),district: (Barisal Division),government: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,64,0,80
2014-09,0,0,100,0,86
2014-10,0,0,0,0,75
2014-11,0,0,0,0,72
2014-12,0,0,0,0,96
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,77
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,67
2017-05,50,0,0,51,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,67
2017-10,0,0,41,0,53
2017-11,0,0,46,0,64
2017-12,0,0,0,0,57
2018-01,0,0,0,33,73
2018-02,0,0,29,0,53
2018-03,0,0,29,40,30
2018-04,0,0,31,0,39
2018-05,0,0,37,23,53
2018-06,0,0,25,32,21
2018-07,0,0,35,0,29
2018-08,0,0,25,0,42
2018-09,0,0,38,30,26
2018-10,0,0,25,23,46
2018-11,0,0,30,49,38
2018-12,0,0,25,24,40
2019-01,0,0,23,38,38
2019-02,0,0,18,0,39
2019-03,0,0,0,18,80
2019-04,0,0,18,25,59
2019-05,0,0,34,36,63
2019-06,0,0,25,26,28
2019-07,0,0,32,34,54
2019-08,0,0,31,28,58
2019-09,0,0,33,30,34
2019-10,0,0,45,30,41
2019-11,0,0,23,19,44
2019-12,0,0,26,34,40
2020-01,0,0,33,20,33
2020-02,0,0,35,22,42
2020-03,0,0,23,24,40
2020-04,0,0,32,18,40
2020-05,0,0,30,15,38
2020-06,0,0,17,22,58
2020-07,0,0,22,27,62
2020-08,0,0,18,28,48
2020-09,0,0,24,20,52
2020-10,0,0,20,24,52
2020-11,0,0,25,22,34
2020-12,0,0,27,23,44
2021-01,0,0,21,23,34
2021-02,0,0,18,15,31
2021-03,0,0,27,40,38
2021-04,0,0,24,17,36
2021-05,0,0,19,16,32
2021-06,0,0,20,22,41
2021-07,4,0,15,21,29
2021-08,0,0,18,22,31
2021-09,0,0,18,26,27
2021-10,0,0,17,24,27
2021-11,0,0,17,22,34
2021-12,0,0,21,26,25
2022-01,0,0,16,26,30
2022-02,0,0,19,19,34
2022-03,0,0,21,21,37
2022-04,0,0,21,15,40
2022-05,0,0,19,19,41
2022-06,0,0,19,22,39
2022-07,0,0,17,17,34
2022-08,0,0,18,18,37
2022-09,0,0,20,19,48
2022-10,0,0,17,15,42
2022-11,0,0,17,16,44
2022-12,0,0,18,20,30
2023-01,0,0,19,19,28
2023-02,0,0,17,18,30
2023-03,0,0,22,17,31
2023-04,0,0,18,15,33
2023-05,0,0,23,19,39
2023-06,0,0,21,18,37
2023-07,0,0,20,17,33
2023-08,0,0,20,19,40
2023-09,0,0,23,18,31
2023-10,0,0,19,12,31
2023-11,0,0,17,15,37
2023-12,0,0,27,15,28
2024-01,0,0,28,18,33
2024-02,0,0,17,14,33
2024-03,0,0,20,14,36
2024-04,0,0,20,12,24
2024-05,0,0,17,16,30
2024-06,0,0,14,12,26
2024-07,0,0,14,15,27
2024-08,0,0,15,22,31
2024-09,0,0,16,13,32
2024-10,0,0,13,16,31
2024-11,0,0,15,15,34
2024-12,0,0,15,15,32
2025-01,0,0,15,12,32
2025-02,0,0,13,17,29
2025-03,0,0,14,14,26
2025-04,3,0,11,12,30
2025-05,0,0,12,14,25
2025-06,0,0,15,11,34
2025-07,0,0,13,14,28
2025-08,0,0,13,12,29
2025-09,1,0,12,15,28
