Category: All categories

Month,cash assistance: (Barisal Division),medicine: (Barisal Division),medicine: (Barisal Division),medicine: (Barisal Division),Email: (Barisal Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,83
2014-09,0,0,0,0,90
2014-10,0,0,0,0,78
2014-11,0,0,0,0,75
2014-12,0,0,0,0,100
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,0
2016-10,0,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,80
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-04,0,0,0,0,70
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,70
2017-10,0,38,0,0,55
2017-11,0,41,51,58,67
2017-12,0,0,0,0,59
2018-01,0,0,0,46,76
2018-02,0,0,0,0,55
2018-03,0,39,41,39,32
2018-04,0,39,34,34,40
2018-05,0,0,0,0,56
2018-06,0,41,26,24,22
2018-07,0,37,40,33,31
2018-08,0,38,39,32,44
2018-09,0,43,46,42,27
2018-10,0,35,36,37,47
2018-11,0,24,26,34,40
2018-12,0,33,30,33,42
2019-01,0,45,42,41,39
2019-02,0,31,28,25,40
2019-03,0,37,35,36,83
2019-04,0,42,42,42,61
2019-05,0,31,29,31,65
2019-06,0,34,43,40,29
2019-07,0,46,40,44,56
2019-08,0,53,49,50,60
2019-09,0,38,41,39,36
2019-10,0,33,34,36,43
2019-11,0,38,36,35,46
2019-12,0,42,41,44,41
2020-01,0,35,31,34,35
2020-02,0,40,46,42,44
2020-03,0,47,45,45,41
2020-04,0,61,56,57,42
2020-05,0,42,43,39,39
2020-06,0,59,61,59,61
2020-07,0,41,41,43,65
2020-08,0,49,46,49,50
2020-09,0,37,43,41,54
2020-10,0,32,32,31,54
2020-11,0,34,32,32,36
2020-12,0,45,39,43,46
2021-01,0,41,40,39,36
2021-02,0,32,34,31,32
2021-03,0,32,32,30,40
2021-04,0,33,34,34,38
2021-05,0,30,29,30,33
2021-06,0,36,34,35,43
2021-07,0,35,35,34,30
2021-08,0,37,37,37,32
2021-09,0,30,30,31,28
2021-10,0,32,30,31,28
2021-11,0,25,33,33,35
2021-12,0,24,27,26,27
2022-01,0,27,28,27,31
2022-02,0,25,24,25,35
2022-03,0,28,27,27,38
2022-04,0,26,27,26,42
2022-05,0,28,28,27,43
2022-06,0,32,33,32,41
2022-07,0,28,29,28,36
2022-08,0,29,28,28,38
2022-09,0,29,30,30,50
2022-10,0,29,30,29,44
2022-11,0,29,29,29,46
2022-12,0,25,26,26,31
2023-01,0,31,31,31,29
2023-02,0,31,31,29,32
2023-03,0,32,31,34,33
2023-04,0,26,27,26,35
2023-05,0,30,29,30,41
2023-06,0,28,30,29,38
2023-07,0,33,33,33,34
2023-08,0,35,35,37,41
2023-09,0,32,32,31,33
2023-10,0,30,30,29,32
2023-11,0,28,27,26,38
2023-12,0,28,30,29,29
2024-01,0,29,29,29,34
2024-02,0,28,28,29,34
2024-03,0,26,25,25,38
2024-04,0,26,27,24,25
2024-05,0,25,23,24,31
2024-06,0,24,23,23,27
2024-07,0,20,20,19,28
2024-08,0,19,19,18,33
2024-09,0,26,26,26,33
2024-10,0,25,25,26,33
2024-11,0,25,24,26,36
2024-12,0,23,25,24,34
2025-01,0,23,23,23,33
2025-02,0,26,25,25,31
2025-03,0,28,23,24,27
2025-04,0,24,25,24,31
2025-05,0,24,25,25,26
2025-06,0,22,22,22,35
2025-07,0,24,24,22,29
2025-08,0,27,27,27,30
2025-09,0,24,24,25,29
