division_iso_two,topic,keywords[list],query url
BD-A,Environmental,natural resources; drought; flood; environmental degradation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=natural%20resources,drought,flood,environmental%20degradation,%2Fm%2F02nf_&hl=en-US"
BD-A,Environmental,environmental degradation; countryside; rural; agriculture,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=environmental%20degradation,countryside,rural,agriculture,%2Fm%2F02nf_&hl=en-US"
BD-A,Environmental,farmer; farm; temperature; crop production,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=farmer,farm,temperature,crop%20production,%2Fm%2F02nf_&hl=en-US"
BD-A,Environmental,climate change; water; rain; waters,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=climate%20change,water,rain,waters,%2Fm%2F02nf_&hl=en-US"
BD-A,Environmental,rains; downpour; heavy rainfall; heavy rainfall,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=rains,downpour,heavy%20rainfall,heavy%20rainfall,%2Fm%2F02nf_&hl=en-US"
BD-A,Environmental,heavy rainfall; river; reservoir; crop failure,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=heavy%20rainfall,river,reservoir,crop%20failure,%2Fm%2F02nf_&hl=en-US"
BD-A,Environmental,shepherd; shepherd; crop disease; crop damage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=shepherd,shepherd,crop%20disease,crop%20damage,%2Fm%2F02nf_&hl=en-US"
BD-A,Environmental,crop; harvest; food; field,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=crop,harvest,food,field,%2Fm%2F02nf_&hl=en-US"
BD-A,Environmental,fields; mountainous; waste; urban areas,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=fields,mountainous,waste,urban%20areas,%2Fm%2F02nf_&hl=en-US"
BD-A,Environmental,rural areas; gas; weather; desert,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=rural%20areas,gas,weather,desert,%2Fm%2F02nf_&hl=en-US"
BD-A,Environmental,desertification; livestock; cattle; land,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=desertification,livestock,cattle,land,%2Fm%2F02nf_&hl=en-US"
BD-A,Environmental,land; fertile; grains; cereals,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=land,fertile,grains,cereals,%2Fm%2F02nf_&hl=en-US"
