division_iso_two,topic,keywords[list],query url
BD-A,Infrastructure,infrastructure; military; military; school,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=infrastructure,military,military,school,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,school; hospital; hospital; bridge,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=school,hospital,hospital,bridge,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,bridge; checkpoint; bus; university,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=bridge,checkpoint,bus,university,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,university; market; station; cafe,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=university,market,station,cafe,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,restaurant; restaurant; compound; port,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=restaurant,restaurant,compound,port,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,port; port; pipeline; border,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=port,port,pipeline,border,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,border; ministry; houses; house,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=border,ministry,houses,house,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,clinic; clinic; pharmacy; pharmacy,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=clinic,clinic,pharmacy,pharmacy,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,court; court; prison; prison,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=court,court,prison,prison,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,police; airport; airport; army,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=police,airport,airport,army,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,army; road; road; road,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=army,road,road,road,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,sewage; system; system; regime,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=sewage,system,system,regime,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,bakery; public; square; park,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=bakery,public,square,park,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,park; housing complex; housing complex; housing complex,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=park,housing%20complex,housing%20complex,housing%20complex,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,building; building; electricity; funding,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=building,building,electricity,funding,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,funding; recruitment; capacity; capacity,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=funding,recruitment,capacity,capacity,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,traffic; traffic; overcrowding; damage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=traffic,traffic,overcrowding,damage,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,broken; open; close; project,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=broken,open,close,project,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,project; wait; delay; delay,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=project,wait,delay,delay,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,primary; primary; secondary; tertiary,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=primary,primary,secondary,tertiary,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,tertiary; neglect; settlement; shop,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=tertiary,neglect,settlement,shop,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,resettlement; slum; removal; gentrification,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=resettlement,slum,removal,gentrification,%2Fm%2F02nf_&hl=en-US"
BD-A,Infrastructure,interruption; pharmacy; sewerage; hotel,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=interruption,pharmacy,sewerage,hotel,%2Fm%2F02nf_&hl=en-US"
