Category: All categories

Month,church: (Chittagong Division),men: (Chittagong Division),women: (Chittagong Division),young men: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,87,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,75,0,0
2009-10,0,0,59,0,0
2009-11,0,0,84,0,0
2009-12,0,0,59,0,0
2010-01,0,0,69,0,0
2010-02,0,0,82,0,0
2010-03,0,0,62,0,0
2010-04,0,0,100,0,0
2010-05,0,0,70,0,0
2010-06,0,0,79,0,0
2010-07,0,0,88,0,0
2010-08,0,0,65,0,0
2010-09,0,0,59,0,0
2010-10,0,0,57,0,0
2010-11,0,0,76,0,0
2010-12,0,0,80,0,0
2011-01,0,0,49,0,18
2011-02,0,14,50,0,18
2011-03,0,14,47,0,17
2011-04,0,13,50,0,21
2011-05,0,11,38,0,17
2011-06,0,23,39,0,22
2011-07,0,25,34,0,14
2011-08,0,19,32,0,13
2011-09,0,21,43,0,13
2011-10,0,13,36,0,16
2011-11,0,11,31,0,13
2011-12,0,12,36,0,7
2012-01,0,11,32,0,16
2012-02,0,18,37,0,18
2012-03,0,15,38,0,12
2012-04,0,11,30,0,11
2012-05,0,11,33,0,12
2012-06,0,8,37,0,20
2012-07,0,18,34,0,19
2012-08,0,23,39,0,12
2012-09,0,12,35,0,17
2012-10,0,14,36,0,11
2012-11,0,14,33,0,12
2012-12,0,14,33,0,14
2013-01,0,13,32,0,15
2013-02,0,12,41,0,14
2013-03,0,15,30,0,17
2013-04,0,13,35,0,12
2013-05,0,16,33,0,14
2013-06,0,12,34,0,16
2013-07,0,14,22,0,15
2013-08,0,16,30,0,18
2013-09,0,13,24,0,12
2013-10,0,17,28,0,13
2013-11,0,16,29,0,16
2013-12,0,12,26,0,15
2014-01,0,13,23,0,16
2014-02,0,11,25,0,17
2014-03,0,9,32,0,13
2014-04,0,11,23,0,10
2014-05,0,11,19,0,9
2014-06,0,10,19,0,7
2014-07,0,11,20,0,8
2014-08,0,9,20,0,9
2014-09,0,8,19,0,8
2014-10,0,9,18,0,8
2014-11,1,7,20,0,9
2014-12,0,9,17,0,10
2015-01,0,8,17,0,9
2015-02,0,8,16,0,11
2015-03,0,9,18,0,9
2015-04,0,8,18,0,8
2015-05,0,8,18,0,8
2015-06,0,8,18,0,9
2015-07,0,10,17,0,9
2015-08,0,7,20,0,11
2015-09,0,9,19,0,10
2015-10,0,8,19,0,11
2015-11,0,8,20,0,10
2015-12,0,10,18,0,16
2016-01,0,10,18,0,9
2016-02,0,9,20,1,8
2016-03,1,8,20,0,6
2016-04,<1,7,18,<1,6
2016-05,0,10,18,0,7
2016-06,1,11,18,0,9
2016-07,0,9,18,0,7
2016-08,0,9,17,0,7
2016-09,0,10,17,0,7
2016-10,1,8,17,0,8
2016-11,0,8,17,0,8
2016-12,<1,8,16,0,9
2017-01,0,8,17,0,7
2017-02,<1,7,16,0,8
2017-03,0,8,17,0,7
2017-04,<1,8,15,0,8
2017-05,0,7,14,0,7
2017-06,0,10,17,0,6
2017-07,<1,9,17,0,6
2017-08,0,7,15,0,7
2017-09,0,8,18,0,7
2017-10,0,9,17,0,8
2017-11,1,7,16,0,9
2017-12,1,9,18,0,7
2018-01,0,9,19,0,8
2018-02,<1,8,17,0,8
2018-03,<1,8,18,0,8
2018-04,0,8,17,0,9
2018-05,<1,8,17,0,8
2018-06,<1,9,18,0,7
2018-07,<1,7,17,0,7
2018-08,<1,8,17,0,9
2018-09,<1,8,16,0,9
2018-10,1,8,15,0,8
2018-11,<1,8,17,0,9
2018-12,1,9,15,0,7
2019-01,<1,8,15,0,7
2019-02,1,8,16,0,8
2019-03,<1,8,15,0,11
2019-04,<1,8,14,0,10
2019-05,<1,9,14,0,9
2019-06,1,8,17,0,7
2019-07,1,9,14,0,9
2019-08,<1,8,15,0,10
2019-09,1,8,14,0,10
2019-10,1,8,15,0,11
2019-11,1,8,14,0,10
2019-12,1,8,13,0,7
2020-01,1,8,14,0,8
2020-02,1,8,20,0,10
2020-03,1,7,16,0,11
2020-04,<1,7,11,0,11
2020-05,1,8,12,0,10
2020-06,1,7,13,0,12
2020-07,<1,8,12,0,12
2020-08,1,8,14,0,11
2020-09,1,7,13,0,11
2020-10,<1,8,12,0,9
2020-11,1,8,14,<1,8
2020-12,1,9,11,0,8
2021-01,<1,8,11,0,7
2021-02,<1,8,12,0,8
2021-03,<1,8,13,<1,9
2021-04,<1,7,11,0,8
2021-05,<1,8,11,0,8
2021-06,1,6,11,0,9
2021-07,<1,7,13,0,8
2021-08,<1,7,11,0,8
2021-09,1,7,11,0,8
2021-10,1,7,12,0,9
2021-11,1,8,16,0,16
2021-12,<1,8,12,0,7
2022-01,1,7,11,0,8
2022-02,<1,8,11,0,9
2022-03,<1,8,15,<1,11
2022-04,<1,9,10,<1,12
2022-05,<1,7,12,<1,15
2022-06,<1,7,13,0,14
2022-07,<1,7,12,0,11
2022-08,<1,7,12,0,13
2022-09,<1,7,15,0,13
2022-10,<1,7,15,<1,13
2022-11,<1,7,11,<1,12
2022-12,<1,7,11,0,7
2023-01,<1,8,12,<1,8
2023-02,<1,7,14,0,8
2023-03,<1,7,10,0,9
2023-04,<1,10,10,<1,9
2023-05,<1,7,10,0,11
2023-06,<1,7,11,0,10
2023-07,<1,7,20,<1,8
2023-08,<1,7,17,0,10
2023-09,<1,6,12,0,9
2023-10,<1,6,10,<1,9
2023-11,<1,7,12,0,9
2023-12,<1,9,15,0,7
2024-01,<1,8,12,0,7
2024-02,<1,7,11,0,7
2024-03,<1,8,13,<1,7
2024-04,<1,7,13,0,6
2024-05,<1,7,13,0,7
2024-06,<1,7,13,<1,6
2024-07,<1,7,16,0,7
2024-08,<1,8,11,<1,6
2024-09,<1,7,12,0,8
2024-10,<1,7,26,0,8
2024-11,<1,8,16,0,8
2024-12,<1,9,17,<1,7
2025-01,<1,8,17,0,6
2025-02,<1,8,12,0,7
2025-03,<1,9,16,0,7
2025-04,<1,7,18,<1,7
2025-05,<1,7,13,<1,8
2025-06,<1,7,13,<1,7
2025-07,<1,7,16,<1,6
2025-08,<1,7,13,<1,7
2025-09,<1,7,10,<1,7
