Category: All categories

Month,imam: (Chittagong Division),tribe: (Chittagong Division),clan: (Chittagong Division),clan: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,0,80
2011-03,0,51,0,0,76
2011-04,0,0,0,0,96
2011-05,0,0,0,0,76
2011-06,0,0,0,0,100
2011-07,0,0,0,0,64
2011-08,0,0,0,0,58
2011-09,0,0,0,0,61
2011-10,0,0,0,0,74
2011-11,0,0,0,0,60
2011-12,0,0,0,0,31
2012-01,0,0,0,0,74
2012-02,0,0,0,0,82
2012-03,0,0,21,0,54
2012-04,0,0,0,0,51
2012-05,0,0,0,0,53
2012-06,0,0,0,0,89
2012-07,0,0,0,0,85
2012-08,0,0,0,0,54
2012-09,0,0,0,0,75
2012-10,0,0,0,0,49
2012-11,0,0,0,0,53
2012-12,0,0,0,0,66
2013-01,0,0,0,0,68
2013-02,20,0,0,0,62
2013-03,0,0,0,0,76
2013-04,0,0,0,0,55
2013-05,0,0,0,0,65
2013-06,0,0,0,0,73
2013-07,0,0,0,0,66
2013-08,18,0,0,0,82
2013-09,0,0,0,0,56
2013-10,0,0,0,0,58
2013-11,0,12,0,0,72
2013-12,14,0,0,0,66
2014-01,14,0,0,0,73
2014-02,0,0,0,0,76
2014-03,0,0,0,0,59
2014-04,0,0,0,0,46
2014-05,0,0,0,0,39
2014-06,0,0,0,0,32
2014-07,0,0,0,0,36
2014-08,3,0,0,0,41
2014-09,0,0,4,0,36
2014-10,0,0,0,0,38
2014-11,6,0,3,0,42
2014-12,3,0,4,5,45
2015-01,0,0,4,5,41
2015-02,0,0,5,7,49
2015-03,0,0,0,4,41
2015-04,4,0,4,0,37
2015-05,0,0,8,8,35
2015-06,5,0,14,11,39
2015-07,6,0,11,10,40
2015-08,5,0,13,14,48
2015-09,7,6,18,18,46
2015-10,8,0,17,18,48
2015-11,6,0,19,18,44
2015-12,6,0,20,19,71
2016-01,5,0,22,22,41
2016-02,3,0,24,23,35
2016-03,3,0,20,20,26
2016-04,3,0,19,19,27
2016-05,4,0,22,20,30
2016-06,5,0,22,23,42
2016-07,5,3,18,18,31
2016-08,2,0,16,15,32
2016-09,3,0,16,16,33
2016-10,3,0,18,17,36
2016-11,3,0,15,15,38
2016-12,3,0,15,17,40
2017-01,3,2,13,13,32
2017-02,5,0,13,12,38
2017-03,4,2,10,10,32
2017-04,6,2,10,10,35
2017-05,5,0,12,12,30
2017-06,9,0,10,11,28
2017-07,8,0,9,8,29
2017-08,6,0,7,7,30
2017-09,7,0,6,6,33
2017-10,9,0,8,7,35
2017-11,7,2,6,5,42
2017-12,7,0,5,5,32
2018-01,8,2,6,6,36
2018-02,5,2,5,5,36
2018-03,7,3,4,4,38
2018-04,8,0,4,4,39
2018-05,8,0,3,4,37
2018-06,6,0,4,4,33
2018-07,5,0,3,3,33
2018-08,7,0,4,3,41
2018-09,7,0,3,3,41
2018-10,5,0,4,3,37
2018-11,5,0,3,4,39
2018-12,5,0,4,4,30
2019-01,7,0,4,3,32
2019-02,5,2,2,2,38
2019-03,6,0,3,3,48
2019-04,6,0,4,4,46
2019-05,6,0,2,2,42
2019-06,5,2,3,3,34
2019-07,6,0,2,3,42
2019-08,6,0,3,3,45
2019-09,6,0,2,3,46
2019-10,5,1,2,3,49
2019-11,4,0,1,2,44
2019-12,5,1,3,2,32
2020-01,5,0,2,2,34
2020-02,6,1,2,2,47
2020-03,8,1,3,3,48
2020-04,7,1,4,5,49
2020-05,8,1,4,5,46
2020-06,6,1,4,4,54
2020-07,5,1,4,4,57
2020-08,5,1,3,3,50
2020-09,5,1,2,3,51
2020-10,4,0,2,2,43
2020-11,4,1,2,2,38
2020-12,4,1,1,1,37
2021-01,4,1,2,2,33
2021-02,4,0,2,2,35
2021-03,6,1,2,2,40
2021-04,5,1,2,2,37
2021-05,5,1,2,1,35
2021-06,3,1,2,2,40
2021-07,4,1,2,1,35
2021-08,4,<1,2,2,37
2021-09,3,1,2,2,38
2021-10,3,1,1,1,40
2021-11,3,1,1,1,73
2021-12,3,0,2,2,30
2022-01,4,<1,1,2,35
2022-02,4,1,2,2,43
2022-03,4,1,1,1,51
2022-04,5,1,2,2,53
2022-05,4,1,2,2,66
2022-06,3,1,2,1,62
2022-07,4,1,2,2,49
2022-08,4,1,2,1,59
2022-09,4,1,2,1,59
2022-10,3,1,2,2,57
2022-11,2,1,1,1,56
2022-12,2,1,1,1,32
2023-01,3,1,2,2,35
2023-02,3,1,2,2,38
2023-03,3,1,2,2,43
2023-04,4,1,1,1,39
2023-05,3,<1,1,1,50
2023-06,3,1,1,1,47
2023-07,4,1,1,1,36
2023-08,4,1,2,2,47
2023-09,3,1,2,1,40
2023-10,4,1,1,1,39
2023-11,3,1,1,1,41
2023-12,3,1,2,2,31
2024-01,3,1,2,2,33
2024-02,3,1,1,1,34
2024-03,3,1,2,2,33
2024-04,3,1,2,2,25
2024-05,3,1,1,2,31
2024-06,2,1,1,1,26
2024-07,2,1,2,2,30
2024-08,4,1,1,1,29
2024-09,4,1,1,1,35
2024-10,3,1,2,2,35
2024-11,3,1,2,2,35
2024-12,3,<1,2,2,30
2025-01,3,1,2,2,29
2025-02,3,<1,2,1,30
2025-03,4,1,1,1,32
2025-04,3,1,2,2,32
2025-05,2,0,2,2,36
2025-06,3,1,2,2,33
2025-07,3,1,2,2,29
2025-08,2,1,2,2,34
2025-09,3,1,2,2,33
