Category: All categories

Month,teacher: (Chittagong Division),lawyer: (Chittagong Division),businessman: (Chittagong Division),professor: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,100,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,70,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,54,0,0
2010-05,54,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,88,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,15,0,0,0,23
2011-02,15,0,0,0,23
2011-03,0,0,0,0,21
2011-04,14,0,0,0,27
2011-05,14,0,0,0,22
2011-06,0,0,0,0,28
2011-07,17,0,0,0,18
2011-08,25,0,9,0,16
2011-09,17,0,0,0,17
2011-10,15,0,0,0,21
2011-11,9,0,0,0,17
2011-12,15,0,0,0,9
2012-01,21,0,0,0,21
2012-02,10,0,0,0,23
2012-03,15,0,0,0,15
2012-04,26,0,0,0,14
2012-05,22,4,0,0,15
2012-06,15,0,0,0,25
2012-07,15,0,0,0,24
2012-08,20,0,0,0,15
2012-09,15,0,0,0,21
2012-10,12,0,0,0,14
2012-11,16,0,0,0,15
2012-12,19,0,0,0,19
2013-01,15,0,0,0,19
2013-02,10,0,0,0,17
2013-03,10,0,0,0,22
2013-04,16,0,0,0,15
2013-05,20,0,0,0,18
2013-06,34,0,0,0,21
2013-07,22,0,0,0,19
2013-08,21,0,0,0,23
2013-09,21,0,0,4,16
2013-10,23,0,3,0,16
2013-11,18,0,0,0,20
2013-12,11,0,0,0,19
2014-01,16,0,0,0,21
2014-02,15,0,0,0,21
2014-03,17,0,0,6,17
2014-04,14,0,0,0,13
2014-05,11,0,0,0,11
2014-06,11,0,0,0,9
2014-07,17,0,0,1,10
2014-08,10,0,0,1,12
2014-09,20,0,0,0,10
2014-10,18,0,0,1,11
2014-11,13,0,0,1,12
2014-12,14,0,0,1,13
2015-01,15,0,0,1,12
2015-02,11,0,0,1,14
2015-03,12,0,0,0,12
2015-04,15,0,0,1,11
2015-05,17,0,0,1,10
2015-06,16,0,0,2,11
2015-07,15,0,0,0,11
2015-08,17,0,0,2,14
2015-09,14,0,0,2,13
2015-10,22,0,0,0,13
2015-11,21,0,0,0,12
2015-12,20,0,0,1,20
2016-01,21,1,0,1,11
2016-02,15,0,0,1,10
2016-03,17,<1,0,1,7
2016-04,18,0,0,1,8
2016-05,20,0,0,1,8
2016-06,18,0,0,1,12
2016-07,20,0,0,1,9
2016-08,19,1,0,1,9
2016-09,19,0,0,0,9
2016-10,19,0,0,1,10
2016-11,19,0,0,1,11
2016-12,17,0,0,1,11
2017-01,19,0,0,1,9
2017-02,18,0,0,1,11
2017-03,18,<1,1,1,9
2017-04,19,0,0,1,10
2017-05,20,0,0,1,8
2017-06,18,<1,1,1,8
2017-07,22,1,<1,1,8
2017-08,21,1,0,1,8
2017-09,21,<1,0,1,9
2017-10,20,0,0,1,10
2017-11,19,1,0,1,12
2017-12,20,0,0,1,9
2018-01,18,<1,0,1,10
2018-02,18,0,0,1,10
2018-03,20,<1,0,1,11
2018-04,21,<1,0,1,11
2018-05,20,1,0,1,11
2018-06,21,<1,0,1,9
2018-07,24,<1,0,1,9
2018-08,26,1,0,1,11
2018-09,22,1,0,1,11
2018-10,20,1,0,1,11
2018-11,19,2,<1,1,11
2018-12,19,2,0,1,8
2019-01,21,1,0,1,9
2019-02,20,1,0,1,11
2019-03,18,1,<1,1,14
2019-04,20,1,0,1,13
2019-05,18,1,0,1,12
2019-06,20,1,<1,1,10
2019-07,16,1,0,1,12
2019-08,18,2,0,1,13
2019-09,23,1,0,2,13
2019-10,16,2,<1,1,14
2019-11,15,2,<1,1,12
2019-12,15,2,0,2,9
2020-01,15,1,0,1,10
2020-02,15,2,0,1,13
2020-03,13,1,<1,1,14
2020-04,12,1,<1,2,14
2020-05,12,1,<1,2,13
2020-06,13,1,<1,2,15
2020-07,14,1,0,2,16
2020-08,13,1,<1,1,14
2020-09,14,1,<1,2,15
2020-10,13,1,<1,2,12
2020-11,13,1,<1,1,11
2020-12,13,1,0,1,10
2021-01,11,1,<1,1,9
2021-02,11,2,<1,1,10
2021-03,11,2,<1,1,11
2021-04,10,2,<1,1,11
2021-05,11,2,0,1,10
2021-06,12,2,<1,1,11
2021-07,11,2,<1,1,10
2021-08,11,2,<1,1,11
2021-09,12,2,<1,1,11
2021-10,12,2,<1,1,11
2021-11,13,2,<1,1,21
2021-12,13,2,<1,1,9
2022-01,12,1,<1,2,10
2022-02,12,1,<1,1,12
2022-03,13,1,<1,2,14
2022-04,13,1,<1,1,15
2022-05,15,1,<1,1,19
2022-06,14,1,<1,1,18
2022-07,13,1,<1,1,14
2022-08,13,1,<1,1,17
2022-09,12,1,<1,1,17
2022-10,12,1,<1,2,16
2022-11,11,1,<1,1,16
2022-12,11,1,<1,1,9
2023-01,12,1,<1,1,10
2023-02,11,1,<1,1,11
2023-03,10,1,<1,1,12
2023-04,14,1,<1,1,11
2023-05,12,1,<1,1,14
2023-06,12,<1,<1,2,13
2023-07,12,1,<1,1,10
2023-08,12,1,<1,1,13
2023-09,10,1,<1,1,11
2023-10,10,1,<1,1,11
2023-11,11,1,<1,1,11
2023-12,11,1,<1,1,9
2024-01,10,1,<1,1,9
2024-02,10,1,<1,1,9
2024-03,9,1,<1,1,9
2024-04,9,<1,<1,1,7
2024-05,10,<1,<1,1,9
2024-06,9,<1,<1,1,7
2024-07,10,<1,<1,1,8
2024-08,10,1,<1,2,8
2024-09,11,1,<1,1,10
2024-10,11,1,<1,2,10
2024-11,12,1,<1,2,10
2024-12,11,<1,<1,1,8
2025-01,10,1,<1,1,8
2025-02,11,1,<1,2,8
2025-03,8,1,<1,1,9
2025-04,10,1,<1,1,9
2025-05,10,<1,<1,1,10
2025-06,9,1,<1,1,9
2025-07,9,<1,<1,2,8
2025-08,10,<1,<1,2,10
2025-09,10,<1,<1,2,9
