Category: All categories

Month,officer: (Chittagong Division),officers: (Chittagong Division),judge: (Chittagong Division),judge: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,70,0,0,0,81
2011-02,0,0,0,0,80
2011-03,0,0,0,0,76
2011-04,48,0,0,0,96
2011-05,0,0,0,0,76
2011-06,36,0,0,0,100
2011-07,0,0,0,0,64
2011-08,0,0,0,0,58
2011-09,0,0,0,0,61
2011-10,24,0,0,0,74
2011-11,43,0,0,0,60
2011-12,23,0,0,0,31
2012-01,31,0,0,0,74
2012-02,0,0,0,0,82
2012-03,0,0,0,0,54
2012-04,0,0,0,0,51
2012-05,20,0,0,0,53
2012-06,25,0,0,0,89
2012-07,34,0,0,0,85
2012-08,23,0,0,0,54
2012-09,24,0,0,0,75
2012-10,34,0,0,0,49
2012-11,0,0,0,0,53
2012-12,17,0,0,0,66
2013-01,0,0,0,18,68
2013-02,0,0,0,0,62
2013-03,17,0,0,0,76
2013-04,19,0,0,0,55
2013-05,17,0,0,0,65
2013-06,27,0,0,0,73
2013-07,18,0,0,0,66
2013-08,14,0,0,0,82
2013-09,37,0,0,0,56
2013-10,23,0,0,0,58
2013-11,31,0,12,0,72
2013-12,20,0,0,0,66
2014-01,16,0,0,0,73
2014-02,24,0,0,0,76
2014-03,17,0,0,0,59
2014-04,20,0,0,0,46
2014-05,11,0,0,0,39
2014-06,15,0,0,0,32
2014-07,10,0,0,0,36
2014-08,19,0,0,0,41
2014-09,16,0,0,0,36
2014-10,11,0,0,0,38
2014-11,13,0,4,5,42
2014-12,14,0,3,0,45
2015-01,18,0,5,4,41
2015-02,15,0,0,0,49
2015-03,12,0,5,4,41
2015-04,12,0,0,5,37
2015-05,14,0,0,0,35
2015-06,22,0,5,6,39
2015-07,17,0,0,0,40
2015-08,15,0,5,0,48
2015-09,33,6,0,0,46
2015-10,12,0,0,5,48
2015-11,18,0,6,5,44
2015-12,16,0,0,0,71
2016-01,16,0,0,0,41
2016-02,18,0,3,5,35
2016-03,13,1,2,2,26
2016-04,14,1,2,2,27
2016-05,9,0,3,2,30
2016-06,14,2,4,4,42
2016-07,11,0,0,0,31
2016-08,9,0,3,3,32
2016-09,11,0,2,0,33
2016-10,12,0,3,3,36
2016-11,10,0,3,3,38
2016-12,13,0,3,3,40
2017-01,13,0,2,3,32
2017-02,12,0,4,4,38
2017-03,11,2,4,5,32
2017-04,10,0,4,4,35
2017-05,12,0,2,2,30
2017-06,9,0,3,3,28
2017-07,11,0,3,3,29
2017-08,13,0,3,3,30
2017-09,13,0,3,3,33
2017-10,16,2,2,4,35
2017-11,15,0,4,4,42
2017-12,14,2,3,3,32
2018-01,15,2,4,3,36
2018-02,14,1,6,6,36
2018-03,15,1,4,4,38
2018-04,18,0,5,5,39
2018-05,15,0,4,4,37
2018-06,14,2,3,3,33
2018-07,16,0,3,3,33
2018-08,16,1,3,3,41
2018-09,15,2,3,3,41
2018-10,14,1,4,4,37
2018-11,15,2,5,5,39
2018-12,13,1,1,2,30
2019-01,16,0,3,3,32
2019-02,15,2,5,4,38
2019-03,17,2,5,5,48
2019-04,15,0,4,4,46
2019-05,16,2,5,5,42
2019-06,11,1,4,4,34
2019-07,15,1,5,5,42
2019-08,14,0,3,3,45
2019-09,17,2,4,4,46
2019-10,21,1,5,4,49
2019-11,23,1,4,5,44
2019-12,20,1,4,4,32
2020-01,18,1,5,5,34
2020-02,16,1,4,4,47
2020-03,12,1,5,5,48
2020-04,10,2,4,4,49
2020-05,10,1,4,4,46
2020-06,13,1,4,4,54
2020-07,14,1,5,5,57
2020-08,14,2,4,4,50
2020-09,15,1,4,4,51
2020-10,15,1,3,3,43
2020-11,15,1,2,3,38
2020-12,15,1,3,3,37
2021-01,15,1,3,3,33
2021-02,14,2,3,3,35
2021-03,15,1,3,3,40
2021-04,12,1,3,3,37
2021-05,12,1,2,2,35
2021-06,13,2,3,3,40
2021-07,10,1,4,3,35
2021-08,12,1,5,5,37
2021-09,17,1,3,3,38
2021-10,15,1,2,2,40
2021-11,17,1,2,2,73
2021-12,14,1,2,3,30
2022-01,15,1,4,4,35
2022-02,14,2,3,3,43
2022-03,16,1,4,4,51
2022-04,13,1,3,2,53
2022-05,14,1,3,3,66
2022-06,16,1,2,2,62
2022-07,13,1,2,2,49
2022-08,14,1,2,2,59
2022-09,15,1,2,3,59
2022-10,12,1,3,3,57
2022-11,12,1,3,3,56
2022-12,11,1,2,2,32
2023-01,14,1,3,3,35
2023-02,13,1,3,3,38
2023-03,14,1,3,3,43
2023-04,12,1,1,2,39
2023-05,17,1,3,3,50
2023-06,15,1,3,3,47
2023-07,13,1,3,3,36
2023-08,13,1,3,3,47
2023-09,11,1,2,2,40
2023-10,11,1,2,2,39
2023-11,13,<1,2,2,41
2023-12,11,1,2,2,31
2024-01,16,1,2,2,33
2024-02,13,1,2,2,34
2024-03,11,1,2,1,33
2024-04,11,1,2,2,25
2024-05,12,1,2,2,31
2024-06,9,1,1,1,26
2024-07,12,1,2,2,30
2024-08,10,1,2,2,29
2024-09,12,1,3,2,35
2024-10,12,1,5,5,35
2024-11,12,1,4,3,35
2024-12,10,1,2,2,30
2025-01,12,1,2,2,29
2025-02,11,1,2,2,30
2025-03,13,1,2,2,32
2025-04,11,1,2,2,32
2025-05,13,1,2,2,36
2025-06,12,1,2,2,33
2025-07,11,1,2,2,29
2025-08,11,1,2,2,34
2025-09,12,1,2,2,33
