Category: All categories

Month,doctor: (Chittagong Division),nurse: (Chittagong Division),nurse: (Chittagong Division),engineer: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,100,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,52,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,17
2011-02,0,0,0,0,17
2011-03,0,0,0,0,16
2011-04,0,0,9,0,20
2011-05,0,0,0,0,16
2011-06,6,0,0,0,21
2011-07,0,0,0,0,14
2011-08,0,0,0,0,12
2011-09,8,0,0,0,13
2011-10,0,0,0,0,16
2011-11,0,0,0,0,13
2011-12,4,0,0,5,7
2012-01,9,0,0,0,15
2012-02,7,0,0,0,17
2012-03,7,0,0,0,11
2012-04,10,0,0,0,11
2012-05,4,0,3,3,11
2012-06,7,0,0,6,19
2012-07,8,4,0,9,18
2012-08,5,0,0,0,11
2012-09,6,0,0,4,16
2012-10,6,0,0,0,10
2012-11,5,0,0,0,11
2012-12,5,0,0,0,14
2013-01,0,0,0,0,14
2013-02,0,0,0,0,13
2013-03,4,0,4,3,16
2013-04,5,0,0,5,11
2013-05,4,0,0,0,14
2013-06,3,0,0,0,15
2013-07,6,0,0,0,14
2013-08,7,0,0,0,17
2013-09,6,0,0,0,12
2013-10,6,0,0,3,12
2013-11,5,0,0,0,15
2013-12,5,0,0,0,14
2014-01,8,0,0,0,15
2014-02,9,0,3,0,16
2014-03,6,0,0,3,12
2014-04,6,2,3,3,10
2014-05,6,2,2,2,8
2014-06,5,2,2,1,7
2014-07,6,2,2,0,8
2014-08,7,2,2,2,9
2014-09,5,2,2,2,8
2014-10,6,2,2,1,8
2014-11,5,1,2,2,9
2014-12,6,2,1,2,9
2015-01,5,2,2,1,9
2015-02,5,2,2,1,10
2015-03,6,2,2,1,9
2015-04,6,1,2,2,8
2015-05,7,2,2,2,7
2015-06,5,1,1,2,8
2015-07,7,2,3,1,8
2015-08,6,2,2,2,10
2015-09,7,2,1,2,10
2015-10,8,1,1,1,10
2015-11,7,2,2,2,9
2015-12,6,2,2,2,15
2016-01,8,2,2,2,9
2016-02,7,2,2,2,7
2016-03,7,2,2,1,5
2016-04,8,3,3,1,6
2016-05,9,2,2,2,6
2016-06,7,2,3,2,9
2016-07,8,3,3,2,6
2016-08,9,2,2,1,7
2016-09,8,2,2,1,7
2016-10,9,2,2,1,8
2016-11,13,2,2,2,8
2016-12,9,3,3,1,8
2017-01,9,2,2,2,7
2017-02,10,2,2,1,8
2017-03,10,2,2,1,7
2017-04,9,2,2,1,7
2017-05,9,2,2,1,6
2017-06,9,2,2,1,6
2017-07,11,2,2,1,6
2017-08,11,3,3,1,6
2017-09,12,2,2,1,7
2017-10,12,2,2,1,7
2017-11,11,2,2,1,9
2017-12,12,2,2,1,7
2018-01,12,2,2,2,8
2018-02,12,2,2,1,8
2018-03,12,2,2,2,8
2018-04,14,2,2,1,8
2018-05,11,2,2,2,8
2018-06,13,2,2,1,7
2018-07,13,2,2,2,7
2018-08,15,3,3,1,9
2018-09,13,2,2,2,9
2018-10,12,2,2,2,8
2018-11,13,2,2,1,8
2018-12,12,2,2,1,6
2019-01,12,2,2,1,7
2019-02,13,2,2,1,8
2019-03,13,2,2,2,10
2019-04,13,2,2,1,10
2019-05,10,2,2,2,9
2019-06,12,2,2,1,7
2019-07,12,2,2,2,9
2019-08,14,2,2,1,10
2019-09,12,1,2,2,10
2019-10,13,2,2,2,10
2019-11,12,1,1,2,9
2019-12,11,2,2,2,7
2020-01,12,2,2,2,7
2020-02,12,2,2,2,10
2020-03,12,1,1,2,10
2020-04,11,2,2,1,10
2020-05,11,2,2,2,10
2020-06,13,2,2,2,11
2020-07,15,2,2,2,12
2020-08,14,2,2,2,11
2020-09,13,2,2,2,11
2020-10,11,1,1,2,9
2020-11,10,1,1,2,8
2020-12,11,1,1,2,8
2021-01,11,1,1,2,7
2021-02,11,1,1,2,7
2021-03,11,1,1,2,8
2021-04,10,1,1,1,8
2021-05,10,1,1,1,7
2021-06,11,1,1,2,8
2021-07,10,1,1,1,7
2021-08,11,1,1,1,8
2021-09,12,1,1,2,8
2021-10,11,1,1,2,9
2021-11,12,1,1,2,15
2021-12,12,1,1,2,6
2022-01,13,2,2,2,7
2022-02,13,1,1,2,9
2022-03,13,1,2,2,11
2022-04,12,1,1,2,11
2022-05,15,1,1,2,14
2022-06,13,1,1,2,13
2022-07,14,1,1,2,10
2022-08,12,1,1,2,12
2022-09,12,1,1,2,12
2022-10,12,1,1,1,12
2022-11,10,1,1,1,12
2022-12,10,1,1,1,7
2023-01,11,1,1,2,7
2023-02,11,1,1,2,8
2023-03,11,1,1,1,9
2023-04,10,1,1,1,8
2023-05,11,1,1,2,11
2023-06,11,1,1,1,10
2023-07,12,1,1,2,8
2023-08,13,1,1,2,10
2023-09,10,1,1,1,8
2023-10,10,1,1,1,8
2023-11,10,1,1,2,9
2023-12,11,1,1,1,7
2024-01,11,1,1,2,7
2024-02,11,1,1,1,7
2024-03,10,1,1,1,7
2024-04,10,1,1,1,5
2024-05,10,1,1,1,6
2024-06,10,1,1,1,5
2024-07,10,1,1,1,6
2024-08,12,1,1,1,6
2024-09,13,1,1,1,7
2024-10,11,1,1,1,7
2024-11,11,1,1,1,7
2024-12,10,1,1,1,6
2025-01,10,1,1,1,6
2025-02,11,1,1,1,6
2025-03,9,1,1,1,7
2025-04,12,1,1,1,7
2025-05,10,1,1,1,8
2025-06,11,1,1,1,7
2025-07,11,1,1,1,6
2025-08,11,1,1,1,7
2025-09,11,1,1,1,7
