Category: All categories

Month,children: (Chittagong Division),child: (Chittagong Division),security guard: (Chittagong Division),security guard: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,100,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,35
2011-02,0,0,0,0,35
2011-03,22,0,0,0,33
2011-04,0,0,0,0,41
2011-05,14,16,0,0,33
2011-06,0,16,0,0,43
2011-07,0,13,0,0,28
2011-08,0,20,0,0,25
2011-09,19,25,0,0,26
2011-10,13,18,0,0,32
2011-11,13,12,0,0,26
2011-12,16,17,0,0,14
2012-01,12,14,0,0,32
2012-02,14,16,0,0,35
2012-03,0,0,0,0,23
2012-04,11,14,0,0,22
2012-05,10,7,0,0,23
2012-06,12,14,0,0,38
2012-07,10,0,0,0,36
2012-08,11,13,0,0,23
2012-09,13,11,0,0,32
2012-10,13,11,0,0,21
2012-11,0,15,0,0,23
2012-12,14,11,0,0,28
2013-01,10,11,0,0,29
2013-02,11,13,0,0,27
2013-03,7,8,0,0,33
2013-04,11,15,0,0,24
2013-05,15,10,0,0,28
2013-06,8,13,0,0,31
2013-07,15,13,0,0,29
2013-08,12,6,0,0,36
2013-09,14,13,0,0,24
2013-10,11,12,0,0,25
2013-11,9,14,0,0,31
2013-12,10,18,0,0,29
2014-01,8,17,0,0,31
2014-02,6,9,0,0,33
2014-03,8,14,0,0,25
2014-04,6,12,0,0,20
2014-05,7,10,0,0,17
2014-06,5,13,0,0,14
2014-07,8,11,0,0,16
2014-08,5,9,0,0,18
2014-09,5,9,0,0,16
2014-10,6,11,0,0,17
2014-11,6,9,0,0,18
2014-12,6,10,0,0,19
2015-01,5,9,0,0,18
2015-02,5,8,0,0,21
2015-03,5,10,0,0,18
2015-04,5,8,0,0,16
2015-05,5,8,0,0,15
2015-06,5,9,0,0,17
2015-07,5,12,0,0,17
2015-08,8,14,0,0,21
2015-09,7,14,0,0,20
2015-10,5,11,0,0,21
2015-11,6,11,0,0,19
2015-12,6,12,0,0,31
2016-01,5,8,0,0,17
2016-02,5,9,0,0,15
2016-03,5,9,0,0,11
2016-04,6,9,0,0,12
2016-05,5,10,0,0,13
2016-06,6,9,0,0,18
2016-07,5,9,0,0,13
2016-08,6,7,0,0,14
2016-09,5,10,0,0,14
2016-10,6,8,0,0,16
2016-11,7,8,0,0,16
2016-12,7,9,0,0,17
2017-01,5,8,0,0,14
2017-02,6,10,0,0,16
2017-03,5,9,0,0,14
2017-04,4,10,0,0,15
2017-05,5,7,0,0,13
2017-06,6,8,0,0,12
2017-07,6,8,0,0,13
2017-08,5,8,0,0,13
2017-09,5,8,0,0,14
2017-10,7,8,0,0,15
2017-11,9,10,0,0,18
2017-12,7,10,0,0,14
2018-01,7,9,0,0,16
2018-02,7,10,0,0,15
2018-03,7,10,0,0,16
2018-04,6,9,0,0,17
2018-05,7,9,0,0,16
2018-06,6,8,0,0,14
2018-07,7,10,0,0,14
2018-08,5,10,0,0,18
2018-09,5,9,0,0,17
2018-10,6,10,0,<1,16
2018-11,7,9,0,0,17
2018-12,5,8,0,<1,13
2019-01,6,9,0,0,14
2019-02,7,8,0,0,16
2019-03,6,9,0,0,21
2019-04,5,9,0,0,20
2019-05,6,8,0,0,18
2019-06,5,7,0,0,15
2019-07,5,9,0,0,18
2019-08,6,9,0,0,19
2019-09,4,10,0,0,20
2019-10,5,8,0,0,21
2019-11,6,9,0,0,19
2019-12,5,8,0,0,14
2020-01,5,9,0,0,15
2020-02,5,9,<1,1,20
2020-03,5,9,0,0,21
2020-04,6,8,0,0,21
2020-05,7,9,0,0,20
2020-06,6,8,0,0,23
2020-07,7,9,0,0,24
2020-08,6,9,0,0,22
2020-09,6,9,<1,<1,22
2020-10,5,8,<1,<1,19
2020-11,8,8,<1,0,16
2020-12,5,8,<1,<1,16
2021-01,5,8,0,0,14
2021-02,5,8,<1,<1,15
2021-03,5,8,<1,0,17
2021-04,5,7,<1,0,16
2021-05,5,8,<1,<1,15
2021-06,5,8,0,0,17
2021-07,5,7,<1,0,15
2021-08,5,8,<1,<1,16
2021-09,4,8,<1,<1,16
2021-10,4,7,0,0,17
2021-11,5,8,<1,<1,31
2021-12,4,6,<1,<1,13
2022-01,4,7,<1,<1,15
2022-02,5,7,<1,<1,19
2022-03,5,8,<1,<1,22
2022-04,4,7,<1,<1,23
2022-05,4,7,<1,<1,29
2022-06,4,7,<1,<1,27
2022-07,5,7,<1,<1,21
2022-08,4,8,<1,<1,25
2022-09,4,7,<1,<1,25
2022-10,4,7,<1,<1,24
2022-11,4,7,<1,<1,24
2022-12,4,6,<1,<1,14
2023-01,4,8,<1,<1,15
2023-02,4,7,<1,<1,16
2023-03,4,7,<1,<1,18
2023-04,4,7,<1,<1,17
2023-05,4,7,<1,<1,22
2023-06,4,7,<1,<1,20
2023-07,4,7,<1,0,16
2023-08,4,8,<1,<1,20
2023-09,3,7,<1,<1,17
2023-10,3,7,<1,<1,17
2023-11,4,7,1,<1,18
2023-12,4,7,<1,<1,13
2024-01,4,6,<1,<1,14
2024-02,3,6,<1,<1,14
2024-03,4,6,<1,<1,14
2024-04,3,6,0,<1,11
2024-05,3,6,<1,<1,13
2024-06,3,5,<1,<1,11
2024-07,3,6,<1,<1,13
2024-08,3,5,<1,<1,13
2024-09,3,6,<1,<1,15
2024-10,4,6,<1,<1,15
2024-11,4,7,0,0,15
2024-12,3,6,0,0,13
2025-01,4,6,<1,<1,13
2025-02,4,6,<1,<1,13
2025-03,4,5,<1,<1,14
2025-04,4,5,<1,<1,14
2025-05,4,5,<1,<1,15
2025-06,4,6,<1,<1,14
2025-07,4,5,<1,<1,13
2025-08,4,6,<1,<1,15
2025-09,3,5,<1,<1,14
