Category: All categories

Month,factory: (Chittagong Division),guard: (Chittagong Division),racism: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0
2004-02,0,0,0,0
2004-03,0,0,0,0
2004-04,0,0,0,0
2004-05,0,0,0,0
2004-06,0,0,0,0
2004-07,0,0,0,0
2004-08,0,0,0,0
2004-09,0,0,0,0
2004-10,0,0,0,0
2004-11,0,0,0,0
2004-12,0,0,0,0
2005-01,0,0,0,0
2005-02,0,0,0,0
2005-03,0,0,0,0
2005-04,0,0,0,0
2005-05,0,0,0,0
2005-06,0,0,0,0
2005-07,0,0,0,0
2005-08,0,0,0,0
2005-09,0,0,0,0
2005-10,0,0,0,0
2005-11,0,0,0,0
2005-12,0,0,0,0
2006-01,0,0,0,0
2006-02,0,0,0,0
2006-03,0,0,0,0
2006-04,0,0,0,0
2006-05,0,0,0,0
2006-06,0,0,0,0
2006-07,0,0,0,0
2006-08,0,0,0,0
2006-09,0,0,0,0
2006-10,0,0,0,0
2006-11,0,0,0,0
2006-12,0,0,0,0
2007-01,0,0,0,0
2007-02,0,0,0,0
2007-03,0,0,0,0
2007-04,0,0,0,0
2007-05,0,0,0,0
2007-06,0,0,0,0
2007-07,0,0,0,0
2007-08,0,0,0,0
2007-09,0,0,0,0
2007-10,0,0,0,0
2007-11,0,0,0,0
2007-12,0,0,0,0
2008-01,0,0,0,0
2008-02,0,0,0,0
2008-03,0,0,0,0
2008-04,0,0,0,0
2008-05,0,0,0,0
2008-06,0,0,0,0
2008-07,0,0,0,0
2008-08,0,0,0,0
2008-09,0,0,0,0
2008-10,0,0,0,0
2008-11,0,0,0,0
2008-12,0,0,0,0
2009-01,0,0,0,0
2009-02,0,100,0,0
2009-03,0,0,0,0
2009-04,0,0,0,0
2009-05,0,0,0,0
2009-06,0,0,0,0
2009-07,0,0,0,0
2009-08,0,0,0,0
2009-09,0,0,0,0
2009-10,0,0,0,0
2009-11,0,0,0,0
2009-12,0,0,0,0
2010-01,0,0,0,0
2010-02,0,0,0,0
2010-03,0,0,0,0
2010-04,0,0,0,0
2010-05,0,0,0,0
2010-06,0,0,0,0
2010-07,0,0,0,0
2010-08,0,0,0,0
2010-09,0,0,0,0
2010-10,0,0,0,0
2010-11,0,0,0,0
2010-12,0,0,0,0
2011-01,0,0,0,18
2011-02,0,0,0,17
2011-03,0,0,0,17
2011-04,0,0,0,21
2011-05,9,0,0,17
2011-06,8,0,0,22
2011-07,7,0,0,14
2011-08,0,0,0,13
2011-09,6,0,0,13
2011-10,9,6,0,16
2011-11,10,0,0,13
2011-12,7,0,0,7
2012-01,5,0,5,16
2012-02,6,0,0,18
2012-03,7,0,0,12
2012-04,8,0,0,11
2012-05,6,0,0,12
2012-06,0,0,0,19
2012-07,9,0,0,18
2012-08,5,0,0,12
2012-09,6,0,0,16
2012-10,7,0,0,11
2012-11,6,0,0,12
2012-12,5,0,0,14
2013-01,6,0,0,15
2013-02,6,0,0,13
2013-03,6,0,0,17
2013-04,7,0,0,12
2013-05,10,0,0,14
2013-06,9,0,0,16
2013-07,6,0,0,14
2013-08,6,0,0,18
2013-09,8,0,0,12
2013-10,10,0,0,13
2013-11,7,0,0,16
2013-12,6,0,0,14
2014-01,7,0,0,16
2014-02,9,0,0,16
2014-03,5,0,0,13
2014-04,4,0,0,10
2014-05,4,0,0,9
2014-06,4,0,0,7
2014-07,3,0,0,8
2014-08,3,0,0,9
2014-09,3,0,0,8
2014-10,3,1,0,8
2014-11,4,0,0,9
2014-12,3,0,0,10
2015-01,3,0,0,9
2015-02,3,0,0,11
2015-03,3,0,0,9
2015-04,5,0,0,8
2015-05,3,0,0,8
2015-06,4,0,0,9
2015-07,3,0,0,9
2015-08,4,0,0,11
2015-09,5,2,0,10
2015-10,3,1,0,10
2015-11,4,0,0,10
2015-12,3,1,0,15
2016-01,3,1,0,9
2016-02,3,1,0,8
2016-03,2,1,0,6
2016-04,2,1,0,6
2016-05,3,1,0,6
2016-06,2,0,0,9
2016-07,3,0,0,7
2016-08,3,1,0,7
2016-09,2,<1,0,7
2016-10,3,1,<1,8
2016-11,3,1,0,8
2016-12,3,1,0,9
2017-01,3,1,0,7
2017-02,3,1,0,8
2017-03,2,1,0,7
2017-04,2,1,0,8
2017-05,2,1,0,6
2017-06,2,1,0,6
2017-07,2,<1,0,6
2017-08,2,<1,0,7
2017-09,2,1,0,7
2017-10,2,1,<1,8
2017-11,3,1,0,9
2017-12,2,1,0,7
2018-01,2,1,0,8
2018-02,3,1,0,8
2018-03,3,1,0,8
2018-04,3,1,0,9
2018-05,2,1,0,8
2018-06,2,1,0,7
2018-07,3,1,0,7
2018-08,3,1,0,9
2018-09,2,1,0,9
2018-10,2,1,0,8
2018-11,3,1,0,8
