Category: All categories

Month,Roma: (Chittagong Division),Roma: (Chittagong Division),Marsh Arabs: (Chittagong Division),Jews: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,0,80
2011-03,0,0,0,0,76
2011-04,0,0,0,0,96
2011-05,0,0,0,0,76
2011-06,0,0,0,0,100
2011-07,0,0,0,0,64
2011-08,0,0,0,0,58
2011-09,0,0,0,0,61
2011-10,0,0,0,0,74
2011-11,0,0,0,0,60
2011-12,0,0,0,0,31
2012-01,0,0,0,0,74
2012-02,0,0,0,0,82
2012-03,0,0,0,0,54
2012-04,0,0,0,0,51
2012-05,0,0,0,0,53
2012-06,0,0,0,0,89
2012-07,0,0,0,0,85
2012-08,0,0,0,0,54
2012-09,0,0,0,0,75
2012-10,0,0,0,0,49
2012-11,0,0,0,0,53
2012-12,0,0,0,0,66
2013-01,0,0,0,0,68
2013-02,0,0,0,0,62
2013-03,0,0,0,0,76
2013-04,0,0,0,0,55
2013-05,0,0,0,0,65
2013-06,0,0,0,0,73
2013-07,0,0,0,0,66
2013-08,0,0,0,0,82
2013-09,0,0,0,0,56
2013-10,0,0,0,0,58
2013-11,0,0,0,0,72
2013-12,0,0,0,0,66
2014-01,0,0,0,0,73
2014-02,0,0,0,0,76
2014-03,0,0,0,0,59
2014-04,0,0,0,0,46
2014-05,0,0,0,0,39
2014-06,0,0,0,0,32
2014-07,0,0,0,0,36
2014-08,0,4,0,0,41
2014-09,0,5,0,0,36
2014-10,5,3,0,0,38
2014-11,0,3,0,0,42
2014-12,0,4,0,0,45
2015-01,0,0,0,0,41
2015-02,0,0,0,0,49
2015-03,0,0,0,0,41
2015-04,0,0,0,0,37
2015-05,0,0,0,0,35
2015-06,0,0,0,0,39
2015-07,0,0,0,0,40
2015-08,6,5,0,0,48
2015-09,6,5,0,0,46
2015-10,0,0,0,0,48
2015-11,9,6,0,0,44
2015-12,0,0,0,0,71
2016-01,0,0,0,0,41
2016-02,4,5,0,0,35
2016-03,3,3,0,0,26
2016-04,2,2,0,0,27
2016-05,0,0,0,0,30
2016-06,0,0,0,0,42
2016-07,0,0,0,0,31
2016-08,0,0,0,0,32
2016-09,3,0,0,0,33
2016-10,3,0,0,0,36
2016-11,0,0,0,0,38
2016-12,3,0,0,0,40
2017-01,0,0,0,0,32
2017-02,2,2,0,0,38
2017-03,0,0,0,0,32
2017-04,2,2,0,0,35
2017-05,2,2,0,0,30
2017-06,2,0,0,0,28
2017-07,0,2,0,0,29
2017-08,2,2,0,0,30
2017-09,0,0,0,0,33
2017-10,0,2,0,0,35
2017-11,2,2,0,0,42
2017-12,2,2,0,2,32
2018-01,0,2,0,0,36
2018-02,1,1,0,0,36
2018-03,2,2,0,0,38
2018-04,17,18,0,0,39
2018-05,6,6,0,0,37
2018-06,0,2,0,0,33
2018-07,2,3,0,0,33
2018-08,4,4,0,0,41
2018-09,4,4,0,0,41
2018-10,2,2,0,0,37
2018-11,3,3,0,0,39
2018-12,3,4,0,0,30
2019-01,3,3,0,0,32
2019-02,3,3,0,0,38
2019-03,4,4,0,0,48
2019-04,1,2,0,0,46
2019-05,4,4,0,0,42
2019-06,1,2,0,0,34
2019-07,2,2,0,1,42
2019-08,3,2,0,0,45
2019-09,3,3,0,0,46
2019-10,3,3,0,0,49
2019-11,4,4,0,0,44
2019-12,4,3,0,0,32
2020-01,8,9,0,0,34
2020-02,5,5,0,1,47
2020-03,4,3,0,0,48
2020-04,3,2,0,1,49
2020-05,4,4,0,1,46
2020-06,3,3,0,1,54
2020-07,6,6,0,0,57
2020-08,6,6,0,1,50
2020-09,8,7,0,0,51
2020-10,6,6,0,0,43
2020-11,5,5,0,1,38
2020-12,5,5,0,0,37
2021-01,6,6,0,1,33
2021-02,9,9,0,0,35
2021-03,5,5,0,0,40
2021-04,9,8,0,1,37
2021-05,11,11,0,4,35
2021-06,4,4,0,0,40
2021-07,4,4,0,0,35
2021-08,4,4,0,<1,37
2021-09,6,6,0,0,38
2021-10,8,7,0,0,40
2021-11,5,5,0,0,73
2021-12,6,7,0,0,30
2022-01,6,6,0,1,35
2022-02,5,5,0,<1,43
2022-03,4,4,0,<1,51
2022-04,7,7,0,1,53
2022-05,8,8,0,<1,66
2022-06,3,3,0,<1,62
2022-07,10,10,0,<1,49
2022-08,19,18,0,0,59
2022-09,15,15,0,<1,59
2022-10,17,17,0,1,57
2022-11,9,9,0,<1,56
2022-12,4,4,0,1,32
2023-01,21,21,0,<1,35
2023-02,24,24,0,1,38
2023-03,20,20,0,0,43
2023-04,27,27,0,1,39
2023-05,33,33,0,0,50
2023-06,13,13,0,<1,47
2023-07,6,6,0,0,36
2023-08,13,13,0,<1,47
2023-09,15,15,0,1,40
2023-10,14,14,0,3,39
2023-11,10,10,0,1,41
2023-12,16,16,0,1,31
2024-01,15,15,0,<1,33
2024-02,22,22,0,<1,34
2024-03,16,16,0,1,33
2024-04,29,28,0,1,25
2024-05,23,22,0,1,31
2024-06,2,2,0,1,26
2024-07,3,3,0,1,30
2024-08,10,10,0,0,29
2024-09,15,15,0,1,35
2024-10,13,13,0,1,35
2024-11,14,14,0,0,35
2024-12,18,18,0,<1,30
2025-01,13,13,0,1,29
2025-02,17,17,0,0,30
2025-03,19,19,0,1,32
2025-04,12,13,0,1,32
2025-05,12,12,0,<1,36
2025-06,2,2,0,1,33
2025-07,5,5,0,<1,29
2025-08,13,13,0,<1,34
2025-09,2,2,0,1,33
