Category: All categories

Month,Sabeans: (Chittagong Division),Gypsy: (Chittagong Division),Black Iraqis: (Chittagong Division),religion: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,0,80
2011-03,0,0,0,0,76
2011-04,0,0,0,0,96
2011-05,0,0,0,0,76
2011-06,0,0,0,0,100
2011-07,0,0,0,0,64
2011-08,0,0,0,0,58
2011-09,0,0,0,0,61
2011-10,0,0,0,0,74
2011-11,0,0,0,0,60
2011-12,0,0,0,22,31
2012-01,0,0,0,0,74
2012-02,0,0,0,0,82
2012-03,0,0,0,0,54
2012-04,0,0,0,0,51
2012-05,0,0,0,0,53
2012-06,0,0,0,0,89
2012-07,0,0,0,0,85
2012-08,0,0,0,0,54
2012-09,0,0,0,0,75
2012-10,0,0,0,24,49
2012-11,0,0,0,0,53
2012-12,0,0,0,21,66
2013-01,0,0,0,18,68
2013-02,0,0,0,0,62
2013-03,0,0,0,19,76
2013-04,0,0,0,0,55
2013-05,0,0,0,0,65
2013-06,0,0,0,0,73
2013-07,0,0,0,18,66
2013-08,0,0,0,0,82
2013-09,0,0,0,13,56
2013-10,0,0,0,15,58
2013-11,0,0,0,12,72
2013-12,0,0,0,0,66
2014-01,0,0,0,14,73
2014-02,0,0,0,29,76
2014-03,0,0,0,12,59
2014-04,0,0,0,7,46
2014-05,0,4,0,5,39
2014-06,0,0,0,8,32
2014-07,0,0,0,13,36
2014-08,0,0,0,5,41
2014-09,0,0,0,8,36
2014-10,0,0,0,5,38
2014-11,0,0,0,9,42
2014-12,0,0,0,4,45
2015-01,0,0,0,5,41
2015-02,0,0,0,6,49
2015-03,0,0,0,8,41
2015-04,0,0,0,8,37
2015-05,0,0,0,5,35
2015-06,0,0,0,8,39
2015-07,0,0,0,10,40
2015-08,0,0,0,5,48
2015-09,0,0,0,10,46
2015-10,0,0,0,10,48
2015-11,0,0,0,6,44
2015-12,0,0,0,6,71
2016-01,0,0,0,5,41
2016-02,0,0,0,8,35
2016-03,0,0,0,6,26
2016-04,0,0,0,5,27
2016-05,0,0,0,5,30
2016-06,0,0,0,10,42
2016-07,0,0,0,8,31
2016-08,0,0,0,7,32
2016-09,0,0,0,7,33
2016-10,0,0,0,6,36
2016-11,0,0,0,8,38
2016-12,0,0,0,5,40
2017-01,0,0,0,7,32
2017-02,0,0,0,7,38
2017-03,0,0,0,7,32
2017-04,0,0,0,8,35
2017-05,0,0,0,7,30
2017-06,0,0,0,7,28
2017-07,0,0,0,5,29
2017-08,0,0,0,5,30
2017-09,0,0,0,9,33
2017-10,0,0,0,8,35
2017-11,0,0,0,9,42
2017-12,0,0,0,8,32
2018-01,0,0,0,6,36
2018-02,0,0,0,8,36
2018-03,0,0,0,6,38
2018-04,0,0,0,7,39
2018-05,0,0,0,9,37
2018-06,0,0,0,15,33
2018-07,0,0,0,18,33
2018-08,0,0,0,10,41
2018-09,0,0,0,8,41
2018-10,0,0,0,9,37
2018-11,0,0,0,10,39
2018-12,0,0,0,8,30
2019-01,0,0,0,6,32
2019-02,0,0,0,9,38
2019-03,0,0,0,8,48
2019-04,0,0,0,9,46
2019-05,0,0,0,10,42
2019-06,0,0,0,8,34
2019-07,0,0,0,8,42
2019-08,0,0,0,10,45
2019-09,0,0,0,10,46
2019-10,0,0,0,11,49
2019-11,0,0,0,13,44
2019-12,0,0,0,12,32
2020-01,0,0,0,12,34
2020-02,0,0,0,13,47
2020-03,0,0,0,14,48
2020-04,0,1,0,21,49
2020-05,0,0,0,20,46
2020-06,0,0,0,18,54
2020-07,0,0,0,16,57
2020-08,0,0,0,21,50
2020-09,0,0,0,16,51
2020-10,0,0,0,19,43
2020-11,0,10,0,23,38
2020-12,0,1,0,19,37
2021-01,0,0,0,14,33
2021-02,0,0,0,13,35
2021-03,0,0,0,18,40
2021-04,0,0,0,18,37
2021-05,0,1,0,26,35
2021-06,0,0,0,20,40
2021-07,0,0,0,20,35
2021-08,0,0,0,16,37
2021-09,0,0,0,17,38
2021-10,0,0,0,16,40
2021-11,0,1,0,12,73
2021-12,0,0,0,12,30
2022-01,0,<1,0,10,35
2022-02,0,0,0,17,43
2022-03,0,0,0,15,51
2022-04,0,0,0,19,53
2022-05,0,<1,0,15,66
2022-06,0,<1,0,14,62
2022-07,0,<1,0,16,49
2022-08,0,1,0,14,59
2022-09,0,<1,0,16,59
2022-10,0,0,0,18,57
2022-11,0,1,0,19,56
2022-12,0,<1,0,28,32
2023-01,0,<1,0,15,35
2023-02,0,1,0,14,38
2023-03,0,0,0,15,43
2023-04,0,0,0,16,39
2023-05,0,0,0,14,50
2023-06,0,0,0,15,47
2023-07,0,<1,0,13,36
2023-08,0,1,0,13,47
2023-09,0,1,0,12,40
2023-10,0,<1,0,16,39
2023-11,0,<1,0,16,41
2023-12,0,1,0,13,31
2024-01,0,<1,0,13,33
2024-02,0,0,0,13,34
2024-03,<1,<1,0,13,33
2024-04,0,0,0,12,25
2024-05,0,0,0,10,31
2024-06,0,0,0,13,26
2024-07,0,0,0,14,30
2024-08,0,0,0,11,29
2024-09,0,<1,0,11,35
2024-10,0,<1,0,13,35
2024-11,0,<1,0,14,35
2024-12,0,<1,0,14,30
2025-01,0,0,0,10,29
2025-02,0,<1,0,8,30
2025-03,0,0,0,15,32
2025-04,0,0,0,12,32
2025-05,0,<1,0,8,36
2025-06,0,0,0,10,33
2025-07,0,<1,0,9,29
2025-08,0,<1,0,8,34
2025-09,0,1,0,9,33
