Category: All categories

Month,currency: (Chittagong Division),labour market: (Chittagong Division),market: (Chittagong Division),exchange rate: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,97,100,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,46,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,39,0,0
2010-11,0,0,43,0,0
2010-12,0,0,0,0,0
2011-01,0,0,36,0,21
2011-02,0,0,26,0,21
2011-03,0,0,25,0,20
2011-04,17,0,28,0,25
2011-05,0,0,23,9,20
2011-06,16,0,23,0,26
2011-07,13,0,24,0,17
2011-08,8,0,24,0,15
2011-09,15,0,22,0,16
2011-10,15,0,26,0,19
2011-11,14,0,34,0,16
2011-12,9,0,17,0,8
2012-01,11,0,27,9,19
2012-02,10,0,24,0,21
2012-03,16,0,26,0,14
2012-04,10,0,29,6,13
2012-05,11,0,18,0,14
2012-06,12,0,26,0,23
2012-07,16,0,26,0,22
2012-08,18,0,26,0,14
2012-09,15,0,26,7,20
2012-10,12,0,26,6,13
2012-11,12,0,23,0,14
2012-12,11,0,19,0,17
2013-01,13,0,20,0,18
2013-02,12,0,17,4,16
2013-03,12,0,20,6,20
2013-04,10,0,19,0,14
2013-05,11,0,19,4,17
2013-06,8,0,25,5,19
2013-07,11,0,18,4,17
2013-08,9,0,18,4,22
2013-09,10,0,23,0,15
2013-10,10,0,14,4,15
2013-11,10,0,19,0,19
2013-12,6,0,15,0,17
2014-01,11,0,14,4,19
2014-02,9,0,19,0,20
2014-03,12,0,19,7,15
2014-04,7,0,14,2,12
2014-05,5,0,16,2,10
2014-06,4,0,13,0,8
2014-07,4,0,16,2,9
2014-08,4,0,14,1,11
2014-09,4,0,15,2,10
2014-10,4,0,15,2,10
2014-11,5,0,14,2,11
2014-12,4,0,16,1,12
2015-01,4,0,13,2,11
2015-02,4,0,14,2,13
2015-03,4,0,13,2,11
2015-04,4,0,14,2,10
2015-05,5,0,14,2,9
2015-06,4,0,15,2,10
2015-07,4,0,13,1,10
2015-08,5,0,16,3,13
2015-09,6,0,17,2,12
2015-10,6,0,15,2,13
2015-11,5,0,13,3,12
2015-12,5,0,14,2,19
2016-01,4,0,14,2,11
2016-02,3,0,14,2,9
2016-03,2,0,11,1,7
2016-04,2,0,12,1,7
2016-05,3,0,14,1,8
2016-06,3,0,15,1,11
2016-07,3,0,11,1,8
2016-08,2,0,13,1,8
2016-09,3,0,12,1,9
2016-10,3,0,12,2,10
2016-11,4,0,11,1,10
2016-12,3,0,12,1,10
2017-01,3,0,17,1,8
2017-02,3,0,16,1,10
2017-03,3,0,15,1,8
2017-04,3,0,15,2,9
2017-05,2,0,12,2,8
2017-06,3,0,13,2,7
2017-07,3,0,13,2,8
2017-08,4,0,14,1,8
2017-09,4,0,18,2,9
2017-10,5,0,17,2,9
2017-11,5,0,19,2,11
2017-12,5,0,17,2,8
2018-01,4,0,18,2,9
2018-02,5,0,17,2,9
2018-03,5,0,16,1,10
2018-04,4,0,17,2,10
2018-05,4,0,17,2,10
2018-06,5,0,14,1,9
2018-07,5,0,20,1,9
2018-08,5,0,18,2,11
2018-09,5,0,21,2,11
2018-10,5,0,19,2,10
2018-11,5,0,19,2,10
2018-12,4,0,18,2,8
2019-01,5,0,25,2,8
2019-02,5,0,21,2,10
2019-03,5,0,21,2,13
2019-04,6,0,19,1,12
2019-05,5,0,19,2,11
2019-06,5,0,16,2,9
2019-07,6,0,18,2,11
2019-08,6,0,19,2,12
2019-09,7,0,21,2,12
2019-10,6,0,20,1,13
2019-11,6,0,20,2,12
2019-12,6,<1,19,2,8
2020-01,5,0,19,2,9
2020-02,5,0,22,2,12
2020-03,4,0,18,2,13
2020-04,4,0,11,2,13
2020-05,5,0,13,1,12
2020-06,4,<1,18,1,14
2020-07,4,0,19,1,15
2020-08,4,0,24,1,13
2020-09,4,0,28,1,13
2020-10,4,0,24,1,11
2020-11,4,0,22,1,10
2020-12,4,0,24,1,10
2021-01,4,0,31,1,9
2021-02,5,0,26,1,9
2021-03,4,0,25,1,10
2021-04,4,0,21,1,10
2021-05,4,0,27,1,9
2021-06,4,0,28,1,11
2021-07,4,0,19,<1,9
2021-08,4,0,23,1,10
2021-09,4,0,25,1,10
2021-10,4,0,22,1,11
2021-11,4,0,21,1,19
2021-12,4,0,22,1,8
2022-01,5,0,22,1,9
2022-02,5,0,21,1,11
2022-03,6,0,19,1,13
2022-04,5,0,16,1,14
2022-05,7,0,16,2,17
2022-06,6,0,19,2,16
2022-07,7,0,16,2,13
2022-08,9,0,18,3,15
2022-09,7,<1,18,2,15
2022-10,7,0,16,2,15
2022-11,5,0,14,1,15
2022-12,6,0,12,1,8
2023-01,7,0,14,1,9
2023-02,7,0,14,1,10
2023-03,6,0,13,1,11
2023-04,6,0,12,1,10
2023-05,6,0,13,1,13
2023-06,6,0,14,1,12
2023-07,7,0,14,1,10
2023-08,7,0,13,1,12
2023-09,7,0,11,1,10
2023-10,6,<1,11,1,10
2023-11,6,0,11,1,11
2023-12,7,0,12,1,8
2024-01,6,0,12,1,9
2024-02,5,0,12,1,9
2024-03,5,0,12,1,9
2024-04,5,0,11,1,7
2024-05,5,0,10,1,8
2024-06,5,0,10,1,7
2024-07,5,0,9,1,8
2024-08,5,0,11,1,8
2024-09,6,0,13,1,9
2024-10,6,0,11,1,9
2024-11,5,0,11,1,9
2024-12,5,0,10,1,8
2025-01,4,0,9,1,8
2025-02,4,0,9,1,8
2025-03,4,0,9,<1,8
2025-04,5,0,9,1,8
2025-05,5,0,8,1,9
2025-06,4,0,9,1,9
2025-07,5,0,9,1,8
2025-08,4,0,9,1,9
2025-09,4,0,9,1,9
