Category: All categories

Month,tax: (Chittagong Division),taxes: (Chittagong Division),good: (Chittagong Division),good: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,100,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,30,0,43
2011-02,0,0,0,0,43
2011-03,0,0,68,47,40
2011-04,0,0,41,48,51
2011-05,0,0,36,39,41
2011-06,0,0,30,34,53
2011-07,0,0,30,29,34
2011-08,0,0,44,42,31
2011-09,0,0,36,37,32
2011-10,0,0,39,38,39
2011-11,0,0,53,52,32
2011-12,0,0,48,43,17
2012-01,0,0,44,44,39
2012-02,0,0,53,47,43
2012-03,0,0,54,48,29
2012-04,0,0,40,35,27
2012-05,0,0,34,39,28
2012-06,0,0,42,44,47
2012-07,17,0,41,47,45
2012-08,20,0,41,44,29
2012-09,34,0,49,44,40
2012-10,0,0,53,54,26
2012-11,11,0,50,56,28
2012-12,0,0,42,52,35
2013-01,11,0,42,42,36
2013-02,0,0,35,34,33
2013-03,13,0,40,36,41
2013-04,9,0,47,51,29
2013-05,9,0,43,46,35
2013-06,17,0,47,45,39
2013-07,24,0,51,39,35
2013-08,13,0,50,46,44
2013-09,33,0,43,45,30
2013-10,15,0,37,34,31
2013-11,11,0,51,47,38
2013-12,11,0,48,45,35
2014-01,11,0,50,48,39
2014-02,9,0,45,44,40
2014-03,11,0,44,44,31
2014-04,9,0,36,39,24
2014-05,12,0,35,35,21
2014-06,11,0,31,30,17
2014-07,9,0,25,24,19
2014-08,9,0,30,30,22
2014-09,11,0,30,29,19
2014-10,9,0,30,30,20
2014-11,8,0,31,31,22
2014-12,6,0,33,33,24
2015-01,5,0,30,30,22
2015-02,6,0,27,27,26
2015-03,6,0,23,26,22
2015-04,7,0,31,31,20
2015-05,7,0,28,28,19
2015-06,10,0,31,31,21
2015-07,8,0,24,24,21
2015-08,12,0,28,28,26
2015-09,22,4,40,39,25
2015-10,7,0,33,34,25
2015-11,12,0,30,31,23
2015-12,10,0,33,34,38
2016-01,6,0,35,36,22
2016-02,6,0,33,32,18
2016-03,4,0,28,28,14
2016-04,4,0,28,28,14
2016-05,5,0,28,27,16
2016-06,5,0,27,27,23
2016-07,7,0,24,23,16
2016-08,8,0,27,27,17
2016-09,5,0,29,30,17
2016-10,8,0,27,28,19
2016-11,16,0,30,29,20
2016-12,7,0,29,29,21
2017-01,5,0,33,33,17
2017-02,5,0,29,29,20
2017-03,6,0,30,30,17
2017-04,6,0,30,30,19
2017-05,4,0,28,28,16
2017-06,3,0,22,22,15
2017-07,5,0,29,29,16
2017-08,5,0,27,27,16
2017-09,6,0,32,32,17
2017-10,10,1,34,34,19
2017-11,16,1,36,35,23
2017-12,5,0,33,33,17
2018-01,6,0,32,31,19
2018-02,6,1,31,31,19
2018-03,6,0,33,33,20
2018-04,6,0,32,32,21
2018-05,5,0,29,29,20
2018-06,5,0,26,26,17
2018-07,5,0,29,28,18
2018-08,4,0,29,29,22
2018-09,6,0,32,32,22
2018-10,6,1,30,30,20
2018-11,13,0,32,32,21
2018-12,6,0,27,27,16
2019-01,6,0,32,31,17
2019-02,5,1,32,31,20
2019-03,6,1,32,32,25
2019-04,6,0,32,32,25
2019-05,6,1,27,27,22
2019-06,6,1,23,24,18
2019-07,9,1,31,31,22
2019-08,7,1,30,31,24
2019-09,10,1,33,33,25
2019-10,12,2,32,32,26
2019-11,17,1,36,36,23
2019-12,8,1,36,36,17
2020-01,8,1,39,39,18
2020-02,8,1,32,32,25
2020-03,5,0,37,37,26
2020-04,4,0,40,39,26
2020-05,4,<1,36,36,25
2020-06,7,<1,39,39,29
2020-07,7,<1,37,37,30
2020-08,6,1,37,37,27
2020-09,8,1,36,36,27
2020-10,9,1,33,33,23
2020-11,15,1,41,41,20
2020-12,7,<1,35,35,20
2021-01,6,1,35,34,18
2021-02,6,1,35,35,19
2021-03,7,1,34,34,21
2021-04,6,1,33,33,20
2021-05,6,1,32,32,19
2021-06,6,1,33,33,21
2021-07,5,1,35,35,18
2021-08,7,<1,36,35,20
2021-09,7,1,33,34,20
2021-10,7,1,29,29,22
2021-11,13,1,33,33,39
2021-12,7,1,30,30,16
2022-01,6,<1,33,33,19
2022-02,6,<1,33,33,23
2022-03,6,1,34,33,27
2022-04,7,<1,39,33,28
2022-05,7,1,32,32,35
2022-06,8,1,34,33,33
2022-07,8,<1,31,31,26
2022-08,8,1,32,33,31
2022-09,8,<1,31,33,31
2022-10,8,<1,34,35,30
2022-11,14,<1,28,29,30
2022-12,7,<1,27,27,17
2023-01,9,1,32,34,19
2023-02,7,<1,29,30,20
2023-03,7,1,31,30,23
2023-04,7,0,28,28,21
2023-05,9,<1,31,31,27
2023-06,9,<1,30,31,25
2023-07,10,<1,30,33,19
2023-08,10,<1,30,30,25
2023-09,9,<1,28,29,21
2023-10,10,<1,27,26,21
2023-11,17,1,31,30,22
2023-12,9,<1,28,29,17
2024-01,10,<1,30,29,17
2024-02,9,<1,26,26,18
2024-03,8,<1,25,25,18
2024-04,8,<1,23,23,13
2024-05,9,<1,23,23,16
2024-06,9,<1,23,23,14
2024-07,11,0,22,22,16
2024-08,7,0,22,22,15
2024-09,11,<1,24,24,19
2024-10,10,<1,24,24,19
2024-11,15,<1,25,25,18
2024-12,12,<1,24,24,16
2025-01,10,<1,23,23,16
2025-02,9,<1,22,22,16
2025-03,7,<1,24,24,17
2025-04,8,<1,24,24,17
2025-05,7,<1,24,24,19
2025-06,8,<1,27,26,17
2025-07,9,<1,25,25,16
2025-08,12,<1,25,25,18
2025-09,11,<1,22,22,17
