Category: All categories

Month,economy: (Chittagong Division),remittances: (Chittagong Division),ban: (Chittagong Division),supply: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,73,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,16
2011-02,0,0,0,0,16
2011-03,0,0,0,0,15
2011-04,0,0,0,0,19
2011-05,0,0,0,0,15
2011-06,0,0,0,7,20
2011-07,0,0,6,0,13
2011-08,0,0,0,0,11
2011-09,0,0,0,10,12
2011-10,0,0,8,8,14
2011-11,0,0,0,5,12
2011-12,0,0,6,6,6
2012-01,0,0,0,5,14
2012-02,0,0,0,5,16
2012-03,0,0,0,0,11
2012-04,4,0,0,6,10
2012-05,0,0,0,0,10
2012-06,0,0,5,0,17
2012-07,0,0,0,4,17
2012-08,0,0,0,0,11
2012-09,0,0,5,5,15
2012-10,0,0,0,0,10
2012-11,0,0,7,4,10
2012-12,0,0,5,3,13
2013-01,0,0,4,4,13
2013-02,0,0,0,0,12
2013-03,0,0,10,3,15
2013-04,0,0,5,4,11
2013-05,3,0,4,0,13
2013-06,0,0,0,5,14
2013-07,0,0,0,0,13
2013-08,3,0,3,3,16
2013-09,0,0,0,0,11
2013-10,3,0,8,3,11
2013-11,3,0,4,4,14
2013-12,0,0,3,3,13
2014-01,0,0,5,2,14
2014-02,0,0,13,3,15
2014-03,0,0,6,7,12
2014-04,3,0,2,2,9
2014-05,1,0,2,2,8
2014-06,1,0,7,1,6
2014-07,1,0,3,1,7
2014-08,1,0,7,2,8
2014-09,1,0,6,1,7
2014-10,1,0,7,2,8
2014-11,1,0,21,2,8
2014-12,1,0,5,1,9
2015-01,0,0,2,2,8
2015-02,1,0,12,2,10
2015-03,1,0,12,1,8
2015-04,1,0,19,1,7
2015-05,1,0,10,2,7
2015-06,0,0,21,2,8
2015-07,1,0,22,1,8
2015-08,2,0,6,2,9
2015-09,2,0,6,0,9
2015-10,1,0,4,2,9
2015-11,2,0,13,2,9
2015-12,1,0,3,3,14
2016-01,1,0,9,1,8
2016-02,1,0,8,1,7
2016-03,1,0,17,1,5
2016-04,1,0,4,1,5
2016-05,1,0,3,2,6
2016-06,2,0,3,2,8
2016-07,1,0,3,1,6
2016-08,1,0,4,2,6
2016-09,1,0,10,1,6
2016-10,1,0,25,2,7
2016-11,1,0,4,2,7
2016-12,1,0,9,2,8
2017-01,1,0,11,2,6
2017-02,1,0,8,2,7
2017-03,1,0,20,1,6
2017-04,1,0,9,2,7
2017-05,1,0,12,2,6
2017-06,1,0,14,1,5
2017-07,<1,0,3,2,6
2017-08,1,0,11,2,6
2017-09,1,0,14,1,6
2017-10,1,0,13,2,7
2017-11,1,0,4,2,8
2017-12,1,0,4,2,6
2018-01,1,0,11,2,7
2018-02,1,0,12,2,7
2018-03,1,0,12,1,7
2018-04,1,0,3,2,8
2018-05,1,0,3,2,7
2018-06,1,0,7,1,6
2018-07,1,0,13,2,7
2018-08,1,0,8,1,8
2018-09,1,0,24,2,8
2018-10,1,0,11,2,7
2018-11,1,0,18,2,8
2018-12,1,0,19,1,6
2019-01,1,0,3,2,6
2019-02,1,0,10,2,7
2019-03,1,0,6,2,9
2019-04,1,0,3,2,9
2019-05,1,0,18,2,8
2019-06,1,0,32,1,7
2019-07,1,0,20,2,8
2019-08,1,0,4,1,9
2019-09,1,0,20,2,9
2019-10,1,0,6,2,10
2019-11,1,0,30,2,9
2019-12,1,0,4,2,6
2020-01,1,0,12,2,7
2020-02,1,0,23,2,9
2020-03,1,0,20,2,9
2020-04,1,0,3,2,10
2020-05,1,<1,3,2,9
2020-06,1,0,3,2,11
2020-07,1,0,3,2,11
2020-08,1,0,3,2,10
2020-09,1,0,3,2,10
2020-10,1,0,3,2,8
2020-11,1,0,3,2,7
2020-12,1,0,3,2,7
2021-01,1,0,13,2,7
2021-02,1,0,29,2,7
2021-03,1,0,20,2,8
2021-04,1,0,28,2,7
2021-05,1,0,45,1,7
2021-06,1,0,6,2,8
2021-07,1,0,60,2,7
2021-08,1,0,27,2,7
2021-09,1,0,35,2,7
2021-10,1,0,60,2,8
2021-11,1,0,74,1,14
2021-12,1,0,16,2,6
2022-01,1,0,21,2,7
2022-02,1,0,21,2,8
2022-03,1,0,40,2,10
2022-04,1,0,35,2,10
2022-05,1,0,36,2,13
2022-06,1,0,30,2,12
2022-07,1,0,46,2,10
2022-08,1,0,36,2,12
2022-09,1,0,22,2,11
2022-10,1,0,50,2,11
2022-11,1,0,23,2,11
2022-12,1,0,70,1,6
2023-01,1,0,8,2,7
2023-02,1,0,9,1,7
2023-03,1,0,80,1,8
2023-04,1,0,23,1,8
2023-05,1,0,32,2,10
2023-06,1,0,26,2,9
2023-07,1,0,53,1,7
2023-08,1,0,13,1,9
2023-09,1,0,89,1,8
2023-10,1,0,100,1,8
2023-11,1,0,53,1,8
2023-12,1,0,71,1,6
2024-01,1,0,12,1,6
2024-02,1,0,8,1,7
2024-03,1,0,59,1,6
2024-04,<1,0,12,1,5
2024-05,1,0,35,1,6
2024-06,1,0,49,1,5
2024-07,<1,0,6,1,6
2024-08,<1,0,23,1,6
2024-09,1,0,44,2,7
2024-10,1,0,31,1,7
2024-11,1,0,25,1,7
2024-12,1,0,22,1,6
2025-01,1,0,3,1,6
2025-02,1,0,21,1,6
2025-03,1,0,11,1,6
2025-04,1,0,13,1,6
2025-05,<1,0,21,1,7
2025-06,<1,0,31,1,6
2025-07,1,0,36,1,6
2025-08,1,0,8,1,7
2025-09,<1,<1,22,1,6
