Category: All categories

Month,seed: (Chittagong Division),potato: (Chittagong Division),tomato: (Chittagong Division),irrigation: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,0,80
2011-03,0,0,0,0,76
2011-04,0,0,0,0,96
2011-05,0,0,0,0,76
2011-06,0,0,0,0,100
2011-07,0,0,0,0,64
2011-08,0,0,0,0,58
2011-09,0,0,30,0,63
2011-10,32,0,0,0,74
2011-11,0,0,0,0,60
2011-12,0,0,0,0,31
2012-01,0,0,0,0,74
2012-02,0,0,0,0,82
2012-03,0,0,0,0,54
2012-04,0,0,0,0,51
2012-05,0,0,0,0,53
2012-06,0,0,0,0,89
2012-07,0,0,0,0,85
2012-08,0,0,0,0,52
2012-09,0,0,0,0,75
2012-10,0,0,0,0,49
2012-11,0,0,0,0,53
2012-12,0,0,0,0,66
2013-01,0,0,0,0,68
2013-02,0,0,0,0,62
2013-03,0,0,0,0,76
2013-04,0,0,0,0,55
2013-05,0,0,0,0,65
2013-06,18,0,0,0,73
2013-07,0,0,15,0,66
2013-08,0,0,0,0,82
2013-09,0,0,0,0,56
2013-10,0,0,0,0,58
2013-11,0,0,0,0,72
2013-12,0,0,0,0,66
2014-01,0,0,0,0,73
2014-02,0,0,0,0,76
2014-03,0,0,0,0,59
2014-04,0,0,0,0,46
2014-05,4,0,0,0,39
2014-06,0,0,0,0,32
2014-07,0,0,4,0,36
2014-08,0,0,0,0,41
2014-09,0,0,0,0,36
2014-10,0,0,0,0,38
2014-11,0,3,0,0,42
2014-12,4,3,0,0,45
2015-01,0,0,0,0,41
2015-02,0,0,0,0,49
2015-03,0,4,5,0,43
2015-04,0,0,4,0,37
2015-05,0,0,0,0,35
2015-06,0,0,0,0,39
2015-07,0,0,0,0,40
2015-08,0,0,0,0,48
2015-09,0,0,0,0,46
2015-10,0,0,0,0,44
2015-11,5,4,0,0,44
2015-12,0,5,0,0,71
2016-01,0,0,3,0,41
2016-02,3,0,5,0,35
2016-03,3,1,2,1,26
2016-04,2,2,2,0,27
2016-05,2,2,0,0,30
2016-06,3,3,0,0,42
2016-07,0,0,0,0,31
2016-08,2,0,2,0,32
2016-09,0,0,0,0,33
2016-10,2,3,0,0,36
2016-11,3,2,0,3,38
2016-12,3,2,2,0,39
2017-01,3,0,3,0,32
2017-02,3,3,2,0,38
2017-03,2,2,4,0,32
2017-04,3,2,2,0,35
2017-05,3,3,2,0,30
2017-06,0,0,0,0,28
2017-07,3,0,2,0,29
2017-08,2,2,1,0,30
2017-09,3,0,0,0,33
2017-10,3,3,2,0,35
2017-11,3,2,0,0,42
2017-12,4,3,2,0,32
2018-01,3,2,0,0,36
2018-02,3,2,4,0,36
2018-03,4,4,5,0,38
2018-04,4,3,3,0,39
2018-05,4,2,2,0,37
2018-06,3,2,0,0,33
2018-07,3,2,1,0,33
2018-08,4,2,0,0,41
2018-09,3,2,1,0,41
2018-10,3,3,2,0,37
2018-11,4,2,1,0,39
2018-12,3,3,1,0,30
2019-01,2,2,2,1,32
2019-02,2,2,2,0,38
2019-03,4,4,2,0,47
2019-04,4,2,2,0,46
2019-05,4,2,2,0,42
2019-06,3,2,1,0,34
2019-07,3,2,0,0,42
2019-08,5,3,2,0,45
2019-09,4,2,2,0,46
2019-10,4,2,2,0,49
2019-11,5,2,1,0,45
2019-12,4,2,1,0,32
2020-01,4,1,2,0,34
2020-02,4,3,2,0,47
2020-03,5,3,4,0,48
2020-04,5,5,4,0,50
2020-05,6,4,3,0,46
2020-06,6,4,2,0,54
2020-07,5,3,2,1,57
2020-08,6,3,2,0,50
2020-09,5,3,2,1,51
2020-10,4,3,2,1,43
2020-11,5,3,2,1,38
2020-12,4,3,3,1,37
2021-01,4,3,3,0,33
2021-02,5,3,3,0,35
2021-03,4,4,5,1,40
2021-04,4,3,2,1,37
2021-05,5,3,2,0,35
2021-06,5,3,2,1,41
2021-07,5,3,2,<1,35
2021-08,4,3,2,1,37
2021-09,4,3,2,1,38
2021-10,4,2,2,0,40
2021-11,4,2,2,0,73
2021-12,4,2,2,1,30
2022-01,4,3,2,0,35
2022-02,5,3,2,1,43
2022-03,5,3,3,1,51
2022-04,4,2,2,<1,53
2022-05,4,2,2,0,66
2022-06,4,2,1,1,62
2022-07,4,2,2,1,49
2022-08,5,2,1,1,59
2022-09,5,2,1,1,59
2022-10,4,2,2,1,57
2022-11,4,2,2,1,56
2022-12,4,2,2,<1,32
2023-01,4,2,2,1,35
2023-02,4,2,3,<1,38
2023-03,4,2,3,1,43
2023-04,4,2,1,<1,39
2023-05,4,2,2,1,51
2023-06,4,2,1,<1,47
2023-07,4,3,2,1,36
2023-08,5,2,1,<1,47
2023-09,4,2,1,<1,40
2023-10,4,2,1,<1,39
2023-11,4,2,2,1,41
2023-12,4,2,2,<1,31
2024-01,4,2,2,<1,33
2024-02,4,2,2,0,34
2024-03,5,2,2,<1,33
2024-04,4,2,2,<1,25
2024-05,3,2,1,<1,31
2024-06,4,2,1,0,26
2024-07,4,2,2,0,30
2024-08,4,2,1,0,29
2024-09,4,2,2,0,35
2024-10,4,1,2,1,35
2024-11,5,2,2,<1,35
2024-12,5,2,2,0,30
2025-01,6,2,2,1,29
2025-02,5,2,2,0,30
2025-03,5,3,2,0,32
2025-04,6,2,1,<1,32
2025-05,5,2,2,<1,36
2025-06,4,2,1,0,33
2025-07,5,1,1,1,29
2025-08,4,2,1,1,34
2025-09,4,1,1,<1,32
