Category: All categories

Month,erratic: (Chittagong Division),erratic: (Chittagong Division),management: (Chittagong Division),soil: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,100,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,53,0,0
2009-07,0,0,0,0,0
2009-08,0,0,56,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,38,0,0
2010-01,0,0,0,0,0
2010-02,0,0,60,0,0
2010-03,0,0,55,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,38,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,17,0,15
2011-02,0,0,29,0,15
2011-03,0,0,18,0,14
2011-04,0,0,24,0,18
2011-05,0,0,18,0,15
2011-06,0,0,22,0,19
2011-07,0,0,22,0,12
2011-08,0,0,23,0,11
2011-09,0,0,16,0,12
2011-10,0,0,26,0,14
2011-11,0,0,25,0,11
2011-12,0,0,23,0,6
2012-01,0,0,25,0,14
2012-02,0,0,21,0,16
2012-03,0,0,27,0,10
2012-04,0,0,22,0,10
2012-05,0,0,12,0,10
2012-06,0,6,20,0,17
2012-07,0,0,32,0,16
2012-08,0,0,16,0,10
2012-09,0,0,27,0,14
2012-10,0,0,16,0,9
2012-11,0,0,24,0,10
2012-12,0,0,20,0,13
2013-01,0,0,22,0,13
2013-02,0,0,24,0,12
2013-03,0,0,19,0,15
2013-04,0,0,23,0,10
2013-05,0,0,18,0,12
2013-06,0,0,24,0,14
2013-07,0,0,26,0,13
2013-08,0,0,16,0,16
2013-09,0,0,24,3,11
2013-10,0,0,15,0,11
2013-11,0,0,16,2,14
2013-12,0,0,15,0,13
2014-01,0,0,19,0,14
2014-02,0,0,22,0,14
2014-03,0,0,22,0,11
2014-04,0,0,15,1,9
2014-05,0,0,8,0,8
2014-06,0,0,9,1,6
2014-07,0,0,6,0,7
2014-08,0,0,8,0,8
2014-09,0,0,7,1,7
2014-10,0,0,6,0,7
2014-11,0,0,9,0,8
2014-12,0,0,9,1,9
2015-01,0,0,9,1,8
2015-02,0,0,8,0,9
2015-03,0,0,6,0,8
2015-04,0,0,8,0,7
2015-05,0,0,9,0,7
2015-06,0,0,11,0,8
2015-07,0,0,7,1,8
2015-08,0,0,11,1,9
2015-09,0,0,11,2,9
2015-10,0,0,10,0,8
2015-11,0,0,9,1,8
2015-12,0,0,11,1,14
2016-01,0,0,8,0,8
2016-02,0,0,8,1,7
2016-03,0,0,4,<1,5
2016-04,0,0,4,<1,5
2016-05,0,0,7,1,6
2016-06,0,0,6,1,8
2016-07,0,0,5,0,6
2016-08,0,0,6,1,6
2016-09,0,0,5,<1,6
2016-10,0,0,6,1,7
2016-11,0,0,7,1,7
2016-12,0,0,8,<1,8
2017-01,0,0,6,1,6
2017-02,0,0,7,1,7
2017-03,0,0,7,1,6
2017-04,0,0,6,1,7
2017-05,0,0,6,1,6
2017-06,0,<1,5,0,5
2017-07,0,0,5,<1,6
2017-08,0,0,5,1,6
2017-09,0,0,6,<1,6
2017-10,0,0,7,1,7
2017-11,0,0,8,1,8
2017-12,0,0,7,1,6
2018-01,0,0,7,<1,7
2018-02,0,0,7,<1,7
2018-03,0,0,8,1,7
2018-04,0,0,7,1,8
2018-05,0,0,8,1,7
2018-06,0,0,5,0,6
2018-07,0,0,7,1,6
2018-08,0,0,6,1,8
2018-09,<1,0,8,1,8
2018-10,0,0,7,1,7
2018-11,0,0,8,1,7
2018-12,0,0,6,1,6
2019-01,0,0,8,<1,6
2019-02,0,0,8,1,7
2019-03,0,0,8,<1,9
2019-04,0,0,8,1,9
2019-05,0,0,7,1,8
2019-06,0,0,6,<1,6
2019-07,0,0,9,1,8
2019-08,0,0,7,1,9
2019-09,0,0,9,1,9
2019-10,0,0,9,1,9
2019-11,0,0,10,1,9
2019-12,0,0,8,1,6
2020-01,0,0,8,1,7
2020-02,0,0,9,1,9
2020-03,0,0,6,1,9
2020-04,0,0,5,1,10
2020-05,0,0,5,1,9
2020-06,0,0,7,1,10
2020-07,0,0,6,1,11
2020-08,0,0,6,1,10
2020-09,0,0,7,1,10
2020-10,0,<1,7,1,8
2020-11,0,0,7,1,7
2020-12,0,0,7,1,7
2021-01,0,0,7,1,6
2021-02,0,0,7,1,7
2021-03,0,0,6,1,8
2021-04,0,0,6,1,7
2021-05,0,0,6,<1,7
2021-06,0,0,7,1,8
2021-07,0,0,6,1,7
2021-08,0,0,8,1,7
2021-09,0,0,9,1,7
2021-10,0,0,6,1,8
2021-11,0,0,7,1,14
2021-12,0,0,7,1,6
2022-01,0,0,7,1,7
2022-02,0,0,8,1,8
2022-03,0,0,9,1,10
2022-04,0,0,6,<1,10
2022-05,0,0,6,<1,13
2022-06,0,0,7,1,12
2022-07,0,0,5,1,9
2022-08,0,0,6,1,11
2022-09,0,0,7,1,11
2022-10,0,0,5,1,11
2022-11,0,0,5,<1,11
2022-12,0,0,5,<1,6
2023-01,0,0,6,1,7
2023-02,0,0,6,1,7
2023-03,0,0,5,1,8
2023-04,0,0,4,<1,7
2023-05,0,0,5,1,10
2023-06,0,0,5,1,9
2023-07,0,0,5,<1,7
2023-08,0,0,6,1,9
2023-09,0,0,6,1,8
2023-10,<1,0,4,<1,7
2023-11,0,0,5,<1,8
2023-12,0,0,5,<1,6
2024-01,0,0,5,1,6
2024-02,0,0,5,<1,6
2024-03,0,0,4,<1,6
2024-04,0,0,4,<1,5
2024-05,0,0,5,<1,6
2024-06,0,0,4,<1,5
2024-07,0,0,4,<1,6
2024-08,0,0,3,<1,6
2024-09,0,0,4,<1,7
2024-10,0,0,4,<1,7
2024-11,0,0,4,<1,7
2024-12,0,0,4,<1,6
2025-01,0,0,4,<1,6
2025-02,0,0,4,<1,6
2025-03,0,0,3,<1,6
2025-04,0,0,4,<1,6
2025-05,0,0,4,<1,7
2025-06,0,0,4,<1,6
2025-07,0,0,4,<1,6
2025-08,0,0,4,<1,6
2025-09,<1,<1,4,<1,6
