Category: All categories

Month,storm: (Chittagong Division),sand: (Chittagong Division),summer: (Chittagong Division),summer: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,0,80
2011-03,0,0,54,0,76
2011-04,0,0,46,0,96
2011-05,0,0,36,36,76
2011-06,0,0,0,0,100
2011-07,0,0,0,29,64
2011-08,0,0,0,0,58
2011-09,0,0,45,0,63
2011-10,0,0,30,25,74
2011-11,0,0,38,36,60
2011-12,0,0,40,42,31
2012-01,0,0,34,47,74
2012-02,0,0,0,0,82
2012-03,0,0,32,54,54
2012-04,0,0,31,28,51
2012-05,0,0,0,17,53
2012-06,0,0,21,24,89
2012-07,0,0,0,0,85
2012-08,0,0,0,0,52
2012-09,0,0,0,0,75
2012-10,0,0,0,0,49
2012-11,0,0,24,0,53
2012-12,0,0,0,25,66
2013-01,0,0,0,0,68
2013-02,0,0,19,0,62
2013-03,0,0,20,17,76
2013-04,0,0,0,17,55
2013-05,33,0,18,21,65
2013-06,0,0,17,18,73
2013-07,0,0,16,18,66
2013-08,0,0,18,20,82
2013-09,0,0,0,0,56
2013-10,0,0,17,18,58
2013-11,11,0,18,19,72
2013-12,0,0,19,15,66
2014-01,0,0,19,17,73
2014-02,0,18,19,0,76
2014-03,0,0,23,27,59
2014-04,0,0,27,28,46
2014-05,0,0,14,16,39
2014-06,0,0,12,11,32
2014-07,0,0,12,9,36
2014-08,0,0,11,12,41
2014-09,0,0,9,9,36
2014-10,4,0,9,10,38
2014-11,0,0,0,6,42
2014-12,0,4,9,8,45
2015-01,3,4,9,10,41
2015-02,0,0,8,4,49
2015-03,6,0,9,8,43
2015-04,0,0,12,11,37
2015-05,0,5,11,14,35
2015-06,0,0,10,9,39
2015-07,5,0,13,12,40
2015-08,0,0,13,15,48
2015-09,0,0,10,12,46
2015-10,0,0,13,9,44
2015-11,0,6,11,11,44
2015-12,0,0,11,11,71
2016-01,3,0,12,12,41
2016-02,0,0,10,11,35
2016-03,1,1,9,9,26
2016-04,2,2,10,10,27
2016-05,6,3,14,14,30
2016-06,0,0,11,10,42
2016-07,0,0,12,11,31
2016-08,3,3,16,16,32
2016-09,3,0,6,8,33
2016-10,0,0,8,7,36
2016-11,3,0,8,7,38
2016-12,0,0,8,8,39
2017-01,2,3,12,12,32
2017-02,2,0,9,10,38
2017-03,0,3,13,13,32
2017-04,2,3,15,15,35
2017-05,4,2,15,16,30
2017-06,3,4,11,11,28
2017-07,2,2,13,12,29
2017-08,3,3,11,10,30
2017-09,4,0,11,10,33
2017-10,2,2,9,10,35
2017-11,3,3,7,7,42
2017-12,3,3,8,8,32
2018-01,3,2,8,7,36
2018-02,3,3,9,9,36
2018-03,2,2,12,13,38
2018-04,2,3,12,12,39
2018-05,3,3,10,9,37
2018-06,2,0,12,11,33
2018-07,2,2,8,8,33
2018-08,3,2,10,10,41
2018-09,2,3,11,10,41
2018-10,5,3,10,9,37
2018-11,3,3,9,9,39
2018-12,2,3,8,8,30
2019-01,2,2,8,8,32
2019-02,2,3,10,10,38
2019-03,2,3,13,13,47
2019-04,2,2,12,14,46
2019-05,6,3,13,13,42
2019-06,2,2,12,12,34
2019-07,2,3,10,11,42
2019-08,1,3,11,11,45
2019-09,3,4,15,15,46
2019-10,1,2,18,18,49
2019-11,4,2,15,15,45
2019-12,2,3,9,9,32
2020-01,3,3,9,9,34
2020-02,2,3,9,9,47
2020-03,2,2,11,11,48
2020-04,2,2,14,14,50
2020-05,5,3,12,12,46
2020-06,2,3,11,11,54
2020-07,3,3,10,10,57
2020-08,3,3,10,10,50
2020-09,3,2,11,11,51
2020-10,4,3,8,9,43
2020-11,7,4,7,7,38
2020-12,6,3,9,8,37
2021-01,4,3,8,8,33
2021-02,3,3,8,8,35
2021-03,2,3,10,9,40
2021-04,2,2,10,10,37
2021-05,4,2,10,11,35
2021-06,3,3,10,10,41
2021-07,2,2,10,10,35
2021-08,3,3,10,10,37
2021-09,3,2,7,8,38
2021-10,2,2,8,7,40
2021-11,2,2,8,8,73
2021-12,4,3,12,12,30
2022-01,2,3,9,9,35
2022-02,2,3,10,9,43
2022-03,2,3,11,10,51
2022-04,2,2,10,10,53
2022-05,3,3,10,10,66
2022-06,2,2,11,11,62
2022-07,2,2,11,11,49
2022-08,2,2,10,10,59
2022-09,2,2,9,9,59
2022-10,3,2,7,7,57
2022-11,2,2,7,7,56
2022-12,1,2,6,6,32
2023-01,1,3,7,7,35
2023-02,2,2,8,8,38
2023-03,2,2,9,9,43
2023-04,2,2,11,11,39
2023-05,6,2,11,11,51
2023-06,2,2,11,11,47
2023-07,2,2,13,13,36
2023-08,2,2,10,10,47
2023-09,3,2,8,8,40
2023-10,2,2,6,6,39
2023-11,2,2,7,7,41
2023-12,2,2,6,6,31
2024-01,2,3,8,8,33
2024-02,3,2,7,7,34
2024-03,3,2,8,8,33
2024-04,2,2,12,13,25
2024-05,3,2,10,10,31
2024-06,2,2,8,8,26
2024-07,2,2,17,17,30
2024-08,2,1,15,15,29
2024-09,4,2,8,8,35
2024-10,5,2,7,7,35
2024-11,3,1,7,7,35
2024-12,4,2,7,7,30
2025-01,5,2,6,7,29
2025-02,4,2,7,8,30
2025-03,4,2,7,8,32
2025-04,3,1,10,10,32
2025-05,4,2,9,10,36
2025-06,3,2,9,9,33
2025-07,3,2,11,11,29
2025-08,3,2,16,16,34
2025-09,3,2,11,11,32
