Category: All categories

Month,summer: (Chittagong Division),winter: (Chittagong Division),winter: (Chittagong Division),autumn: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,0,80
2011-03,0,0,0,0,76
2011-04,0,0,0,0,96
2011-05,36,0,0,0,76
2011-06,0,0,0,0,100
2011-07,29,0,0,0,64
2011-08,0,0,0,0,58
2011-09,0,0,0,0,63
2011-10,25,0,0,0,74
2011-11,36,0,0,27,60
2011-12,42,23,27,0,31
2012-01,47,0,0,0,74
2012-02,0,0,0,0,82
2012-03,54,0,0,0,54
2012-04,28,0,0,0,51
2012-05,17,0,0,0,53
2012-06,24,0,0,0,89
2012-07,0,0,0,0,85
2012-08,0,0,0,0,52
2012-09,0,0,0,0,75
2012-10,0,0,0,0,49
2012-11,0,23,25,0,53
2012-12,25,22,17,0,66
2013-01,0,25,25,0,68
2013-02,0,0,0,0,62
2013-03,17,0,0,0,76
2013-04,17,0,0,0,55
2013-05,21,0,0,0,65
2013-06,18,0,0,0,73
2013-07,18,13,16,0,66
2013-08,20,0,0,0,82
2013-09,0,0,0,0,56
2013-10,18,12,0,0,58
2013-11,19,17,24,0,72
2013-12,15,27,28,0,66
2014-01,17,19,24,0,73
2014-02,0,0,13,0,76
2014-03,27,0,12,0,59
2014-04,28,10,0,0,46
2014-05,16,7,6,6,39
2014-06,11,0,4,0,32
2014-07,9,0,0,0,36
2014-08,12,9,6,0,41
2014-09,9,6,6,0,36
2014-10,10,11,12,0,38
2014-11,6,22,22,0,42
2014-12,8,22,20,0,45
2015-01,10,12,9,0,41
2015-02,4,4,4,0,49
2015-03,8,5,5,0,43
2015-04,11,5,0,0,37
2015-05,14,5,0,0,35
2015-06,9,0,0,0,39
2015-07,12,0,0,0,40
2015-08,15,12,8,0,48
2015-09,12,9,7,0,46
2015-10,9,13,12,0,44
2015-11,11,24,25,0,44
2015-12,11,27,30,0,71
2016-01,12,14,14,0,41
2016-02,11,6,6,0,35
2016-03,9,3,3,1,26
2016-04,10,3,3,0,27
2016-05,14,6,6,0,30
2016-06,10,4,5,0,42
2016-07,11,4,4,0,31
2016-08,16,3,3,0,32
2016-09,8,5,6,0,33
2016-10,7,9,9,2,36
2016-11,7,20,20,2,38
2016-12,8,17,17,0,39
2017-01,12,15,14,0,32
2017-02,10,6,7,0,38
2017-03,13,5,4,0,32
2017-04,15,3,3,0,35
2017-05,16,3,3,0,30
2017-06,11,5,4,0,28
2017-07,12,6,5,2,29
2017-08,10,4,4,0,30
2017-09,10,5,5,2,33
2017-10,10,13,13,2,35
2017-11,7,19,20,0,42
2017-12,8,20,20,0,32
2018-01,7,17,17,2,36
2018-02,9,22,21,0,36
2018-03,13,7,7,0,38
2018-04,12,6,6,0,39
2018-05,9,5,5,0,37
2018-06,11,4,4,0,33
2018-07,8,5,5,0,33
2018-08,10,5,5,0,41
2018-09,10,7,7,2,41
2018-10,9,13,13,0,37
2018-11,9,20,21,2,39
2018-12,8,22,22,1,30
2019-01,8,10,11,0,32
2019-02,10,6,5,0,38
2019-03,13,6,6,0,47
2019-04,14,6,6,1,46
2019-05,13,4,5,0,42
2019-06,12,5,5,0,34
2019-07,11,6,6,0,42
2019-08,11,8,7,2,45
2019-09,15,7,7,2,46
2019-10,18,12,13,1,49
2019-11,15,19,19,2,45
2019-12,9,29,29,2,32
2020-01,9,15,16,2,34
2020-02,9,8,8,0,47
2020-03,11,6,6,1,48
2020-04,14,6,6,1,50
2020-05,12,5,5,1,46
2020-06,11,6,6,1,54
2020-07,10,6,6,1,57
2020-08,10,6,6,1,50
2020-09,11,9,8,2,51
2020-10,9,10,10,2,43
2020-11,7,22,22,2,38
2020-12,8,26,26,1,37
2021-01,8,14,15,1,33
2021-02,8,9,9,1,35
2021-03,9,11,11,1,40
2021-04,10,14,14,1,37
2021-05,11,7,7,1,35
2021-06,10,7,7,1,41
2021-07,10,7,6,1,35
2021-08,10,7,8,2,37
2021-09,8,8,8,2,38
2021-10,7,12,12,2,40
2021-11,8,25,25,2,73
2021-12,12,21,21,1,30
2022-01,9,14,14,1,35
2022-02,9,10,10,2,43
2022-03,10,9,9,1,51
2022-04,10,7,7,1,53
2022-05,10,7,7,1,66
2022-06,11,8,8,1,62
2022-07,11,6,6,1,49
2022-08,10,8,8,1,59
2022-09,9,9,9,2,59
2022-10,7,13,13,2,57
2022-11,7,19,19,1,56
2022-12,6,18,18,1,32
2023-01,7,19,19,1,35
2023-02,8,7,7,1,38
2023-03,9,6,6,1,43
2023-04,11,6,6,1,39
2023-05,11,6,6,1,51
2023-06,11,6,6,1,47
2023-07,13,5,5,1,36
2023-08,10,5,5,2,47
2023-09,8,7,7,2,40
2023-10,6,9,9,2,39
2023-11,7,17,17,2,41
2023-12,6,20,20,1,31
2024-01,8,19,19,1,33
2024-02,7,7,7,1,34
2024-03,8,4,5,1,33
2024-04,13,4,4,1,25
2024-05,10,4,4,1,31
2024-06,8,3,3,1,26
2024-07,17,4,4,1,30
2024-08,15,4,4,1,29
2024-09,8,7,7,1,35
2024-10,7,10,10,2,35
2024-11,7,19,19,2,35
2024-12,7,22,22,1,30
2025-01,7,12,12,1,29
2025-02,8,7,7,1,30
2025-03,8,5,5,1,32
2025-04,10,5,5,1,32
2025-05,10,5,5,1,36
2025-06,9,4,4,1,33
2025-07,11,4,4,2,29
2025-08,16,6,6,1,34
2025-09,11,5,5,2,32
