Category: All categories

Month,autumn: (Chittagong Division),autumn: (Chittagong Division),spring: (Chittagong Division),spring: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,0,80
2011-03,0,0,0,0,76
2011-04,0,0,0,0,96
2011-05,0,0,0,0,76
2011-06,0,0,0,0,100
2011-07,0,0,0,0,64
2011-08,0,0,0,0,58
2011-09,0,0,0,0,63
2011-10,0,0,0,0,74
2011-11,27,27,0,0,60
2011-12,0,0,0,0,31
2012-01,0,0,0,0,74
2012-02,0,0,44,0,82
2012-03,0,0,0,0,54
2012-04,0,0,0,0,51
2012-05,0,0,13,0,53
2012-06,0,0,0,0,89
2012-07,0,0,0,0,85
2012-08,0,0,0,0,52
2012-09,0,0,0,0,75
2012-10,0,0,0,0,49
2012-11,0,0,0,0,53
2012-12,0,0,0,0,66
2013-01,0,0,0,0,68
2013-02,0,0,0,0,62
2013-03,0,0,0,0,76
2013-04,0,0,0,0,55
2013-05,0,0,14,0,65
2013-06,0,0,0,0,73
2013-07,0,0,0,17,66
2013-08,0,0,0,14,82
2013-09,0,0,0,0,56
2013-10,0,0,0,0,58
2013-11,0,0,0,0,72
2013-12,0,0,0,0,66
2014-01,0,0,13,0,73
2014-02,0,0,18,0,76
2014-03,0,0,13,12,59
2014-04,0,0,9,13,46
2014-05,6,6,0,0,39
2014-06,0,0,0,0,32
2014-07,0,0,5,6,36
2014-08,0,0,5,4,41
2014-09,0,0,0,0,36
2014-10,0,0,4,3,38
2014-11,0,0,7,6,42
2014-12,0,0,7,7,45
2015-01,0,0,6,4,41
2015-02,0,0,9,8,49
2015-03,0,0,5,4,43
2015-04,0,0,7,6,37
2015-05,0,0,0,0,35
2015-06,0,0,0,0,39
2015-07,0,0,0,0,40
2015-08,0,0,0,0,48
2015-09,0,0,0,0,46
2015-10,0,0,6,5,44
2015-11,0,0,6,6,44
2015-12,0,0,5,0,71
2016-01,0,0,7,6,41
2016-02,0,0,9,8,35
2016-03,1,1,3,4,26
2016-04,0,0,3,3,27
2016-05,0,0,5,4,30
2016-06,0,0,4,4,42
2016-07,0,0,4,2,31
2016-08,0,0,3,3,32
2016-09,0,0,4,4,33
2016-10,2,2,0,0,36
2016-11,2,2,5,4,38
2016-12,0,0,7,6,39
2017-01,0,0,5,5,32
2017-02,0,0,8,8,38
2017-03,0,0,4,4,32
2017-04,0,0,4,4,35
2017-05,0,0,5,4,30
2017-06,0,0,2,2,28
2017-07,2,2,5,4,29
2017-08,0,0,4,4,30
2017-09,2,2,4,3,33
2017-10,2,2,5,4,35
2017-11,0,0,6,6,42
2017-12,0,0,5,5,32
2018-01,2,2,6,6,36
2018-02,0,0,7,6,36
2018-03,0,0,5,6,38
2018-04,0,0,6,5,39
2018-05,0,0,4,4,37
2018-06,0,0,3,3,33
2018-07,0,0,4,4,33
2018-08,0,0,4,3,41
2018-09,2,2,3,3,41
2018-10,0,0,5,5,37
2018-11,2,2,7,7,39
2018-12,1,1,6,6,30
2019-01,0,0,7,6,32
2019-02,0,0,9,9,38
2019-03,0,0,7,6,47
2019-04,1,1,6,6,46
2019-05,0,0,5,5,42
2019-06,0,0,6,6,34
2019-07,0,0,5,4,42
2019-08,2,2,7,6,45
2019-09,2,2,5,6,46
2019-10,1,1,6,6,49
2019-11,2,2,7,7,45
2019-12,2,2,7,7,32
2020-01,2,2,8,8,34
2020-02,0,0,7,8,47
2020-03,1,1,6,6,48
2020-04,1,1,4,5,50
2020-05,1,1,5,5,46
2020-06,1,1,5,5,54
2020-07,1,1,5,5,57
2020-08,1,1,5,5,50
2020-09,2,2,5,5,51
2020-10,2,2,6,6,43
2020-11,2,2,5,5,38
2020-12,1,1,5,5,37
2021-01,1,1,6,6,33
2021-02,1,1,8,8,35
2021-03,1,1,6,6,40
2021-04,1,1,6,6,37
2021-05,1,1,6,6,35
2021-06,1,1,6,6,41
2021-07,1,1,7,6,35
2021-08,2,2,6,6,37
2021-09,2,2,5,5,38
2021-10,2,2,5,5,40
2021-11,2,2,6,6,73
2021-12,1,1,5,6,30
2022-01,1,1,6,6,35
2022-02,2,2,7,7,43
2022-03,1,1,6,6,51
2022-04,1,1,5,5,53
2022-05,1,1,5,5,66
2022-06,1,1,4,5,62
2022-07,1,1,5,5,49
2022-08,1,1,5,5,59
2022-09,2,2,6,6,59
2022-10,2,2,5,5,57
2022-11,1,1,4,4,56
2022-12,1,1,5,5,32
2023-01,1,1,5,5,35
2023-02,1,1,6,7,38
2023-03,1,1,5,5,43
2023-04,1,1,5,5,39
2023-05,1,1,5,5,51
2023-06,1,1,5,5,47
2023-07,1,1,4,4,36
2023-08,2,2,5,5,47
2023-09,2,2,4,4,40
2023-10,2,2,4,4,39
2023-11,2,2,5,5,41
2023-12,1,1,5,5,31
2024-01,1,1,5,5,33
2024-02,1,1,6,6,34
2024-03,1,1,4,4,33
2024-04,1,1,4,4,25
2024-05,1,1,4,4,31
2024-06,1,1,4,4,26
2024-07,1,1,4,4,30
2024-08,1,1,4,4,29
2024-09,1,1,5,5,35
2024-10,2,2,5,5,35
2024-11,2,2,4,4,35
2024-12,1,1,4,4,30
2025-01,1,1,5,4,29
2025-02,1,1,5,5,30
2025-03,1,1,5,5,32
2025-04,1,1,4,4,32
2025-05,1,1,4,4,36
2025-06,1,1,4,4,33
2025-07,2,2,4,4,29
2025-08,1,1,4,4,34
2025-09,2,2,4,4,32
