Category: All categories

Month,cotton: (Chittagong Division),date: (Chittagong Division),dates: (Chittagong Division),vegetables: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,33,0,0,47
2011-02,0,35,0,0,47
2011-03,0,30,0,0,44
2011-04,0,48,0,0,55
2011-05,0,36,0,0,44
2011-06,0,41,0,0,58
2011-07,0,36,0,0,37
2011-08,0,57,0,0,34
2011-09,0,38,0,0,36
2011-10,0,41,0,0,43
2011-11,0,52,16,0,35
2011-12,0,44,0,0,18
2012-01,0,31,0,0,43
2012-02,0,28,0,0,47
2012-03,13,48,0,0,31
2012-04,0,45,0,0,30
2012-05,0,34,0,0,31
2012-06,0,47,0,0,51
2012-07,0,41,0,0,49
2012-08,0,54,0,0,30
2012-09,0,46,0,0,44
2012-10,0,39,0,0,29
2012-11,0,35,0,0,31
2012-12,0,31,0,0,38
2013-01,0,39,0,0,39
2013-02,0,39,0,0,36
2013-03,0,36,0,0,44
2013-04,0,36,0,0,32
2013-05,0,39,10,0,38
2013-06,0,37,0,0,42
2013-07,0,51,0,0,38
2013-08,0,41,0,0,48
2013-09,0,40,0,0,33
2013-10,0,45,0,0,33
2013-11,10,42,0,0,41
2013-12,0,53,0,0,38
2014-01,0,46,0,0,42
2014-02,0,47,0,0,44
2014-03,0,32,0,0,34
2014-04,0,34,0,0,27
2014-05,0,37,0,0,23
2014-06,0,29,0,0,19
2014-07,0,31,0,0,21
2014-08,3,33,0,0,24
2014-09,2,29,0,0,21
2014-10,0,33,2,0,22
2014-11,2,31,0,0,24
2014-12,2,27,0,0,26
2015-01,0,29,0,0,24
2015-02,0,29,0,0,29
2015-03,0,29,0,3,25
2015-04,0,31,3,0,22
2015-05,2,40,0,0,20
2015-06,3,37,0,0,23
2015-07,0,34,0,0,23
2015-08,3,44,0,0,28
2015-09,5,43,0,0,27
2015-10,0,44,3,0,26
2015-11,3,38,0,0,25
2015-12,4,36,0,0,41
2016-01,2,27,0,0,24
2016-02,4,25,1,0,20
2016-03,2,25,2,1,15
2016-04,2,26,1,1,16
2016-05,3,31,2,0,17
2016-06,3,31,3,0,25
2016-07,2,27,1,0,18
2016-08,2,35,2,0,18
2016-09,2,27,2,0,19
2016-10,3,28,2,0,21
2016-11,2,28,2,0,22
2016-12,2,29,1,0,23
2017-01,2,27,2,0,19
2017-02,2,29,1,0,22
2017-03,3,24,1,2,19
2017-04,2,27,2,0,20
2017-05,2,28,2,1,17
2017-06,2,26,2,1,16
2017-07,1,30,2,1,17
2017-08,2,33,2,1,17
2017-09,2,34,2,1,19
2017-10,3,37,2,1,21
2017-11,3,33,2,1,25
2017-12,1,35,2,1,19
2018-01,2,31,2,1,21
2018-02,2,30,2,1,21
2018-03,3,28,2,1,22
2018-04,4,33,2,2,23
2018-05,3,39,3,1,22
2018-06,2,33,4,1,19
2018-07,3,39,2,1,19
2018-08,2,39,2,1,24
2018-09,3,56,2,1,24
2018-10,3,42,1,1,22
2018-11,3,36,2,1,23
2018-12,2,52,2,1,17
2019-01,3,37,2,0,19
2019-02,3,36,2,1,22
2019-03,3,38,3,1,27
2019-04,3,45,3,1,27
2019-05,4,61,2,1,24
2019-06,2,43,2,1,20
2019-07,3,47,2,1,24
2019-08,3,55,2,1,26
2019-09,3,63,2,1,27
2019-10,2,61,3,2,29
2019-11,3,48,2,1,26
2019-12,3,100,2,1,18
2020-01,3,43,2,1,20
2020-02,3,43,2,2,27
2020-03,3,38,2,2,28
2020-04,2,48,3,2,29
2020-05,3,70,3,2,27
2020-06,3,46,2,1,31
2020-07,4,49,1,1,33
2020-08,3,47,2,1,29
2020-09,4,41,2,1,30
2020-10,3,41,2,1,25
2020-11,3,41,2,1,22
2020-12,3,39,1,1,22
2021-01,3,51,2,1,19
2021-02,4,49,2,1,20
2021-03,4,49,2,1,23
2021-04,4,42,4,1,22
2021-05,3,48,2,1,20
2021-06,3,48,2,1,24
2021-07,3,49,2,1,20
2021-08,3,49,1,1,22
2021-09,3,47,2,1,22
2021-10,2,50,2,1,23
2021-11,3,44,2,1,42
2021-12,2,51,2,1,18
2022-01,3,56,2,1,20
2022-02,3,65,2,1,25
2022-03,4,52,3,1,29
2022-04,4,56,3,1,31
2022-05,3,52,2,1,38
2022-06,3,54,2,1,36
2022-07,3,51,2,1,29
2022-08,3,51,2,1,34
2022-09,3,46,1,1,34
2022-10,3,47,2,1,33
2022-11,2,51,2,1,32
2022-12,2,57,2,1,19
2023-01,3,55,2,1,20
2023-02,2,57,2,1,22
2023-03,3,49,3,1,25
2023-04,3,50,2,1,22
2023-05,2,62,2,1,29
2023-06,3,61,2,1,27
2023-07,2,64,2,1,21
2023-08,2,52,2,1,27
2023-09,2,54,2,1,23
2023-10,3,48,2,1,22
2023-11,2,56,2,1,24
2023-12,3,58,2,1,18
2024-01,3,62,2,1,19
2024-02,3,50,2,1,19
2024-03,3,46,3,1,19
2024-04,2,49,2,1,15
2024-05,2,53,2,1,18
2024-06,2,47,2,1,15
2024-07,2,48,2,1,17
2024-08,2,40,1,1,17
2024-09,2,50,2,1,20
2024-10,2,49,1,1,20
2024-11,2,43,2,1,20
2024-12,2,48,2,1,17
2025-01,2,53,2,1,17
2025-02,2,49,3,1,17
2025-03,3,50,3,1,18
2025-04,2,43,1,1,18
2025-05,2,47,1,1,21
2025-06,2,46,1,1,19
2025-07,2,57,2,1,17
2025-08,3,45,1,1,20
2025-09,2,50,2,1,19
