Category: All categories

Month,crop: (Chittagong Division),harvest: (Chittagong Division),food: (Chittagong Division),field: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,71
2011-02,0,0,55,0,70
2011-03,0,0,48,0,66
2011-04,0,0,70,0,84
2011-05,0,0,47,0,67
2011-06,0,0,39,0,88
2011-07,0,0,53,0,56
2011-08,0,0,29,0,51
2011-09,0,0,100,0,55
2011-10,0,0,83,0,65
2011-11,0,0,56,0,52
2011-12,0,0,53,0,27
2012-01,0,0,83,0,64
2012-02,0,0,73,0,71
2012-03,0,0,61,24,47
2012-04,0,0,56,20,45
2012-05,0,0,39,0,47
2012-06,0,0,58,0,78
2012-07,0,0,48,0,74
2012-08,0,0,42,0,46
2012-09,0,0,49,0,66
2012-10,0,0,46,0,43
2012-11,0,0,66,16,46
2012-12,0,0,44,0,57
2013-01,0,0,43,0,59
2013-02,0,0,56,0,54
2013-03,0,0,47,0,67
2013-04,0,0,58,0,48
2013-05,0,0,34,0,57
2013-06,0,0,48,0,64
2013-07,0,0,44,0,58
2013-08,0,0,46,0,72
2013-09,0,0,50,0,49
2013-10,0,0,40,0,50
2013-11,0,0,50,12,63
2013-12,0,0,50,11,58
2014-01,0,0,45,10,64
2014-02,0,0,56,20,66
2014-03,0,0,56,0,52
2014-04,0,0,33,10,40
2014-05,0,0,29,7,34
2014-06,0,0,27,8,28
2014-07,0,0,25,8,32
2014-08,0,0,25,5,36
2014-09,0,0,29,7,32
2014-10,0,0,32,4,34
2014-11,0,0,40,7,36
2014-12,0,0,27,5,39
2015-01,0,0,30,5,36
2015-02,0,0,22,8,43
2015-03,0,0,30,4,38
2015-04,0,0,31,6,33
2015-05,0,0,28,5,31
2015-06,0,0,37,9,34
2015-07,0,0,35,7,35
2015-08,0,0,35,9,42
2015-09,0,0,46,6,40
2015-10,0,0,36,8,39
2015-11,0,0,40,7,39
2015-12,0,0,34,7,62
2016-01,0,0,31,6,36
2016-02,0,0,29,9,30
2016-03,2,0,21,5,23
2016-04,1,0,24,5,24
2016-05,0,0,32,6,26
2016-06,0,0,32,4,37
2016-07,0,0,27,5,27
2016-08,0,0,30,6,28
2016-09,2,0,28,6,29
2016-10,0,0,31,8,32
2016-11,0,0,34,11,33
2016-12,0,0,30,9,34
2017-01,0,0,32,5,28
2017-02,0,0,35,9,33
2017-03,2,0,34,9,28
2017-04,1,0,30,7,31
2017-05,2,0,23,6,26
2017-06,0,0,27,6,24
2017-07,0,0,31,6,26
2017-08,1,0,29,4,26
2017-09,0,2,31,6,29
2017-10,0,0,36,8,31
2017-11,2,0,39,8,37
2017-12,2,1,33,7,28
2018-01,1,0,30,7,32
2018-02,1,0,35,8,31
2018-03,0,0,37,11,33
2018-04,0,0,36,8,34
2018-05,0,0,35,8,33
2018-06,0,0,29,7,28
2018-07,1,0,43,8,29
2018-08,1,0,43,8,36
2018-09,1,0,39,11,36
2018-10,2,0,35,7,33
2018-11,1,0,36,8,34
2018-12,0,0,33,7,26
2019-01,1,0,33,8,28
2019-02,0,0,36,8,33
2019-03,1,0,39,9,41
2019-04,1,0,36,8,40
2019-05,1,0,37,8,37
2019-06,1,0,36,8,30
2019-07,2,1,40,8,37
2019-08,1,0,38,7,40
2019-09,2,0,45,8,40
2019-10,1,1,44,12,43
2019-11,2,0,48,11,39
2019-12,2,0,36,7,28
2020-01,2,1,44,7,30
2020-02,2,1,42,8,41
2020-03,2,1,43,6,42
2020-04,2,0,45,7,44
2020-05,1,0,47,8,40
2020-06,2,1,46,7,47
2020-07,2,1,49,7,50
2020-08,2,1,47,10,44
2020-09,2,1,49,11,45
2020-10,2,1,48,9,38
2020-11,2,0,63,7,33
2020-12,2,1,43,7,32
2021-01,2,0,44,9,29
2021-02,2,1,38,8,30
2021-03,2,1,46,9,35
2021-04,2,1,43,7,33
2021-05,1,1,41,6,31
2021-06,2,1,48,7,36
2021-07,2,1,43,6,30
2021-08,2,1,42,7,33
2021-09,2,1,41,9,33
2021-10,1,1,38,8,35
2021-11,2,1,51,7,64
2021-12,2,1,42,7,27
2022-01,3,1,42,8,31
2022-02,3,1,38,7,38
2022-03,2,1,43,9,44
2022-04,2,1,40,6,46
2022-05,2,1,43,6,58
2022-06,2,<1,44,8,55
2022-07,2,<1,37,6,43
2022-08,2,1,41,7,52
2022-09,2,1,42,7,51
2022-10,2,1,39,8,50
2022-11,2,<1,38,6,49
2022-12,2,<1,36,7,28
2023-01,2,<1,37,7,31
2023-02,3,<1,39,7,33
2023-03,2,<1,42,7,37
2023-04,2,1,38,6,34
2023-05,2,<1,38,7,45
2023-06,2,1,39,8,41
2023-07,2,1,38,7,32
2023-08,2,1,40,6,41
2023-09,2,1,37,6,35
2023-10,2,<1,37,6,34
2023-11,2,1,34,6,36
2023-12,2,<1,35,6,27
2024-01,2,1,34,7,29
2024-02,3,1,36,6,29
2024-03,2,1,32,9,29
2024-04,2,1,28,5,22
2024-05,2,<1,31,5,27
2024-06,2,<1,29,5,23
2024-07,2,<1,28,5,26
2024-08,2,1,25,4,25
2024-09,2,1,31,5,31
2024-10,2,0,33,5,31
2024-11,2,1,34,5,30
2024-12,2,1,29,5,26
2025-01,3,1,30,5,26
2025-02,3,0,31,5,26
2025-03,2,0,32,5,28
2025-04,2,0,28,4,28
2025-05,2,<1,30,5,31
2025-06,3,1,26,5,28
2025-07,2,1,25,4,26
2025-08,2,1,28,5,30
2025-09,2,<1,26,5,28
