Category: All categories

Month,school: (Chittagong Division),hospital: (Chittagong Division),hospital: (Chittagong Division),bridge: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,100,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,45,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,81,0,0,0,0
2010-01,40,0,0,0,0
2010-02,36,0,0,0,0
2010-03,37,0,0,0,0
2010-04,37,0,0,0,0
2010-05,73,0,0,0,0
2010-06,0,0,0,0,0
2010-07,37,0,0,0,0
2010-08,0,0,0,0,0
2010-09,38,0,0,0,0
2010-10,41,0,0,0,0
2010-11,51,0,0,0,0
2010-12,84,0,0,0,0
2011-01,32,15,13,0,15
2011-02,37,0,0,0,15
2011-03,35,0,9,0,14
2011-04,21,9,13,0,17
2011-05,35,9,11,7,14
2011-06,35,8,12,0,18
2011-07,29,12,10,0,12
2011-08,33,0,9,0,11
2011-09,36,10,8,0,11
2011-10,33,11,11,5,13
2011-11,31,12,10,0,11
2011-12,81,9,7,0,6
2012-01,39,8,6,4,13
2012-02,40,8,9,0,15
2012-03,31,11,12,0,10
2012-04,38,7,6,0,9
2012-05,41,5,5,0,10
2012-06,31,12,13,0,16
2012-07,31,8,7,8,15
2012-08,31,8,8,0,9
2012-09,34,7,7,6,14
2012-10,31,9,8,0,9
2012-11,43,10,10,4,10
2012-12,72,12,13,5,12
2013-01,43,6,9,4,12
2013-02,30,9,10,3,11
2013-03,25,10,11,4,14
2013-04,29,11,12,4,10
2013-05,36,10,9,3,12
2013-06,40,11,9,3,13
2013-07,31,11,9,4,12
2013-08,30,10,10,0,15
2013-09,34,13,12,3,10
2013-10,27,10,11,0,11
2013-11,46,11,11,3,13
2013-12,63,7,8,0,12
2014-01,45,8,8,2,13
2014-02,33,11,11,0,14
2014-03,33,9,6,3,11
2014-04,29,7,7,0,8
2014-05,31,5,5,1,7
2014-06,30,5,5,2,6
2014-07,23,5,5,2,7
2014-08,28,5,5,1,8
2014-09,29,6,7,1,7
2014-10,29,6,6,1,7
2014-11,33,6,6,1,8
2014-12,51,4,4,1,8
2015-01,34,5,5,1,8
2015-02,29,6,6,1,9
2015-03,27,6,6,2,8
2015-04,26,7,7,1,7
2015-05,27,8,8,2,6
2015-06,29,8,7,2,7
2015-07,24,6,6,2,7
2015-08,31,8,8,2,9
2015-09,30,8,8,2,8
2015-10,32,10,10,2,8
2015-11,40,9,9,1,8
2015-12,59,9,9,3,13
2016-01,37,6,6,2,7
2016-02,31,6,6,2,6
2016-03,28,4,4,1,5
2016-04,27,5,5,1,5
2016-05,35,5,5,1,5
2016-06,29,6,6,1,8
2016-07,32,6,6,1,6
2016-08,35,6,6,2,6
2016-09,31,5,5,1,6
2016-10,33,7,6,2,7
2016-11,42,7,7,2,7
2016-12,62,6,6,1,7
2017-01,38,6,6,2,6
2017-02,37,7,7,1,7
2017-03,36,7,7,1,6
2017-04,33,7,7,1,6
2017-05,39,6,6,1,5
2017-06,31,6,6,1,5
2017-07,38,8,8,2,5
2017-08,41,8,8,1,5
2017-09,40,10,10,1,6
2017-10,41,11,11,2,6
2017-11,49,10,10,2,8
2017-12,84,9,10,1,6
2018-01,49,9,8,2,7
2018-02,44,10,10,2,6
2018-03,43,11,11,2,7
2018-04,44,11,11,1,7
2018-05,49,10,10,1,7
2018-06,41,9,9,1,6
2018-07,42,12,12,2,6
2018-08,46,11,11,2,7
2018-09,39,12,12,2,7
2018-10,38,12,12,2,7
2018-11,48,12,12,2,7
2018-12,79,9,9,2,5
2019-01,46,11,11,2,6
2019-02,40,12,12,2,7
2019-03,39,14,14,2,9
2019-04,39,13,14,2,8
2019-05,43,12,12,2,8
2019-06,39,13,13,3,6
2019-07,39,14,14,2,8
2019-08,39,15,15,2,8
2019-09,36,16,15,2,8
2019-10,36,14,14,2,9
2019-11,43,13,14,2,8
2019-12,71,13,13,2,6
2020-01,41,12,12,2,6
2020-02,35,13,13,2,9
2020-03,32,11,11,1,9
2020-04,29,8,8,2,9
2020-05,33,10,10,2,8
2020-06,34,13,13,2,10
2020-07,37,12,12,1,10
2020-08,36,13,13,2,9
2020-09,34,13,13,2,9
2020-10,29,12,12,2,8
2020-11,45,12,12,2,7
2020-12,52,11,11,4,7
2021-01,52,12,12,2,6
2021-02,30,14,14,2,6
2021-03,33,14,14,2,7
2021-04,27,12,12,1,7
2021-05,25,11,11,2,6
2021-06,31,12,12,2,7
2021-07,25,14,14,2,6
2021-08,27,15,15,2,7
2021-09,33,14,15,1,7
2021-10,32,14,14,1,7
2021-11,45,13,13,2,13
2021-12,56,13,13,1,6
2022-01,44,13,13,2,6
2022-02,39,13,13,2,8
2022-03,37,13,13,2,9
2022-04,30,11,10,2,10
2022-05,31,12,12,2,12
2022-06,30,13,13,10,11
2022-07,27,13,13,5,9
2022-08,29,13,13,3,11
2022-09,27,13,13,4,11
2022-10,26,12,12,4,10
2022-11,35,10,10,3,10
2022-12,42,10,10,2,6
2023-01,35,11,11,3,6
2023-02,28,13,13,3,7
2023-03,26,13,12,2,8
2023-04,22,11,11,2,7
2023-05,25,11,12,3,9
2023-06,27,12,12,2,9
2023-07,29,15,15,2,7
2023-08,26,13,13,2,9
2023-09,24,13,13,2,7
2023-10,24,12,12,2,7
2023-11,33,10,11,2,7
2023-12,27,13,12,2,6
2024-01,24,11,11,2,6
2024-02,24,13,13,2,6
2024-03,22,12,12,2,6
2024-04,17,11,11,1,5
2024-05,28,13,12,2,6
2024-06,20,11,11,1,5
2024-07,21,11,13,1,5
2024-08,18,10,11,1,5
2024-09,20,13,13,1,6
2024-10,22,11,12,1,6
2024-11,30,10,11,1,6
2024-12,30,10,10,1,5
2025-01,24,10,10,1,5
2025-02,21,10,10,1,5
2025-03,16,8,8,1,6
2025-04,20,10,10,1,6
2025-05,19,11,10,1,7
2025-06,19,11,10,1,6
2025-07,25,11,11,1,5
2025-08,23,12,12,1,6
2025-09,22,11,11,1,6
