Category: All categories

Month,bakery: (Chittagong Division),public: (Chittagong Division),square: (Chittagong Division),park: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,100,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,54,0
2011-01,0,0,0,0,29
2011-02,0,22,0,20,29
2011-03,0,18,19,26,28
2011-04,0,0,0,0,35
2011-05,0,32,0,14,28
2011-06,0,19,0,17,36
2011-07,0,12,0,24,23
2011-08,0,12,0,23,21
2011-09,0,14,0,22,23
2011-10,0,12,0,22,27
2011-11,0,19,0,15,22
2011-12,0,21,0,18,11
2012-01,0,21,8,16,27
2012-02,0,20,12,13,30
2012-03,0,23,11,8,20
2012-04,0,21,9,16,19
2012-05,0,25,6,12,19
2012-06,0,32,10,16,32
2012-07,0,23,0,16,31
2012-08,0,14,11,23,19
2012-09,0,22,0,16,27
2012-10,0,14,9,24,18
2012-11,0,31,7,17,19
2012-12,0,28,8,13,24
2013-01,0,16,0,17,25
2013-02,0,18,12,16,23
2013-03,0,20,9,13,28
2013-04,0,18,0,13,20
2013-05,0,22,14,15,24
2013-06,0,26,8,15,26
2013-07,0,21,9,11,24
2013-08,0,19,7,9,30
2013-09,0,22,9,19,20
2013-10,0,17,5,13,21
2013-11,0,24,0,15,26
2013-12,0,18,6,11,24
2014-01,0,22,0,13,26
2014-02,0,17,5,13,28
2014-03,0,17,6,12,22
2014-04,0,9,7,8,17
2014-05,0,14,3,11,14
2014-06,0,18,4,9,12
2014-07,0,8,3,10,13
2014-08,0,11,4,11,15
2014-09,0,11,3,8,13
2014-10,0,8,3,10,14
2014-11,0,12,4,9,15
2014-12,0,13,4,10,16
2015-01,0,8,4,8,15
2015-02,2,9,4,7,18
2015-03,0,11,4,8,16
2015-04,0,9,3,11,14
2015-05,0,10,4,7,13
2015-06,0,18,7,13,14
2015-07,0,8,4,12,14
2015-08,0,11,7,12,18
2015-09,0,14,4,10,17
2015-10,0,13,5,9,16
2015-11,0,15,5,9,16
2015-12,0,21,4,12,26
2016-01,0,11,4,9,15
2016-02,0,11,4,9,13
2016-03,0,8,3,8,9
2016-04,0,8,3,8,10
2016-05,0,12,3,9,11
2016-06,0,13,4,10,15
2016-07,2,9,4,11,11
2016-08,0,10,4,9,12
2016-09,0,11,3,11,12
2016-10,0,10,5,10,13
2016-11,0,14,5,11,14
2016-12,0,15,4,11,14
2017-01,0,10,5,11,12
2017-02,1,9,5,12,14
2017-03,0,9,4,13,12
2017-04,0,8,4,12,13
2017-05,0,12,4,10,11
2017-06,0,10,4,12,10
2017-07,1,11,4,29,11
2017-08,0,12,6,19,11
2017-09,0,11,6,14,12
2017-10,0,13,5,13,13
2017-11,0,14,6,12,15
2017-12,0,17,6,15,12
2018-01,0,11,6,14,13
2018-02,1,10,5,14,13
2018-03,0,10,5,14,14
2018-04,<1,10,6,12,14
2018-05,0,13,6,11,14
2018-06,1,12,5,12,12
2018-07,0,11,6,13,12
2018-08,1,10,6,15,15
2018-09,0,13,6,14,15
2018-10,1,12,7,14,14
2018-11,1,15,6,11,14
2018-12,<1,15,6,13,11
2019-01,1,13,6,14,12
2019-02,1,11,6,14,14
2019-03,1,11,7,14,17
2019-04,1,10,6,13,17
2019-05,<1,11,6,11,15
2019-06,<1,12,6,13,12
2019-07,<1,13,7,13,15
2019-08,1,11,7,15,16
2019-09,1,13,8,14,17
2019-10,1,12,7,15,18
2019-11,1,15,7,13,16
2019-12,<1,14,7,14,12
2020-01,<1,11,8,16,13
2020-02,<1,10,7,17,17
2020-03,<1,10,6,11,18
2020-04,<1,10,6,8,18
2020-05,1,10,6,10,17
2020-06,1,13,7,8,20
2020-07,1,11,7,9,21
2020-08,1,14,7,12,18
2020-09,1,13,7,13,19
2020-10,<1,10,7,13,16
2020-11,1,11,7,11,14
2020-12,1,16,7,11,14
2021-01,1,11,7,12,12
2021-02,1,9,7,13,13
2021-03,1,11,7,12,15
2021-04,1,8,6,10,14
2021-05,1,8,6,11,13
2021-06,1,10,7,11,15
2021-07,<1,8,5,8,13
2021-08,1,9,6,10,14
2021-09,<1,11,6,11,14
2021-10,1,8,6,11,15
2021-11,1,12,6,11,27
2021-12,1,19,6,13,11
2022-01,1,13,7,11,13
2022-02,1,13,7,11,16
2022-03,<1,10,7,12,18
2022-04,1,8,6,10,19
2022-05,1,8,6,11,24
2022-06,<1,8,6,11,23
2022-07,<1,7,6,13,18
2022-08,<1,8,7,11,21
2022-09,1,8,6,10,21
2022-10,1,8,5,10,21
2022-11,<1,10,5,8,20
2022-12,1,13,5,9,12
2023-01,1,12,6,11,13
2023-02,<1,9,6,12,14
2023-03,<1,8,6,9,16
2023-04,1,7,5,11,14
2023-05,<1,8,6,10,19
2023-06,1,8,5,10,17
2023-07,1,7,7,11,13
2023-08,<1,10,7,9,17
2023-09,<1,9,6,10,14
2023-10,<1,8,6,9,14
2023-11,<1,11,6,8,15
2023-12,<1,11,6,12,11
2024-01,<1,8,6,14,12
2024-02,<1,8,6,16,12
2024-03,1,7,5,9,12
2024-04,<1,6,5,13,9
2024-05,<1,10,5,11,11
2024-06,<1,8,5,10,9
2024-07,1,9,5,7,11
2024-08,<1,7,5,7,11
2024-09,<1,7,5,9,13
2024-10,1,8,5,9,13
2024-11,<1,11,5,8,13
2024-12,1,11,5,9,11
2025-01,<1,8,5,11,11
2025-02,<1,8,5,10,11
2025-03,<1,6,4,8,12
2025-04,<1,7,5,8,11
2025-05,<1,7,5,7,13
2025-06,1,6,5,8,12
2025-07,<1,8,4,7,11
2025-08,1,8,5,7,12
2025-09,<1,8,5,7,12
