Category: All categories

Month,building: (Chittagong Division),building: (Chittagong Division),electricity: (Chittagong Division),funding: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,100,0,0,0,0
2011-01,0,0,0,0,54
2011-02,0,0,0,0,54
2011-03,35,46,0,0,51
2011-04,0,0,0,0,64
2011-05,29,26,0,0,51
2011-06,0,0,0,0,67
2011-07,0,25,0,0,43
2011-08,25,27,0,0,39
2011-09,0,0,0,0,42
2011-10,27,19,0,0,49
2011-11,16,17,0,0,40
2011-12,18,0,0,14,21
2012-01,16,18,0,0,49
2012-02,23,21,0,0,55
2012-03,25,21,0,0,36
2012-04,20,18,0,0,34
2012-05,13,13,0,0,36
2012-06,18,18,0,0,59
2012-07,0,15,0,0,57
2012-08,18,0,0,0,35
2012-09,22,25,0,0,50
2012-10,16,17,0,0,33
2012-11,19,21,0,0,35
2012-12,21,18,0,0,44
2013-01,13,13,0,0,45
2013-02,24,24,0,0,41
2013-03,20,21,0,0,51
2013-04,28,23,0,0,37
2013-05,12,15,0,0,44
2013-06,29,25,0,0,49
2013-07,30,28,0,0,44
2013-08,22,23,0,0,55
2013-09,24,23,0,0,38
2013-10,25,20,0,0,39
2013-11,19,14,0,0,48
2013-12,10,11,0,0,44
2014-01,19,21,0,0,49
2014-02,17,12,0,0,51
2014-03,15,17,0,0,40
2014-04,15,13,7,0,31
2014-05,8,8,3,0,26
2014-06,6,6,0,0,22
2014-07,7,8,3,0,24
2014-08,10,9,3,0,28
2014-09,8,7,3,0,24
2014-10,8,8,0,0,26
2014-11,10,10,2,0,28
2014-12,7,8,0,0,30
2015-01,8,9,0,0,28
2015-02,8,8,4,0,33
2015-03,10,9,3,0,29
2015-04,8,9,0,0,25
2015-05,11,10,5,0,23
2015-06,11,11,4,0,26
2015-07,9,9,3,0,27
2015-08,9,10,5,0,32
2015-09,8,10,0,0,31
2015-10,12,12,5,0,29
2015-11,11,10,3,0,29
2015-12,10,11,4,0,47
2016-01,9,9,0,0,27
2016-02,10,10,2,0,23
2016-03,5,5,1,0,17
2016-04,7,7,1,0,18
2016-05,9,10,2,0,20
2016-06,8,8,2,0,28
2016-07,6,6,2,0,21
2016-08,9,8,3,0,21
2016-09,8,8,3,0,22
2016-10,8,8,2,0,24
2016-11,11,10,3,0,25
2016-12,9,9,1,0,26
2017-01,6,7,2,0,21
2017-02,9,9,2,0,25
2017-03,8,8,3,0,21
2017-04,9,9,2,0,23
2017-05,8,8,3,0,20
2017-06,6,5,2,0,18
2017-07,7,7,2,0,20
2017-08,7,7,2,0,20
2017-09,7,7,2,0,22
2017-10,11,11,3,0,24
2017-11,11,11,4,0,28
2017-12,9,9,2,0,22
2018-01,10,10,3,0,24
2018-02,8,9,3,1,24
2018-03,9,9,3,0,25
2018-04,8,8,4,0,26
2018-05,7,7,3,0,25
2018-06,6,6,3,0,22
2018-07,8,8,3,0,22
2018-08,7,8,3,1,27
2018-09,9,10,3,0,27
2018-10,11,10,3,1,25
2018-11,8,8,3,0,26
2018-12,8,9,2,1,20
2019-01,9,10,3,0,22
2019-02,9,9,3,1,25
2019-03,10,10,4,0,32
2019-04,8,8,3,1,31
2019-05,7,8,3,0,28
2019-06,8,7,2,0,23
2019-07,9,9,3,1,28
2019-08,10,9,3,0,30
2019-09,9,9,4,1,31
2019-10,10,10,4,1,33
2019-11,12,11,3,1,30
2019-12,9,9,3,1,21
2020-01,10,11,2,0,23
2020-02,11,11,3,1,32
2020-03,8,8,4,1,32
2020-04,7,7,4,0,33
2020-05,8,8,4,1,31
2020-06,10,10,4,1,36
2020-07,9,9,3,0,38
2020-08,8,8,3,1,34
2020-09,9,9,4,1,35
2020-10,11,11,3,0,29
2020-11,10,10,3,0,25
2020-12,10,10,3,1,25
2021-01,9,9,2,0,22
2021-02,9,9,3,0,23
2021-03,9,10,4,<1,27
2021-04,8,8,3,1,25
2021-05,8,8,3,1,23
2021-06,8,8,3,1,27
2021-07,7,7,3,<1,23
2021-08,8,8,3,1,25
2021-09,7,7,3,<1,25
2021-10,8,8,2,1,27
2021-11,7,8,2,<1,49
2021-12,8,8,2,1,20
2022-01,9,9,2,<1,24
2022-02,9,9,3,<1,29
2022-03,8,8,3,1,34
2022-04,7,7,3,<1,35
2022-05,7,7,2,1,44
2022-06,8,8,3,1,42
2022-07,8,8,4,0,33
2022-08,8,8,4,<1,39
2022-09,7,7,3,<1,39
2022-10,7,7,4,<1,38
2022-11,6,6,2,<1,37
2022-12,6,6,2,<1,22
2023-01,7,7,3,<1,23
2023-02,7,7,3,<1,25
2023-03,7,7,2,1,29
2023-04,6,6,3,<1,26
2023-05,8,8,3,<1,34
2023-06,7,7,4,<1,31
2023-07,6,6,2,<1,24
2023-08,7,7,3,<1,32
2023-09,6,6,2,<1,27
2023-10,5,5,2,<1,26
2023-11,6,6,2,<1,27
2023-12,6,6,2,1,21
2024-01,6,6,2,1,22
2024-02,7,7,2,1,23
2024-03,6,6,2,1,22
2024-04,6,6,3,1,17
2024-05,5,5,3,1,21
2024-06,5,5,3,1,17
2024-07,5,5,2,1,20
2024-08,5,5,2,1,19
2024-09,5,5,3,1,24
2024-10,5,6,2,1,23
2024-11,7,7,1,1,23
2024-12,6,6,2,1,20
2025-01,6,6,2,1,20
2025-02,7,6,2,1,20
2025-03,6,6,1,1,21
2025-04,6,6,2,1,21
2025-05,6,6,2,1,24
2025-06,5,5,2,1,22
2025-07,5,5,2,1,20
2025-08,6,6,1,1,23
2025-09,6,6,2,1,22
