Category: All categories

Month,broken: (Chittagong Division),open: (Chittagong Division),close: (Chittagong Division),project: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,100,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,49,0,0,0
2010-06,0,0,0,63,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,39,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,28,0,0,24
2011-02,0,24,0,20,24
2011-03,0,19,0,22,22
2011-04,19,24,0,14,28
2011-05,0,36,0,15,23
2011-06,12,33,0,13,30
2011-07,0,25,0,15,19
2011-08,9,21,0,15,17
2011-09,11,25,0,20,19
2011-10,9,24,0,22,22
2011-11,0,23,0,17,18
2011-12,0,23,0,25,9
2012-01,7,33,0,20,22
2012-02,11,36,8,15,24
2012-03,0,23,7,18,16
2012-04,0,35,0,20,15
2012-05,6,20,4,11,16
2012-06,7,29,0,15,26
2012-07,0,24,0,20,25
2012-08,0,23,0,18,15
2012-09,6,38,8,24,22
2012-10,0,31,7,21,15
2012-11,7,26,0,20,16
2012-12,8,32,0,19,19
2013-01,6,41,0,19,20
2013-02,0,32,6,20,18
2013-03,0,26,6,18,23
2013-04,5,33,0,20,16
2013-05,0,32,0,11,19
2013-06,6,34,0,16,22
2013-07,0,34,0,17,20
2013-08,5,25,0,13,24
2013-09,0,31,4,19,17
2013-10,0,29,4,18,17
2013-11,4,30,0,15,21
2013-12,0,36,4,13,20
2014-01,0,35,8,16,22
2014-02,0,36,8,14,22
2014-03,0,39,5,18,17
2014-04,2,30,4,14,14
2014-05,3,28,3,8,12
2014-06,3,29,3,7,10
2014-07,4,27,3,4,11
2014-08,2,28,3,7,12
2014-09,2,22,3,9,11
2014-10,2,26,2,8,11
2014-11,2,24,3,8,12
2014-12,3,25,3,6,13
2015-01,3,26,4,8,12
2015-02,2,27,6,7,15
2015-03,3,32,3,8,13
2015-04,3,25,2,8,11
2015-05,3,28,2,7,10
2015-06,2,24,2,8,12
2015-07,2,25,3,7,12
2015-08,2,28,3,10,14
2015-09,3,35,2,9,14
2015-10,1,28,3,10,13
2015-11,1,26,2,7,13
2015-12,3,27,2,9,21
2016-01,3,24,3,8,12
2016-02,4,24,8,6,10
2016-03,2,25,3,5,8
2016-04,2,21,3,5,8
2016-05,3,21,3,6,9
2016-06,3,23,3,6,13
2016-07,2,23,2,6,9
2016-08,2,23,3,6,9
2016-09,3,22,3,6,10
2016-10,2,22,2,6,11
2016-11,3,22,3,7,11
2016-12,2,25,2,6,12
2017-01,2,27,3,9,9
2017-02,3,24,8,7,11
2017-03,3,20,4,8,9
2017-04,2,21,4,7,10
2017-05,3,20,3,6,9
2017-06,3,19,2,4,8
2017-07,2,19,2,5,9
2017-08,2,22,2,6,9
2017-09,2,21,3,5,10
2017-10,2,22,3,7,10
2017-11,2,20,2,7,13
2017-12,2,20,2,7,10
2018-01,2,28,3,6,11
2018-02,2,23,5,7,11
2018-03,2,22,3,7,11
2018-04,2,22,3,6,12
2018-05,2,22,2,6,11
2018-06,2,21,2,5,10
2018-07,2,22,2,6,10
2018-08,2,20,2,6,12
2018-09,4,20,2,6,12
2018-10,2,20,2,7,11
2018-11,2,19,2,6,12
2018-12,2,22,2,5,9
2019-01,1,23,3,7,10
2019-02,2,22,3,6,11
2019-03,2,24,2,7,14
2019-04,2,23,2,7,14
2019-05,2,22,2,6,12
2019-06,2,23,2,5,10
2019-07,2,22,2,6,12
2019-08,2,26,2,6,13
2019-09,2,25,2,8,14
2019-10,2,22,2,7,15
2019-11,2,23,2,7,13
2019-12,2,23,2,5,9
2020-01,2,27,2,7,10
2020-02,2,25,2,7,14
2020-03,3,22,3,6,14
2020-04,3,24,2,5,15
2020-05,3,25,2,5,14
2020-06,3,24,2,5,16
2020-07,3,25,2,6,17
2020-08,2,26,2,6,15
2020-09,3,25,2,6,15
2020-10,3,23,2,6,13
2020-11,2,20,2,7,11
2020-12,3,21,2,5,11
2021-01,2,22,2,5,10
2021-02,3,25,2,5,10
2021-03,3,22,2,5,12
2021-04,3,18,2,5,11
2021-05,3,21,2,5,10
2021-06,3,22,2,6,12
2021-07,3,20,2,5,10
2021-08,3,20,2,5,11
2021-09,3,22,2,5,11
2021-10,2,19,2,4,12
2021-11,3,19,2,5,22
2021-12,3,19,2,6,9
2022-01,3,23,2,6,10
2022-02,3,22,2,6,13
2022-03,3,23,2,8,15
2022-04,3,20,2,5,16
2022-05,3,21,2,5,20
2022-06,3,21,2,6,18
2022-07,3,20,2,5,15
2022-08,3,21,2,6,17
2022-09,2,19,2,6,17
2022-10,2,18,2,6,17
2022-11,2,16,2,5,16
2022-12,2,18,2,4,10
2023-01,2,20,2,6,10
2023-02,2,19,2,5,11
2023-03,2,18,2,5,13
2023-04,2,18,2,4,11
2023-05,2,18,2,5,15
2023-06,2,18,2,5,14
2023-07,2,18,2,5,11
2023-08,2,20,2,5,14
2023-09,2,16,2,5,12
2023-10,2,14,2,4,11
2023-11,2,15,1,5,12
2023-12,2,16,2,4,9
2024-01,2,16,2,5,10
2024-02,2,16,2,6,10
2024-03,1,14,1,5,10
2024-04,1,14,2,4,7
2024-05,2,16,2,6,9
2024-06,1,16,1,4,8
2024-07,1,16,2,5,9
2024-08,1,17,2,4,9
2024-09,1,16,2,4,10
2024-10,1,15,2,4,10
2024-11,2,16,2,5,10
2024-12,1,16,2,5,9
2025-01,1,16,1,5,9
2025-02,1,16,2,4,9
2025-03,2,14,2,4,9
2025-04,1,16,2,4,9
2025-05,1,16,2,4,11
2025-06,1,16,2,4,10
2025-07,1,15,2,4,9
2025-08,1,16,2,4,10
2025-09,1,15,2,4,10
